S.D.,Counts,Seed
0.5,981,4
0.6,870,4
0.7,854,4
0.8,821,4
0.9,794,4
1.0,730,4
1.1,691,4
1.2,631,4
1.3,541,4
1.4,556,4
1.5,512,4
1.6,407,4
1.7,339,4
1.8,262,4
1.9,244,4
2.0,189,4
2.1,124,4
2.2,72,4
2.3,48,4
2.4,30,4
2.5,17,4
2.6,16,4
2.7,9,4
2.8,5,4
2.9,2,4
3.0,3,4
0.5,979,8
0.6,904,8
0.7,914,8
0.8,794,8
0.9,745,8
1.0,726,8
1.1,602,8
1.2,555,8
1.3,499,8
1.4,422,8
1.5,375,8
1.6,296,8
1.7,252,8
1.8,197,8
1.9,119,8
2.0,93,8
2.1,77,8
2.2,73,8
2.3,36,8
2.4,28,8
2.5,15,8
2.6,18,8
2.7,17,8
2.8,5,8
2.9,2,8
3.0,5,8
0.5,961,16
0.6,979,16
0.7,937,16
0.8,784,16
0.9,758,16
1.0,729,16
1.1,585,16
1.2,521,16
1.3,515,16
1.4,473,16
1.5,434,16
1.6,328,16
1.7,241,16
1.8,168,16
1.9,147,16
2.0,106,16
2.1,92,16
2.2,66,16
2.3,62,16
2.4,52,16
2.5,30,16
2.6,19,16
2.7,24,16
2.8,19,16
2.9,8,16
3.0,0,16
0.5,915,32
0.6,880,32
0.7,837,32
0.8,865,32
0.9,872,32
1.0,814,32
1.1,703,32
1.2,603,32
1.3,529,32
1.4,443,32
1.5,426,32
1.6,390,32
1.7,304,32
1.8,212,32
1.9,147,32
2.0,97,32
2.1,78,32
2.2,49,32
2.3,49,32
2.4,59,32
2.5,37,32
2.6,32,32
2.7,28,32
2.8,14,32
2.9,5,32
3.0,13,32
0.5,1079,64
0.6,998,64
0.7,898,64
0.8,823,64
0.9,758,64
1.0,693,64
1.1,661,64
1.2,608,64
1.3,570,64
1.4,441,64
1.5,336,64
1.6,283,64
1.7,253,64
1.8,231,64
1.9,171,64
2.0,116,64
2.1,76,64
2.2,52,64
2.3,49,64
2.4,51,64
2.5,26,64
2.6,23,64
2.7,34,64
2.8,22,64
2.9,14,64
3.0,14,64
0.5,1082,128
0.6,1035,128
0.7,958,128
0.8,930,128
0.9,835,128
1.0,797,128
1.1,644,128
1.2,550,128
1.3,573,128
1.4,593,128
1.5,454,128
1.6,391,128
1.7,348,128
1.8,245,128
1.9,211,128
2.0,164,128
2.1,103,128
2.2,81,128
2.3,48,128
2.4,20,128
2.5,15,128
2.6,7,128
2.7,5,128
2.8,1,128
2.9,0,128
3.0,0,128
0.5,1033,256
0.6,953,256
0.7,834,256
0.8,860,256
0.9,773,256
1.0,703,256
1.1,590,256
1.2,523,256
1.3,415,256
1.4,384,256
1.5,375,256
1.6,327,256
1.7,275,256
1.8,205,256
1.9,185,256
2.0,116,256
2.1,117,256
2.2,86,256
2.3,47,256
2.4,62,256
2.5,46,256
2.6,43,256
2.7,22,256
2.8,14,256
2.9,10,256
3.0,4,256
0.5,957,512
0.6,922,512
0.7,890,512
0.8,806,512
0.9,782,512
1.0,705,512
1.1,668,512
1.2,569,512
1.3,487,512
1.4,378,512
1.5,318,512
1.6,267,512
1.7,263,512
1.8,213,512
1.9,133,512
2.0,141,512
2.1,77,512
2.2,55,512
2.3,54,512
2.4,44,512
2.5,37,512
2.6,37,512
2.7,15,512
2.8,4,512
2.9,1,512
3.0,0,512
0.5,1006,1028
0.6,991,1028
0.7,941,1028
0.8,864,1028
0.9,808,1028
1.0,689,1028
1.1,612,1028
1.2,598,1028
1.3,556,1028
1.4,433,1028
1.5,383,1028
1.6,318,1028
1.7,254,1028
1.8,228,1028
1.9,182,1028
2.0,138,1028
2.1,144,1028
2.2,77,1028
2.3,55,1028
2.4,49,1028
2.5,39,1028
2.6,30,1028
2.7,19,1028
2.8,30,1028
2.9,10,1028
3.0,2,1028
