S.D.,Counts,Seed
0.5,863,4
0.6,748,4
0.7,691,4
0.8,700,4
0.9,728,4
1.0,676,4
1.1,590,4
1.2,516,4
1.3,473,4
1.4,387,4
1.5,323,4
1.6,282,4
1.7,225,4
1.8,196,4
1.9,192,4
2.0,124,4
2.1,99,4
2.2,64,4
2.3,38,4
2.4,22,4
2.5,18,4
2.6,38,4
2.7,18,4
2.8,8,4
2.9,1,4
3.0,0,4
0.5,893,8
0.6,900,8
0.7,811,8
0.8,716,8
0.9,714,8
1.0,635,8
1.1,591,8
1.2,497,8
1.3,433,8
1.4,411,8
1.5,265,8
1.6,188,8
1.7,180,8
1.8,156,8
1.9,138,8
2.0,124,8
2.1,92,8
2.2,83,8
2.3,89,8
2.4,61,8
2.5,28,8
2.6,29,8
2.7,28,8
2.8,11,8
2.9,2,8
3.0,1,8
0.5,866,16
0.6,780,16
0.7,701,16
0.8,670,16
0.9,625,16
1.0,554,16
1.1,479,16
1.2,443,16
1.3,492,16
1.4,430,16
1.5,355,16
1.6,295,16
1.7,248,16
1.8,157,16
1.9,169,16
2.0,128,16
2.1,77,16
2.2,55,16
2.3,47,16
2.4,29,16
2.5,14,16
2.6,7,16
2.7,0,16
2.8,0,16
2.9,0,16
3.0,0,16
0.5,786,32
0.6,799,32
0.7,801,32
0.8,785,32
0.9,745,32
1.0,709,32
1.1,661,32
1.2,559,32
1.3,514,32
1.4,424,32
1.5,434,32
1.6,334,32
1.7,269,32
1.8,186,32
1.9,154,32
2.0,129,32
2.1,116,32
2.2,74,32
2.3,46,32
2.4,27,32
2.5,12,32
2.6,7,32
2.7,8,32
2.8,3,32
2.9,0,32
3.0,0,32
0.5,879,64
0.6,807,64
0.7,799,64
0.8,772,64
0.9,643,64
1.0,535,64
1.1,523,64
1.2,492,64
1.3,431,64
1.4,389,64
1.5,273,64
1.6,210,64
1.7,204,64
1.8,170,64
1.9,111,64
2.0,76,64
2.1,76,64
2.2,89,64
2.3,75,64
2.4,57,64
2.5,30,64
2.6,30,64
2.7,22,64
2.8,9,64
2.9,3,64
3.0,1,64
0.5,779,128
0.6,735,128
0.7,718,128
0.8,735,128
0.9,708,128
1.0,639,128
1.1,563,128
1.2,593,128
1.3,493,128
1.4,396,128
1.5,364,128
1.6,326,128
1.7,215,128
1.8,165,128
1.9,152,128
2.0,96,128
2.1,113,128
2.2,66,128
2.3,38,128
2.4,9,128
2.5,9,128
2.6,4,128
2.7,0,128
2.8,0,128
2.9,0,128
3.0,0,128
0.5,760,256
0.6,842,256
0.7,799,256
0.8,775,256
0.9,784,256
1.0,689,256
1.1,627,256
1.2,678,256
1.3,603,256
1.4,482,256
1.5,395,256
1.6,340,256
1.7,245,256
1.8,179,256
1.9,135,256
2.0,86,256
2.1,64,256
2.2,37,256
2.3,32,256
2.4,24,256
2.5,22,256
2.6,3,256
2.7,0,256
2.8,0,256
2.9,0,256
3.0,0,256
0.5,705,512
0.6,752,512
0.7,733,512
0.8,701,512
0.9,687,512
1.0,682,512
1.1,660,512
1.2,664,512
1.3,493,512
1.4,408,512
1.5,391,512
1.6,281,512
1.7,248,512
1.8,157,512
1.9,115,512
2.0,65,512
2.1,63,512
2.2,66,512
2.3,34,512
2.4,11,512
2.5,13,512
2.6,0,512
2.7,0,512
2.8,0,512
2.9,0,512
3.0,0,512
0.5,836,1028
0.6,843,1028
0.7,857,1028
0.8,785,1028
0.9,695,1028
1.0,686,1028
1.1,639,1028
1.2,543,1028
1.3,394,1028
1.4,375,1028
1.5,376,1028
1.6,314,1028
1.7,225,1028
1.8,189,1028
1.9,132,1028
2.0,113,1028
2.1,64,1028
2.2,68,1028
2.3,36,1028
2.4,38,1028
2.5,29,1028
2.6,12,1028
2.7,8,1028
2.8,10,1028
2.9,7,1028
3.0,1,1028
