Seed,N,sum_of_peaks
Seed 4,4,35.0
Seed 4,5,36.0
Seed 4,6,36.0
Seed 4,7,38.0
Seed 4,8,38.0
Seed 4,9,39.0
Seed 4,10,40.0
Seed 8,4,22.0
Seed 8,5,22.0
Seed 8,6,22.0
Seed 8,7,23.0
Seed 8,8,26.0
Seed 8,9,27.0
Seed 8,10,27.0
Seed 16,4,14.0
Seed 16,5,14.0
Seed 16,6,16.0
Seed 16,7,18.0
Seed 16,8,18.0
Seed 16,9,19.0
Seed 16,10,24.0
Seed 32,4,18.0
Seed 32,5,19.0
Seed 32,6,19.0
Seed 32,7,25.0
Seed 32,8,25.0
Seed 32,9,25.0
Seed 32,10,26.0
Seed 64,4,6.0
Seed 64,5,9.0
Seed 64,6,10.0
Seed 64,7,11.0
Seed 64,8,12.0
Seed 64,9,12.0
Seed 64,10,12.0
Seed 128,4,17.0
Seed 128,5,21.0
Seed 128,6,23.0
Seed 128,7,26.0
Seed 128,8,26.0
Seed 128,9,27.0
Seed 128,10,28.0
Seed 256,4,12.0
Seed 256,5,12.0
Seed 256,6,12.0
Seed 256,7,13.0
Seed 256,8,13.0
Seed 256,9,13.0
Seed 256,10,14.0
Seed 512,4,18.0
Seed 512,5,29.0
Seed 512,6,31.0
Seed 512,7,32.0
Seed 512,8,32.0
Seed 512,9,34.0
Seed 512,10,36.0
Seed 1024,4,7.0
Seed 1024,5,8.0
Seed 1024,6,11.0
Seed 1024,7,12.0
Seed 1024,8,14.0
Seed 1024,9,15.0
Seed 1024,10,17.0
