Seed,N,sum_of_peaks
Seed 4,4,19.0
Seed 4,5,19.0
Seed 4,6,21.0
Seed 4,7,24.0
Seed 4,8,27.0
Seed 4,9,27.0
Seed 4,10,29.0
Seed 8,4,8.0
Seed 8,5,8.0
Seed 8,6,9.0
Seed 8,7,10.0
Seed 8,8,10.0
Seed 8,9,11.0
Seed 8,10,12.0
Seed 16,4,15.0
Seed 16,5,15.0
Seed 16,6,15.0
Seed 16,7,15.0
Seed 16,8,15.0
Seed 16,9,15.0
Seed 16,10,16.0
Seed 32,4,8.0
Seed 32,5,9.0
Seed 32,6,9.0
Seed 32,7,9.0
Seed 32,8,10.0
Seed 32,9,10.0
Seed 32,10,10.0
Seed 64,4,24.0
Seed 64,5,26.0
Seed 64,6,26.0
Seed 64,7,27.0
Seed 64,8,30.0
Seed 64,9,34.0
Seed 64,10,37.0
Seed 128,4,21.0
Seed 128,5,21.0
Seed 128,6,21.0
Seed 128,7,22.0
Seed 128,8,23.0
Seed 128,9,24.0
Seed 128,10,29.0
Seed 256,4,11.0
Seed 256,5,12.0
Seed 256,6,13.0
Seed 256,7,13.0
Seed 256,8,14.0
Seed 256,9,15.0
Seed 256,10,17.0
Seed 512,4,8.0
Seed 512,5,9.0
Seed 512,6,10.0
Seed 512,7,11.0
Seed 512,8,12.0
Seed 512,9,12.0
Seed 512,10,13.0
Seed 1024,4,42.0
Seed 1024,5,58.0
Seed 1024,6,66.0
Seed 1024,7,72.0
Seed 1024,8,85.0
Seed 1024,9,85.0
Seed 1024,10,85.0
