S.D.,Counts,Seed
0.5,1069,4
0.6,1040,4
0.7,984,4
0.8,860,4
0.9,801,4
1.0,672,4
1.1,556,4
1.2,518,4
1.3,482,4
1.4,418,4
1.5,330,4
1.6,285,4
1.7,269,4
1.8,213,4
1.9,176,4
2.0,132,4
2.1,104,4
2.2,73,4
2.3,43,4
2.4,36,4
2.5,39,4
2.6,46,4
2.7,35,4
2.8,39,4
2.9,23,4
3.0,16,4
0.5,1045,8
0.6,990,8
0.7,883,8
0.8,904,8
0.9,778,8
1.0,675,8
1.1,588,8
1.2,515,8
1.3,460,8
1.4,434,8
1.5,383,8
1.6,332,8
1.7,298,8
1.8,246,8
1.9,195,8
2.0,146,8
2.1,101,8
2.2,75,8
2.3,70,8
2.4,38,8
2.5,33,8
2.6,18,8
2.7,8,8
2.8,5,8
2.9,7,8
3.0,6,8
0.5,931,16
0.6,960,16
0.7,918,16
0.8,829,16
0.9,752,16
1.0,705,16
1.1,685,16
1.2,684,16
1.3,597,16
1.4,485,16
1.5,414,16
1.6,294,16
1.7,239,16
1.8,208,16
1.9,183,16
2.0,147,16
2.1,106,16
2.2,67,16
2.3,53,16
2.4,37,16
2.5,29,16
2.6,29,16
2.7,12,16
2.8,7,16
2.9,12,16
3.0,10,16
0.5,796,32
0.6,896,32
0.7,848,32
0.8,788,32
0.9,820,32
1.0,755,32
1.1,668,32
1.2,643,32
1.3,569,32
1.4,450,32
1.5,342,32
1.6,266,32
1.7,248,32
1.8,206,32
1.9,167,32
2.0,144,32
2.1,108,32
2.2,77,32
2.3,57,32
2.4,31,32
2.5,14,32
2.6,4,32
2.7,0,32
2.8,0,32
2.9,0,32
3.0,0,32
0.5,1076,64
0.6,992,64
0.7,939,64
0.8,886,64
0.9,804,64
1.0,759,64
1.1,755,64
1.2,680,64
1.3,580,64
1.4,543,64
1.5,430,64
1.6,333,64
1.7,282,64
1.8,182,64
1.9,154,64
2.0,105,64
2.1,87,64
2.2,98,64
2.3,76,64
2.4,46,64
2.5,33,64
2.6,24,64
2.7,21,64
2.8,16,64
2.9,16,64
3.0,11,64
0.5,951,128
0.6,816,128
0.7,865,128
0.8,740,128
0.9,684,128
1.0,607,128
1.1,614,128
1.2,531,128
1.3,441,128
1.4,435,128
1.5,404,128
1.6,291,128
1.7,234,128
1.8,179,128
1.9,163,128
2.0,119,128
2.1,107,128
2.2,73,128
2.3,40,128
2.4,24,128
2.5,25,128
2.6,30,128
2.7,21,128
2.8,12,128
2.9,20,128
3.0,6,128
0.5,998,256
0.6,908,256
0.7,868,256
0.8,811,256
0.9,731,256
1.0,671,256
1.1,608,256
1.2,589,256
1.3,491,256
1.4,444,256
1.5,360,256
1.6,283,256
1.7,252,256
1.8,203,256
1.9,218,256
2.0,190,256
2.1,125,256
2.2,107,256
2.3,46,256
2.4,29,256
2.5,20,256
2.6,7,256
2.7,1,256
2.8,0,256
2.9,0,256
3.0,0,256
0.5,1108,512
0.6,950,512
0.7,839,512
0.8,783,512
0.9,769,512
1.0,714,512
1.1,623,512
1.2,565,512
1.3,515,512
1.4,398,512
1.5,278,512
1.6,229,512
1.7,216,512
1.8,192,512
1.9,174,512
2.0,152,512
2.1,95,512
2.2,94,512
2.3,94,512
2.4,81,512
2.5,42,512
2.6,33,512
2.7,24,512
2.8,20,512
2.9,20,512
3.0,19,512
0.5,980,1028
0.6,962,1028
0.7,994,1028
0.8,825,1028
0.9,795,1028
1.0,672,1028
1.1,552,1028
1.2,462,1028
1.3,431,1028
1.4,389,1028
1.5,370,1028
1.6,283,1028
1.7,246,1028
1.8,195,1028
1.9,121,1028
2.0,131,1028
2.1,134,1028
2.2,130,1028
2.3,78,1028
2.4,61,1028
2.5,37,1028
2.6,31,1028
2.7,11,1028
2.8,12,1028
2.9,7,1028
3.0,3,1028
