Seed,N,sum_of_peaks
Seed 4,4,30.0
Seed 4,5,31.0
Seed 4,6,31.0
Seed 4,7,32.0
Seed 4,8,33.0
Seed 4,9,33.0
Seed 4,10,33.0
Seed 8,4,16.0
Seed 8,5,17.0
Seed 8,6,21.0
Seed 8,7,22.0
Seed 8,8,24.0
Seed 8,9,27.0
Seed 8,10,28.0
Seed 16,4,15.0
Seed 16,5,19.0
Seed 16,6,21.0
Seed 16,7,22.0
Seed 16,8,23.0
Seed 16,9,26.0
Seed 16,10,26.0
Seed 32,4,8.0
Seed 32,5,8.0
Seed 32,6,9.0
Seed 32,7,10.0
Seed 32,8,10.0
Seed 32,9,11.0
Seed 32,10,11.0
Seed 64,4,35.0
Seed 64,5,48.0
Seed 64,6,49.0
Seed 64,7,52.0
Seed 64,8,55.0
Seed 64,9,55.0
Seed 64,10,61.0
Seed 128,4,14.0
Seed 128,5,14.0
Seed 128,6,14.0
Seed 128,7,14.0
Seed 128,8,15.0
Seed 128,9,15.0
Seed 128,10,15.0
Seed 256,4,13.0
Seed 256,5,15.0
Seed 256,6,17.0
Seed 256,7,18.0
Seed 256,8,19.0
Seed 256,9,20.0
Seed 256,10,20.0
Seed 512,4,18.0
Seed 512,5,18.0
Seed 512,6,21.0
Seed 512,7,23.0
Seed 512,8,24.0
Seed 512,9,25.0
Seed 512,10,26.0
Seed 1024,4,9.0
Seed 1024,5,10.0
Seed 1024,6,10.0
Seed 1024,7,12.0
Seed 1024,8,13.0
Seed 1024,9,14.0
Seed 1024,10,16.0
