seed,coop_ratio,tournament_type
512,0.74,homogenous
512,0.633,homogenous
512,0.62,homogenous
512,0.613,homogenous
512,0.606,homogenous
512,0.613,homogenous
512,0.623,homogenous
512,0.608,homogenous
512,0.592,homogenous
512,0.585,homogenous
512,0.589,homogenous
512,0.586,homogenous
512,0.571,homogenous
512,0.569,homogenous
512,0.59,homogenous
512,0.621,homogenous
512,0.604,homogenous
512,0.591,homogenous
512,0.575,homogenous
512,0.554,homogenous
512,0.524,homogenous
512,0.535,homogenous
512,0.536,homogenous
512,0.533,homogenous
512,0.55,homogenous
512,0.554,homogenous
512,0.569,homogenous
512,0.592,homogenous
512,0.59,homogenous
512,0.6,homogenous
512,0.589,homogenous
512,0.559,homogenous
512,0.546,homogenous
512,0.577,homogenous
512,0.541,homogenous
512,0.537,homogenous
512,0.548,homogenous
512,0.527,homogenous
512,0.539,homogenous
512,0.539,homogenous
512,0.553,homogenous
512,0.575,homogenous
512,0.592,homogenous
512,0.596,homogenous
512,0.592,homogenous
512,0.602,homogenous
512,0.611,homogenous
512,0.614,homogenous
512,0.652,homogenous
512,0.629,homogenous
512,0.62,homogenous
512,0.596,homogenous
512,0.597,homogenous
512,0.622,homogenous
512,0.628,homogenous
512,0.62,homogenous
512,0.608,homogenous
512,0.62,homogenous
512,0.618,homogenous
512,0.603,homogenous
512,0.583,homogenous
512,0.586,homogenous
512,0.581,homogenous
512,0.568,homogenous
512,0.572,homogenous
512,0.557,homogenous
512,0.516,homogenous
512,0.496,homogenous
512,0.518,homogenous
512,0.53,homogenous
512,0.505,homogenous
512,0.489,homogenous
512,0.496,homogenous
512,0.517,homogenous
512,0.547,homogenous
512,0.545,homogenous
512,0.565,homogenous
512,0.562,homogenous
512,0.591,homogenous
512,0.585,homogenous
512,0.543,homogenous
512,0.534,homogenous
512,0.547,homogenous
512,0.546,homogenous
512,0.516,homogenous
512,0.513,homogenous
512,0.507,homogenous
512,0.535,homogenous
512,0.56,homogenous
512,0.554,homogenous
512,0.566,homogenous
512,0.613,homogenous
512,0.581,homogenous
512,0.576,homogenous
512,0.555,homogenous
512,0.544,homogenous
512,0.535,homogenous
512,0.536,homogenous
512,0.546,homogenous
512,0.557,homogenous
512,0.589,homogenous
512,0.625,homogenous
512,0.648,homogenous
512,0.675,homogenous
512,0.667,homogenous
512,0.678,homogenous
512,0.707,homogenous
512,0.755,homogenous
512,0.791,homogenous
512,0.794,homogenous
512,0.808,homogenous
512,0.825,homogenous
512,0.832,homogenous
512,0.834,homogenous
512,0.843,homogenous
512,0.845,homogenous
512,0.828,homogenous
512,0.837,homogenous
512,0.861,homogenous
512,0.843,homogenous
512,0.834,homogenous
512,0.833,homogenous
512,0.843,homogenous
512,0.852,homogenous
512,0.859,homogenous
512,0.852,homogenous
512,0.839,homogenous
512,0.852,homogenous
512,0.811,homogenous
512,0.791,homogenous
512,0.793,homogenous
512,0.799,homogenous
512,0.789,homogenous
512,0.8,homogenous
512,0.814,homogenous
512,0.822,homogenous
512,0.837,homogenous
512,0.824,homogenous
512,0.803,homogenous
512,0.799,homogenous
512,0.812,homogenous
512,0.818,homogenous
512,0.809,homogenous
512,0.794,homogenous
512,0.797,homogenous
512,0.808,homogenous
512,0.819,homogenous
512,0.837,homogenous
512,0.827,homogenous
512,0.828,homogenous
512,0.824,homogenous
512,0.83,homogenous
512,0.824,homogenous
512,0.823,homogenous
512,0.82,homogenous
512,0.809,homogenous
512,0.823,homogenous
512,0.824,homogenous
512,0.837,homogenous
512,0.829,homogenous
512,0.817,homogenous
512,0.804,homogenous
512,0.791,homogenous
512,0.79,homogenous
512,0.789,homogenous
512,0.76,homogenous
512,0.749,homogenous
512,0.752,homogenous
512,0.762,homogenous
512,0.756,homogenous
512,0.737,homogenous
512,0.755,homogenous
512,0.769,homogenous
512,0.769,homogenous
512,0.787,homogenous
512,0.816,homogenous
512,0.813,homogenous
512,0.824,homogenous
512,0.829,homogenous
512,0.825,homogenous
512,0.838,homogenous
512,0.839,homogenous
512,0.828,homogenous
512,0.804,homogenous
512,0.777,homogenous
512,0.746,homogenous
512,0.746,homogenous
512,0.741,homogenous
512,0.743,homogenous
512,0.719,homogenous
512,0.693,homogenous
512,0.668,homogenous
512,0.669,homogenous
512,0.666,homogenous
512,0.667,homogenous
512,0.669,homogenous
512,0.671,homogenous
512,0.654,homogenous
512,0.659,homogenous
512,0.642,homogenous
512,0.638,homogenous
512,0.611,homogenous
512,0.614,homogenous
512,0.624,homogenous
512,0.64,homogenous
512,0.638,homogenous
512,0.638,homogenous
512,0.639,homogenous
512,0.685,homogenous
512,0.72,homogenous
512,0.73,homogenous
512,0.716,homogenous
512,0.673,homogenous
512,0.648,homogenous
512,0.661,homogenous
512,0.659,homogenous
512,0.682,homogenous
512,0.713,homogenous
512,0.719,homogenous
512,0.708,homogenous
512,0.683,homogenous
512,0.68,homogenous
512,0.68,homogenous
512,0.699,homogenous
512,0.669,homogenous
512,0.644,homogenous
512,0.605,homogenous
512,0.56,homogenous
512,0.548,homogenous
512,0.531,homogenous
512,0.499,homogenous
512,0.497,homogenous
512,0.528,homogenous
512,0.551,homogenous
512,0.564,homogenous
512,0.566,homogenous
512,0.55,homogenous
512,0.537,homogenous
512,0.549,homogenous
512,0.531,homogenous
512,0.537,homogenous
512,0.535,homogenous
512,0.535,homogenous
512,0.551,homogenous
512,0.542,homogenous
512,0.548,homogenous
512,0.526,homogenous
512,0.508,homogenous
512,0.517,homogenous
