seed,coop_ratio,tournament_type
64,0.738,hetero_dr_sd_max
64,0.637,hetero_dr_sd_max
64,0.595,hetero_dr_sd_max
64,0.554,hetero_dr_sd_max
64,0.519,hetero_dr_sd_max
64,0.529,hetero_dr_sd_max
64,0.53,hetero_dr_sd_max
64,0.53,hetero_dr_sd_max
64,0.508,hetero_dr_sd_max
64,0.498,hetero_dr_sd_max
64,0.489,hetero_dr_sd_max
64,0.504,hetero_dr_sd_max
64,0.516,hetero_dr_sd_max
64,0.51,hetero_dr_sd_max
64,0.522,hetero_dr_sd_max
64,0.544,hetero_dr_sd_max
64,0.546,hetero_dr_sd_max
64,0.559,hetero_dr_sd_max
64,0.546,hetero_dr_sd_max
64,0.513,hetero_dr_sd_max
64,0.508,hetero_dr_sd_max
64,0.507,hetero_dr_sd_max
64,0.496,hetero_dr_sd_max
64,0.47,hetero_dr_sd_max
64,0.443,hetero_dr_sd_max
64,0.44,hetero_dr_sd_max
64,0.439,hetero_dr_sd_max
64,0.434,hetero_dr_sd_max
64,0.416,hetero_dr_sd_max
64,0.399,hetero_dr_sd_max
64,0.41,hetero_dr_sd_max
64,0.407,hetero_dr_sd_max
64,0.376,hetero_dr_sd_max
64,0.384,hetero_dr_sd_max
64,0.422,hetero_dr_sd_max
64,0.426,hetero_dr_sd_max
64,0.45,hetero_dr_sd_max
64,0.484,hetero_dr_sd_max
64,0.483,hetero_dr_sd_max
64,0.473,hetero_dr_sd_max
64,0.465,hetero_dr_sd_max
64,0.439,hetero_dr_sd_max
64,0.447,hetero_dr_sd_max
64,0.451,hetero_dr_sd_max
64,0.435,hetero_dr_sd_max
64,0.447,hetero_dr_sd_max
64,0.467,hetero_dr_sd_max
64,0.482,hetero_dr_sd_max
64,0.495,hetero_dr_sd_max
64,0.499,hetero_dr_sd_max
64,0.506,hetero_dr_sd_max
64,0.499,hetero_dr_sd_max
64,0.485,hetero_dr_sd_max
64,0.483,hetero_dr_sd_max
64,0.498,hetero_dr_sd_max
64,0.534,hetero_dr_sd_max
64,0.564,hetero_dr_sd_max
64,0.564,hetero_dr_sd_max
64,0.56,hetero_dr_sd_max
64,0.556,hetero_dr_sd_max
64,0.598,hetero_dr_sd_max
64,0.608,hetero_dr_sd_max
64,0.607,hetero_dr_sd_max
64,0.625,hetero_dr_sd_max
64,0.623,hetero_dr_sd_max
64,0.635,hetero_dr_sd_max
