S.D.,Counts,seed,tournament_type
0.5,264,128,hetero_dr_sd_max
0.6,236,128,hetero_dr_sd_max
0.7,240,128,hetero_dr_sd_max
0.8,224,128,hetero_dr_sd_max
0.9,194,128,hetero_dr_sd_max
1.0,170,128,hetero_dr_sd_max
1.1,167,128,hetero_dr_sd_max
1.2,169,128,hetero_dr_sd_max
1.3,148,128,hetero_dr_sd_max
1.4,102,128,hetero_dr_sd_max
1.5,90,128,hetero_dr_sd_max
1.6,82,128,hetero_dr_sd_max
1.7,81,128,hetero_dr_sd_max
1.8,67,128,hetero_dr_sd_max
1.9,56,128,hetero_dr_sd_max
2.0,37,128,hetero_dr_sd_max
2.1,25,128,hetero_dr_sd_max
2.2,19,128,hetero_dr_sd_max
2.3,14,128,hetero_dr_sd_max
2.4,10,128,hetero_dr_sd_max
2.5,4,128,hetero_dr_sd_max
2.6,3,128,hetero_dr_sd_max
2.7,2,128,hetero_dr_sd_max
2.8,0,128,hetero_dr_sd_max
2.9,0,128,hetero_dr_sd_max
3.0,0,128,hetero_dr_sd_max
