S.D.,Counts,seed,tournament_type
0.5,294,8,norm_dr_sd_min
0.6,280,8,norm_dr_sd_min
0.7,254,8,norm_dr_sd_min
0.8,233,8,norm_dr_sd_min
0.9,199,8,norm_dr_sd_min
1,172,8,norm_dr_sd_min
1.1,173,8,norm_dr_sd_min
1.2,151,8,norm_dr_sd_min
1.3,131,8,norm_dr_sd_min
1.4,117,8,norm_dr_sd_min
1.5,118,8,norm_dr_sd_min
1.6,101,8,norm_dr_sd_min
1.7,69,8,norm_dr_sd_min
1.8,56,8,norm_dr_sd_min
1.9,44,8,norm_dr_sd_min
2,38,8,norm_dr_sd_min
2.1,35,8,norm_dr_sd_min
2.2,25,8,norm_dr_sd_min
2.3,18,8,norm_dr_sd_min
2.4,19,8,norm_dr_sd_min
2.5,12,8,norm_dr_sd_min
2.6,6,8,norm_dr_sd_min
2.7,2,8,norm_dr_sd_min
2.8,0,8,norm_dr_sd_min
2.9,0,8,norm_dr_sd_min
3,0,8,norm_dr_sd_min
