seed,coop_ratio,tournament_type
64,0.738,hetero_m_sd_max
64,0.632,hetero_m_sd_max
64,0.593,hetero_m_sd_max
64,0.576,hetero_m_sd_max
64,0.548,hetero_m_sd_max
64,0.511,hetero_m_sd_max
64,0.505,hetero_m_sd_max
64,0.513,hetero_m_sd_max
64,0.498,hetero_m_sd_max
64,0.487,hetero_m_sd_max
64,0.491,hetero_m_sd_max
64,0.495,hetero_m_sd_max
64,0.489,hetero_m_sd_max
64,0.485,hetero_m_sd_max
64,0.507,hetero_m_sd_max
64,0.508,hetero_m_sd_max
64,0.509,hetero_m_sd_max
64,0.522,hetero_m_sd_max
64,0.518,hetero_m_sd_max
64,0.521,hetero_m_sd_max
64,0.528,hetero_m_sd_max
64,0.521,hetero_m_sd_max
64,0.503,hetero_m_sd_max
64,0.472,hetero_m_sd_max
64,0.476,hetero_m_sd_max
64,0.494,hetero_m_sd_max
64,0.521,hetero_m_sd_max
64,0.527,hetero_m_sd_max
64,0.527,hetero_m_sd_max
64,0.537,hetero_m_sd_max
64,0.546,hetero_m_sd_max
64,0.547,hetero_m_sd_max
64,0.541,hetero_m_sd_max
64,0.531,hetero_m_sd_max
64,0.537,hetero_m_sd_max
64,0.523,hetero_m_sd_max
64,0.506,hetero_m_sd_max
64,0.493,hetero_m_sd_max
64,0.484,hetero_m_sd_max
64,0.48,hetero_m_sd_max
64,0.49,hetero_m_sd_max
64,0.508,hetero_m_sd_max
64,0.513,hetero_m_sd_max
64,0.501,hetero_m_sd_max
64,0.491,hetero_m_sd_max
64,0.485,hetero_m_sd_max
64,0.463,hetero_m_sd_max
64,0.451,hetero_m_sd_max
64,0.424,hetero_m_sd_max
64,0.413,hetero_m_sd_max
64,0.41,hetero_m_sd_max
64,0.406,hetero_m_sd_max
64,0.393,hetero_m_sd_max
64,0.408,hetero_m_sd_max
64,0.391,hetero_m_sd_max
64,0.385,hetero_m_sd_max
64,0.403,hetero_m_sd_max
64,0.406,hetero_m_sd_max
64,0.41,hetero_m_sd_max
64,0.424,hetero_m_sd_max
64,0.431,hetero_m_sd_max
64,0.431,hetero_m_sd_max
64,0.422,hetero_m_sd_max
64,0.433,hetero_m_sd_max
64,0.402,hetero_m_sd_max
64,0.401,hetero_m_sd_max
64,0.421,hetero_m_sd_max
64,0.429,hetero_m_sd_max
64,0.399,hetero_m_sd_max
64,0.377,hetero_m_sd_max
64,0.392,hetero_m_sd_max
64,0.37,hetero_m_sd_max
64,0.349,hetero_m_sd_max
64,0.365,hetero_m_sd_max
64,0.387,hetero_m_sd_max
64,0.401,hetero_m_sd_max
64,0.41,hetero_m_sd_max
64,0.395,hetero_m_sd_max
64,0.373,hetero_m_sd_max
64,0.34,hetero_m_sd_max
64,0.348,hetero_m_sd_max
64,0.331,hetero_m_sd_max
64,0.333,hetero_m_sd_max
64,0.337,hetero_m_sd_max
64,0.325,hetero_m_sd_max
64,0.309,hetero_m_sd_max
64,0.314,hetero_m_sd_max
64,0.328,hetero_m_sd_max
64,0.346,hetero_m_sd_max
64,0.371,hetero_m_sd_max
64,0.391,hetero_m_sd_max
64,0.378,hetero_m_sd_max
64,0.404,hetero_m_sd_max
64,0.431,hetero_m_sd_max
64,0.465,hetero_m_sd_max
64,0.472,hetero_m_sd_max
64,0.476,hetero_m_sd_max
64,0.457,hetero_m_sd_max
64,0.452,hetero_m_sd_max
64,0.463,hetero_m_sd_max
64,0.471,hetero_m_sd_max
64,0.488,hetero_m_sd_max
64,0.501,hetero_m_sd_max
64,0.505,hetero_m_sd_max
64,0.494,hetero_m_sd_max
64,0.491,hetero_m_sd_max
64,0.473,hetero_m_sd_max
64,0.489,hetero_m_sd_max
64,0.503,hetero_m_sd_max
64,0.505,hetero_m_sd_max
64,0.533,hetero_m_sd_max
64,0.542,hetero_m_sd_max
64,0.543,hetero_m_sd_max
64,0.545,hetero_m_sd_max
64,0.556,hetero_m_sd_max
64,0.551,hetero_m_sd_max
64,0.534,hetero_m_sd_max
64,0.542,hetero_m_sd_max
64,0.557,hetero_m_sd_max
64,0.561,hetero_m_sd_max
64,0.544,hetero_m_sd_max
64,0.557,hetero_m_sd_max
64,0.544,hetero_m_sd_max
64,0.521,hetero_m_sd_max
64,0.521,hetero_m_sd_max
64,0.515,hetero_m_sd_max
64,0.519,hetero_m_sd_max
64,0.54,hetero_m_sd_max
64,0.552,hetero_m_sd_max
64,0.534,hetero_m_sd_max
64,0.528,hetero_m_sd_max
64,0.515,hetero_m_sd_max
64,0.526,hetero_m_sd_max
64,0.539,hetero_m_sd_max
64,0.542,hetero_m_sd_max
64,0.549,hetero_m_sd_max
64,0.546,hetero_m_sd_max
64,0.574,hetero_m_sd_max
64,0.574,hetero_m_sd_max
64,0.556,hetero_m_sd_max
64,0.562,hetero_m_sd_max
64,0.561,hetero_m_sd_max
64,0.555,hetero_m_sd_max
64,0.556,hetero_m_sd_max
64,0.548,hetero_m_sd_max
64,0.546,hetero_m_sd_max
64,0.551,hetero_m_sd_max
64,0.565,hetero_m_sd_max
64,0.553,hetero_m_sd_max
64,0.524,hetero_m_sd_max
64,0.52,hetero_m_sd_max
64,0.502,hetero_m_sd_max
64,0.522,hetero_m_sd_max
64,0.55,hetero_m_sd_max
64,0.577,hetero_m_sd_max
64,0.587,hetero_m_sd_max
64,0.597,hetero_m_sd_max
64,0.609,hetero_m_sd_max
64,0.614,hetero_m_sd_max
64,0.619,hetero_m_sd_max
64,0.622,hetero_m_sd_max
64,0.603,hetero_m_sd_max
64,0.603,hetero_m_sd_max
64,0.599,hetero_m_sd_max
64,0.578,hetero_m_sd_max
64,0.538,hetero_m_sd_max
64,0.519,hetero_m_sd_max
64,0.512,hetero_m_sd_max
64,0.499,hetero_m_sd_max
64,0.495,hetero_m_sd_max
64,0.514,hetero_m_sd_max
64,0.529,hetero_m_sd_max
64,0.533,hetero_m_sd_max
64,0.504,hetero_m_sd_max
64,0.517,hetero_m_sd_max
64,0.529,hetero_m_sd_max
64,0.522,hetero_m_sd_max
64,0.524,hetero_m_sd_max
64,0.515,hetero_m_sd_max
64,0.506,hetero_m_sd_max
64,0.473,hetero_m_sd_max
64,0.471,hetero_m_sd_max
64,0.489,hetero_m_sd_max
64,0.455,hetero_m_sd_max
64,0.438,hetero_m_sd_max
64,0.455,hetero_m_sd_max
64,0.479,hetero_m_sd_max
64,0.495,hetero_m_sd_max
64,0.479,hetero_m_sd_max
64,0.471,hetero_m_sd_max
64,0.458,hetero_m_sd_max
64,0.463,hetero_m_sd_max
64,0.483,hetero_m_sd_max
64,0.483,hetero_m_sd_max
64,0.472,hetero_m_sd_max
64,0.468,hetero_m_sd_max
64,0.486,hetero_m_sd_max
64,0.491,hetero_m_sd_max
