S.D.,Counts,seed,tournament_type
0.5,244,128,norm_m_sd_max
0.6,255,128,norm_m_sd_max
0.7,234,128,norm_m_sd_max
0.8,231,128,norm_m_sd_max
0.9,208,128,norm_m_sd_max
1,190,128,norm_m_sd_max
1.1,164,128,norm_m_sd_max
1.2,133,128,norm_m_sd_max
1.3,130,128,norm_m_sd_max
1.4,104,128,norm_m_sd_max
1.5,106,128,norm_m_sd_max
1.6,85,128,norm_m_sd_max
1.7,78,128,norm_m_sd_max
1.8,61,128,norm_m_sd_max
1.9,48,128,norm_m_sd_max
2,26,128,norm_m_sd_max
2.1,16,128,norm_m_sd_max
2.2,9,128,norm_m_sd_max
2.3,4,128,norm_m_sd_max
2.4,2,128,norm_m_sd_max
2.5,0,128,norm_m_sd_max
2.6,0,128,norm_m_sd_max
2.7,0,128,norm_m_sd_max
2.8,0,128,norm_m_sd_max
2.9,0,128,norm_m_sd_max
3,0,128,norm_m_sd_max
