seed,coop_ratio,tournament_type
1024,0.701,hetero_m_sd_min
1024,0.593,hetero_m_sd_min
1024,0.581,hetero_m_sd_min
1024,0.574,hetero_m_sd_min
1024,0.537,hetero_m_sd_min
1024,0.508,hetero_m_sd_min
1024,0.486,hetero_m_sd_min
1024,0.463,hetero_m_sd_min
1024,0.47,hetero_m_sd_min
1024,0.452,hetero_m_sd_min
1024,0.429,hetero_m_sd_min
1024,0.389,hetero_m_sd_min
1024,0.398,hetero_m_sd_min
1024,0.372,hetero_m_sd_min
1024,0.365,hetero_m_sd_min
1024,0.365,hetero_m_sd_min
1024,0.363,hetero_m_sd_min
1024,0.374,hetero_m_sd_min
1024,0.361,hetero_m_sd_min
1024,0.381,hetero_m_sd_min
1024,0.398,hetero_m_sd_min
1024,0.421,hetero_m_sd_min
1024,0.431,hetero_m_sd_min
1024,0.404,hetero_m_sd_min
1024,0.396,hetero_m_sd_min
1024,0.405,hetero_m_sd_min
1024,0.388,hetero_m_sd_min
1024,0.397,hetero_m_sd_min
1024,0.41,hetero_m_sd_min
1024,0.415,hetero_m_sd_min
1024,0.427,hetero_m_sd_min
1024,0.429,hetero_m_sd_min
1024,0.459,hetero_m_sd_min
1024,0.46,hetero_m_sd_min
1024,0.465,hetero_m_sd_min
1024,0.474,hetero_m_sd_min
1024,0.471,hetero_m_sd_min
1024,0.45,hetero_m_sd_min
1024,0.46,hetero_m_sd_min
1024,0.466,hetero_m_sd_min
1024,0.47,hetero_m_sd_min
1024,0.45,hetero_m_sd_min
1024,0.45,hetero_m_sd_min
1024,0.452,hetero_m_sd_min
1024,0.456,hetero_m_sd_min
1024,0.457,hetero_m_sd_min
1024,0.458,hetero_m_sd_min
1024,0.441,hetero_m_sd_min
1024,0.434,hetero_m_sd_min
1024,0.453,hetero_m_sd_min
1024,0.461,hetero_m_sd_min
1024,0.495,hetero_m_sd_min
1024,0.525,hetero_m_sd_min
1024,0.566,hetero_m_sd_min
1024,0.592,hetero_m_sd_min
1024,0.616,hetero_m_sd_min
1024,0.625,hetero_m_sd_min
1024,0.613,hetero_m_sd_min
1024,0.61,hetero_m_sd_min
1024,0.609,hetero_m_sd_min
1024,0.613,hetero_m_sd_min
1024,0.619,hetero_m_sd_min
1024,0.604,hetero_m_sd_min
1024,0.611,hetero_m_sd_min
1024,0.605,hetero_m_sd_min
1024,0.597,hetero_m_sd_min
1024,0.596,hetero_m_sd_min
1024,0.613,hetero_m_sd_min
1024,0.623,hetero_m_sd_min
1024,0.627,hetero_m_sd_min
1024,0.631,hetero_m_sd_min
1024,0.614,hetero_m_sd_min
1024,0.617,hetero_m_sd_min
1024,0.63,hetero_m_sd_min
1024,0.613,hetero_m_sd_min
1024,0.593,hetero_m_sd_min
1024,0.559,hetero_m_sd_min
1024,0.582,hetero_m_sd_min
1024,0.58,hetero_m_sd_min
1024,0.587,hetero_m_sd_min
1024,0.583,hetero_m_sd_min
1024,0.597,hetero_m_sd_min
1024,0.615,hetero_m_sd_min
1024,0.621,hetero_m_sd_min
1024,0.647,hetero_m_sd_min
1024,0.652,hetero_m_sd_min
1024,0.666,hetero_m_sd_min
1024,0.693,hetero_m_sd_min
1024,0.72,hetero_m_sd_min
1024,0.74,hetero_m_sd_min
1024,0.759,hetero_m_sd_min
1024,0.752,hetero_m_sd_min
1024,0.737,hetero_m_sd_min
1024,0.741,hetero_m_sd_min
1024,0.762,hetero_m_sd_min
1024,0.781,hetero_m_sd_min
1024,0.784,hetero_m_sd_min
1024,0.786,hetero_m_sd_min
1024,0.771,hetero_m_sd_min
1024,0.771,hetero_m_sd_min
1024,0.784,hetero_m_sd_min
1024,0.781,hetero_m_sd_min
1024,0.793,hetero_m_sd_min
1024,0.799,hetero_m_sd_min
1024,0.799,hetero_m_sd_min
1024,0.807,hetero_m_sd_min
1024,0.819,hetero_m_sd_min
1024,0.805,hetero_m_sd_min
1024,0.785,hetero_m_sd_min
1024,0.792,hetero_m_sd_min
1024,0.801,hetero_m_sd_min
1024,0.794,hetero_m_sd_min
1024,0.796,hetero_m_sd_min
1024,0.798,hetero_m_sd_min
1024,0.816,hetero_m_sd_min
1024,0.809,hetero_m_sd_min
1024,0.813,hetero_m_sd_min
1024,0.813,hetero_m_sd_min
1024,0.814,hetero_m_sd_min
1024,0.803,hetero_m_sd_min
1024,0.803,hetero_m_sd_min
1024,0.807,hetero_m_sd_min
1024,0.803,hetero_m_sd_min
1024,0.798,hetero_m_sd_min
1024,0.784,hetero_m_sd_min
1024,0.782,hetero_m_sd_min
1024,0.76,hetero_m_sd_min
1024,0.738,hetero_m_sd_min
1024,0.726,hetero_m_sd_min
1024,0.734,hetero_m_sd_min
1024,0.721,hetero_m_sd_min
1024,0.689,hetero_m_sd_min
1024,0.675,hetero_m_sd_min
1024,0.669,hetero_m_sd_min
1024,0.649,hetero_m_sd_min
1024,0.653,hetero_m_sd_min
1024,0.657,hetero_m_sd_min
1024,0.651,hetero_m_sd_min
1024,0.637,hetero_m_sd_min
1024,0.634,hetero_m_sd_min
1024,0.649,hetero_m_sd_min
1024,0.657,hetero_m_sd_min
1024,0.653,hetero_m_sd_min
1024,0.68,hetero_m_sd_min
1024,0.696,hetero_m_sd_min
1024,0.699,hetero_m_sd_min
1024,0.703,hetero_m_sd_min
1024,0.705,hetero_m_sd_min
1024,0.714,hetero_m_sd_min
1024,0.728,hetero_m_sd_min
1024,0.736,hetero_m_sd_min
1024,0.746,hetero_m_sd_min
1024,0.748,hetero_m_sd_min
1024,0.741,hetero_m_sd_min
1024,0.739,hetero_m_sd_min
1024,0.735,hetero_m_sd_min
1024,0.719,hetero_m_sd_min
1024,0.739,hetero_m_sd_min
1024,0.75,hetero_m_sd_min
1024,0.778,hetero_m_sd_min
1024,0.765,hetero_m_sd_min
1024,0.775,hetero_m_sd_min
1024,0.774,hetero_m_sd_min
1024,0.764,hetero_m_sd_min
1024,0.755,hetero_m_sd_min
1024,0.742,hetero_m_sd_min
1024,0.727,hetero_m_sd_min
1024,0.704,hetero_m_sd_min
1024,0.682,hetero_m_sd_min
1024,0.68,hetero_m_sd_min
1024,0.67,hetero_m_sd_min
1024,0.682,hetero_m_sd_min
1024,0.691,hetero_m_sd_min
1024,0.693,hetero_m_sd_min
1024,0.692,hetero_m_sd_min
1024,0.672,hetero_m_sd_min
1024,0.643,hetero_m_sd_min
1024,0.639,hetero_m_sd_min
1024,0.647,hetero_m_sd_min
1024,0.691,hetero_m_sd_min
1024,0.686,hetero_m_sd_min
1024,0.661,hetero_m_sd_min
1024,0.658,hetero_m_sd_min
1024,0.679,hetero_m_sd_min
1024,0.676,hetero_m_sd_min
1024,0.688,hetero_m_sd_min
1024,0.699,hetero_m_sd_min
1024,0.686,hetero_m_sd_min
1024,0.702,hetero_m_sd_min
1024,0.724,hetero_m_sd_min
1024,0.741,hetero_m_sd_min
1024,0.749,hetero_m_sd_min
1024,0.754,hetero_m_sd_min
1024,0.739,hetero_m_sd_min
1024,0.732,hetero_m_sd_min
1024,0.728,hetero_m_sd_min
1024,0.716,hetero_m_sd_min
1024,0.723,hetero_m_sd_min
1024,0.727,hetero_m_sd_min
1024,0.72,hetero_m_sd_min
1024,0.71,hetero_m_sd_min
1024,0.678,hetero_m_sd_min
1024,0.649,hetero_m_sd_min
1024,0.61,hetero_m_sd_min
1024,0.6,hetero_m_sd_min
1024,0.589,hetero_m_sd_min
1024,0.562,hetero_m_sd_min
1024,0.552,hetero_m_sd_min
1024,0.566,hetero_m_sd_min
1024,0.584,hetero_m_sd_min
1024,0.588,hetero_m_sd_min
1024,0.59,hetero_m_sd_min
1024,0.588,hetero_m_sd_min
1024,0.583,hetero_m_sd_min
1024,0.585,hetero_m_sd_min
