S.D.,Counts,seed,tournament_type
0.5,260,128,norm_m_sd_min
0.6,237,128,norm_m_sd_min
0.7,219,128,norm_m_sd_min
0.8,202,128,norm_m_sd_min
0.9,184,128,norm_m_sd_min
1,185,128,norm_m_sd_min
1.1,168,128,norm_m_sd_min
1.2,148,128,norm_m_sd_min
1.3,161,128,norm_m_sd_min
1.4,136,128,norm_m_sd_min
1.5,119,128,norm_m_sd_min
1.6,106,128,norm_m_sd_min
1.7,92,128,norm_m_sd_min
1.8,70,128,norm_m_sd_min
1.9,41,128,norm_m_sd_min
2,50,128,norm_m_sd_min
2.1,31,128,norm_m_sd_min
2.2,17,128,norm_m_sd_min
2.3,7,128,norm_m_sd_min
2.4,4,128,norm_m_sd_min
2.5,1,128,norm_m_sd_min
2.6,0,128,norm_m_sd_min
2.7,0,128,norm_m_sd_min
2.8,0,128,norm_m_sd_min
2.9,0,128,norm_m_sd_min
3,0,128,norm_m_sd_min
