seed,coop_ratio,tournament_type
16,0.774,hetero_mdr_sd_min
16,0.67,hetero_mdr_sd_min
16,0.675,hetero_mdr_sd_min
16,0.685,hetero_mdr_sd_min
16,0.695,hetero_mdr_sd_min
16,0.693,hetero_mdr_sd_min
16,0.707,hetero_mdr_sd_min
16,0.684,hetero_mdr_sd_min
16,0.697,hetero_mdr_sd_min
16,0.72,hetero_mdr_sd_min
16,0.737,hetero_mdr_sd_min
16,0.755,hetero_mdr_sd_min
16,0.771,hetero_mdr_sd_min
16,0.796,hetero_mdr_sd_min
16,0.798,hetero_mdr_sd_min
16,0.795,hetero_mdr_sd_min
16,0.789,hetero_mdr_sd_min
16,0.761,hetero_mdr_sd_min
16,0.749,hetero_mdr_sd_min
16,0.768,hetero_mdr_sd_min
16,0.758,hetero_mdr_sd_min
16,0.744,hetero_mdr_sd_min
16,0.735,hetero_mdr_sd_min
16,0.708,hetero_mdr_sd_min
16,0.674,hetero_mdr_sd_min
16,0.669,hetero_mdr_sd_min
16,0.639,hetero_mdr_sd_min
16,0.653,hetero_mdr_sd_min
16,0.648,hetero_mdr_sd_min
16,0.627,hetero_mdr_sd_min
16,0.627,hetero_mdr_sd_min
16,0.621,hetero_mdr_sd_min
16,0.616,hetero_mdr_sd_min
16,0.593,hetero_mdr_sd_min
16,0.56,hetero_mdr_sd_min
16,0.537,hetero_mdr_sd_min
16,0.521,hetero_mdr_sd_min
16,0.496,hetero_mdr_sd_min
16,0.502,hetero_mdr_sd_min
16,0.485,hetero_mdr_sd_min
16,0.489,hetero_mdr_sd_min
16,0.487,hetero_mdr_sd_min
16,0.449,hetero_mdr_sd_min
16,0.411,hetero_mdr_sd_min
16,0.407,hetero_mdr_sd_min
16,0.417,hetero_mdr_sd_min
16,0.441,hetero_mdr_sd_min
16,0.432,hetero_mdr_sd_min
16,0.436,hetero_mdr_sd_min
16,0.425,hetero_mdr_sd_min
16,0.444,hetero_mdr_sd_min
16,0.423,hetero_mdr_sd_min
16,0.397,hetero_mdr_sd_min
16,0.392,hetero_mdr_sd_min
16,0.366,hetero_mdr_sd_min
16,0.367,hetero_mdr_sd_min
16,0.377,hetero_mdr_sd_min
16,0.382,hetero_mdr_sd_min
16,0.395,hetero_mdr_sd_min
16,0.401,hetero_mdr_sd_min
16,0.393,hetero_mdr_sd_min
16,0.402,hetero_mdr_sd_min
16,0.43,hetero_mdr_sd_min
16,0.416,hetero_mdr_sd_min
16,0.4,hetero_mdr_sd_min
16,0.413,hetero_mdr_sd_min
16,0.403,hetero_mdr_sd_min
16,0.413,hetero_mdr_sd_min
16,0.416,hetero_mdr_sd_min
16,0.399,hetero_mdr_sd_min
16,0.371,hetero_mdr_sd_min
16,0.366,hetero_mdr_sd_min
16,0.347,hetero_mdr_sd_min
16,0.334,hetero_mdr_sd_min
16,0.332,hetero_mdr_sd_min
16,0.336,hetero_mdr_sd_min
16,0.345,hetero_mdr_sd_min
16,0.365,hetero_mdr_sd_min
16,0.359,hetero_mdr_sd_min
16,0.369,hetero_mdr_sd_min
16,0.37,hetero_mdr_sd_min
16,0.372,hetero_mdr_sd_min
16,0.378,hetero_mdr_sd_min
16,0.389,hetero_mdr_sd_min
16,0.407,hetero_mdr_sd_min
16,0.404,hetero_mdr_sd_min
16,0.402,hetero_mdr_sd_min
16,0.405,hetero_mdr_sd_min
16,0.412,hetero_mdr_sd_min
16,0.425,hetero_mdr_sd_min
16,0.435,hetero_mdr_sd_min
16,0.419,hetero_mdr_sd_min
16,0.424,hetero_mdr_sd_min
16,0.429,hetero_mdr_sd_min
16,0.431,hetero_mdr_sd_min
16,0.437,hetero_mdr_sd_min
16,0.445,hetero_mdr_sd_min
16,0.461,hetero_mdr_sd_min
16,0.465,hetero_mdr_sd_min
16,0.461,hetero_mdr_sd_min
16,0.45,hetero_mdr_sd_min
16,0.422,hetero_mdr_sd_min
16,0.409,hetero_mdr_sd_min
16,0.388,hetero_mdr_sd_min
16,0.379,hetero_mdr_sd_min
16,0.383,hetero_mdr_sd_min
16,0.367,hetero_mdr_sd_min
16,0.341,hetero_mdr_sd_min
16,0.333,hetero_mdr_sd_min
16,0.305,hetero_mdr_sd_min
16,0.288,hetero_mdr_sd_min
16,0.282,hetero_mdr_sd_min
16,0.296,hetero_mdr_sd_min
16,0.298,hetero_mdr_sd_min
16,0.307,hetero_mdr_sd_min
16,0.301,hetero_mdr_sd_min
16,0.302,hetero_mdr_sd_min
16,0.305,hetero_mdr_sd_min
16,0.301,hetero_mdr_sd_min
16,0.293,hetero_mdr_sd_min
16,0.306,hetero_mdr_sd_min
16,0.302,hetero_mdr_sd_min
16,0.294,hetero_mdr_sd_min
16,0.283,hetero_mdr_sd_min
16,0.28,hetero_mdr_sd_min
16,0.282,hetero_mdr_sd_min
16,0.281,hetero_mdr_sd_min
16,0.284,hetero_mdr_sd_min
16,0.283,hetero_mdr_sd_min
16,0.277,hetero_mdr_sd_min
16,0.271,hetero_mdr_sd_min
16,0.261,hetero_mdr_sd_min
16,0.253,hetero_mdr_sd_min
16,0.26,hetero_mdr_sd_min
16,0.28,hetero_mdr_sd_min
16,0.265,hetero_mdr_sd_min
16,0.269,hetero_mdr_sd_min
16,0.25,hetero_mdr_sd_min
16,0.253,hetero_mdr_sd_min
16,0.224,hetero_mdr_sd_min
16,0.229,hetero_mdr_sd_min
16,0.229,hetero_mdr_sd_min
16,0.22,hetero_mdr_sd_min
16,0.235,hetero_mdr_sd_min
16,0.254,hetero_mdr_sd_min
16,0.263,hetero_mdr_sd_min
16,0.252,hetero_mdr_sd_min
16,0.243,hetero_mdr_sd_min
16,0.251,hetero_mdr_sd_min
16,0.257,hetero_mdr_sd_min
16,0.267,hetero_mdr_sd_min
16,0.274,hetero_mdr_sd_min
16,0.281,hetero_mdr_sd_min
16,0.29,hetero_mdr_sd_min
16,0.273,hetero_mdr_sd_min
16,0.271,hetero_mdr_sd_min
16,0.284,hetero_mdr_sd_min
16,0.286,hetero_mdr_sd_min
16,0.291,hetero_mdr_sd_min
16,0.29,hetero_mdr_sd_min
16,0.288,hetero_mdr_sd_min
16,0.286,hetero_mdr_sd_min
16,0.287,hetero_mdr_sd_min
16,0.294,hetero_mdr_sd_min
16,0.296,hetero_mdr_sd_min
16,0.286,hetero_mdr_sd_min
16,0.292,hetero_mdr_sd_min
16,0.282,hetero_mdr_sd_min
16,0.293,hetero_mdr_sd_min
16,0.301,hetero_mdr_sd_min
16,0.299,hetero_mdr_sd_min
16,0.29,hetero_mdr_sd_min
16,0.286,hetero_mdr_sd_min
16,0.268,hetero_mdr_sd_min
16,0.252,hetero_mdr_sd_min
16,0.252,hetero_mdr_sd_min
16,0.244,hetero_mdr_sd_min
16,0.247,hetero_mdr_sd_min
16,0.271,hetero_mdr_sd_min
16,0.279,hetero_mdr_sd_min
16,0.276,hetero_mdr_sd_min
16,0.282,hetero_mdr_sd_min
16,0.292,hetero_mdr_sd_min
16,0.314,hetero_mdr_sd_min
16,0.311,hetero_mdr_sd_min
16,0.3,hetero_mdr_sd_min
16,0.317,hetero_mdr_sd_min
16,0.348,hetero_mdr_sd_min
16,0.342,hetero_mdr_sd_min
16,0.316,hetero_mdr_sd_min
16,0.289,hetero_mdr_sd_min
16,0.298,hetero_mdr_sd_min
16,0.33,hetero_mdr_sd_min
16,0.343,hetero_mdr_sd_min
16,0.37,hetero_mdr_sd_min
16,0.397,hetero_mdr_sd_min
16,0.385,hetero_mdr_sd_min
16,0.385,hetero_mdr_sd_min
16,0.393,hetero_mdr_sd_min
16,0.415,hetero_mdr_sd_min
16,0.418,hetero_mdr_sd_min
16,0.414,hetero_mdr_sd_min
16,0.412,hetero_mdr_sd_min
16,0.422,hetero_mdr_sd_min
16,0.427,hetero_mdr_sd_min
16,0.429,hetero_mdr_sd_min
16,0.427,hetero_mdr_sd_min
16,0.427,hetero_mdr_sd_min
16,0.413,hetero_mdr_sd_min
16,0.392,hetero_mdr_sd_min
16,0.39,hetero_mdr_sd_min
16,0.409,hetero_mdr_sd_min
16,0.412,hetero_mdr_sd_min
16,0.406,hetero_mdr_sd_min
16,0.424,hetero_mdr_sd_min
16,0.411,hetero_mdr_sd_min
16,0.412,hetero_mdr_sd_min
16,0.414,hetero_mdr_sd_min
