S.D.,Counts,seed,tournament_type
0.5,259,16,norm_mdr_sd_min
0.6,249,16,norm_mdr_sd_min
0.7,225,16,norm_mdr_sd_min
0.8,221,16,norm_mdr_sd_min
0.9,219,16,norm_mdr_sd_min
1,209,16,norm_mdr_sd_min
1.1,202,16,norm_mdr_sd_min
1.2,177,16,norm_mdr_sd_min
1.3,162,16,norm_mdr_sd_min
1.4,151,16,norm_mdr_sd_min
1.5,130,16,norm_mdr_sd_min
1.6,118,16,norm_mdr_sd_min
1.7,98,16,norm_mdr_sd_min
1.8,75,16,norm_mdr_sd_min
1.9,59,16,norm_mdr_sd_min
2,32,16,norm_mdr_sd_min
2.1,15,16,norm_mdr_sd_min
2.2,7,16,norm_mdr_sd_min
2.3,1,16,norm_mdr_sd_min
2.4,0,16,norm_mdr_sd_min
2.5,0,16,norm_mdr_sd_min
2.6,0,16,norm_mdr_sd_min
2.7,0,16,norm_mdr_sd_min
2.8,0,16,norm_mdr_sd_min
2.9,0,16,norm_mdr_sd_min
3,0,16,norm_mdr_sd_min
