seed,coop_ratio,tournament_type
32,0.739,pareto_dr_max
32,0.618,pareto_dr_max
32,0.592,pareto_dr_max
32,0.572,pareto_dr_max
32,0.539,pareto_dr_max
32,0.492,pareto_dr_max
32,0.478,pareto_dr_max
32,0.477,pareto_dr_max
32,0.477,pareto_dr_max
32,0.498,pareto_dr_max
32,0.49,pareto_dr_max
32,0.485,pareto_dr_max
32,0.433,pareto_dr_max
32,0.401,pareto_dr_max
32,0.403,pareto_dr_max
32,0.378,pareto_dr_max
32,0.387,pareto_dr_max
32,0.377,pareto_dr_max
32,0.396,pareto_dr_max
32,0.388,pareto_dr_max
32,0.41,pareto_dr_max
32,0.437,pareto_dr_max
32,0.441,pareto_dr_max
32,0.431,pareto_dr_max
32,0.421,pareto_dr_max
32,0.441,pareto_dr_max
32,0.457,pareto_dr_max
32,0.471,pareto_dr_max
32,0.469,pareto_dr_max
32,0.488,pareto_dr_max
32,0.473,pareto_dr_max
32,0.46,pareto_dr_max
32,0.437,pareto_dr_max
32,0.424,pareto_dr_max
32,0.438,pareto_dr_max
32,0.451,pareto_dr_max
32,0.455,pareto_dr_max
32,0.48,pareto_dr_max
32,0.472,pareto_dr_max
32,0.478,pareto_dr_max
32,0.477,pareto_dr_max
32,0.464,pareto_dr_max
32,0.456,pareto_dr_max
32,0.459,pareto_dr_max
32,0.476,pareto_dr_max
32,0.477,pareto_dr_max
32,0.47,pareto_dr_max
32,0.483,pareto_dr_max
32,0.487,pareto_dr_max
32,0.514,pareto_dr_max
32,0.545,pareto_dr_max
32,0.556,pareto_dr_max
32,0.59,pareto_dr_max
32,0.603,pareto_dr_max
32,0.608,pareto_dr_max
32,0.621,pareto_dr_max
32,0.613,pareto_dr_max
32,0.604,pareto_dr_max
32,0.616,pareto_dr_max
32,0.618,pareto_dr_max
32,0.614,pareto_dr_max
32,0.632,pareto_dr_max
32,0.627,pareto_dr_max
32,0.656,pareto_dr_max
32,0.626,pareto_dr_max
32,0.652,pareto_dr_max
32,0.625,pareto_dr_max
32,0.612,pareto_dr_max
32,0.592,pareto_dr_max
32,0.593,pareto_dr_max
32,0.577,pareto_dr_max
32,0.554,pareto_dr_max
32,0.579,pareto_dr_max
32,0.551,pareto_dr_max
32,0.556,pareto_dr_max
32,0.572,pareto_dr_max
32,0.579,pareto_dr_max
32,0.557,pareto_dr_max
32,0.551,pareto_dr_max
32,0.546,pareto_dr_max
32,0.555,pareto_dr_max
32,0.572,pareto_dr_max
32,0.586,pareto_dr_max
32,0.566,pareto_dr_max
32,0.549,pareto_dr_max
32,0.538,pareto_dr_max
32,0.533,pareto_dr_max
32,0.538,pareto_dr_max
32,0.54,pareto_dr_max
32,0.535,pareto_dr_max
32,0.507,pareto_dr_max
32,0.503,pareto_dr_max
32,0.515,pareto_dr_max
32,0.522,pareto_dr_max
32,0.54,pareto_dr_max
32,0.54,pareto_dr_max
32,0.561,pareto_dr_max
32,0.57,pareto_dr_max
32,0.575,pareto_dr_max
32,0.598,pareto_dr_max
32,0.6,pareto_dr_max
32,0.596,pareto_dr_max
32,0.607,pareto_dr_max
32,0.603,pareto_dr_max
32,0.601,pareto_dr_max
32,0.59,pareto_dr_max
32,0.584,pareto_dr_max
32,0.595,pareto_dr_max
32,0.618,pareto_dr_max
32,0.621,pareto_dr_max
32,0.592,pareto_dr_max
32,0.584,pareto_dr_max
32,0.579,pareto_dr_max
32,0.592,pareto_dr_max
32,0.598,pareto_dr_max
32,0.611,pareto_dr_max
32,0.616,pareto_dr_max
32,0.599,pareto_dr_max
32,0.596,pareto_dr_max
32,0.577,pareto_dr_max
32,0.574,pareto_dr_max
32,0.578,pareto_dr_max
32,0.549,pareto_dr_max
32,0.548,pareto_dr_max
32,0.567,pareto_dr_max
32,0.57,pareto_dr_max
32,0.574,pareto_dr_max
32,0.59,pareto_dr_max
32,0.612,pareto_dr_max
32,0.624,pareto_dr_max
32,0.621,pareto_dr_max
32,0.616,pareto_dr_max
32,0.634,pareto_dr_max
32,0.629,pareto_dr_max
32,0.621,pareto_dr_max
32,0.635,pareto_dr_max
32,0.655,pareto_dr_max
32,0.687,pareto_dr_max
32,0.695,pareto_dr_max
32,0.701,pareto_dr_max
32,0.691,pareto_dr_max
32,0.716,pareto_dr_max
32,0.733,pareto_dr_max
32,0.709,pareto_dr_max
32,0.688,pareto_dr_max
32,0.645,pareto_dr_max
32,0.649,pareto_dr_max
32,0.645,pareto_dr_max
32,0.635,pareto_dr_max
32,0.62,pareto_dr_max
32,0.608,pareto_dr_max
32,0.604,pareto_dr_max
32,0.606,pareto_dr_max
32,0.615,pareto_dr_max
32,0.6,pareto_dr_max
32,0.602,pareto_dr_max
32,0.621,pareto_dr_max
32,0.624,pareto_dr_max
32,0.638,pareto_dr_max
32,0.655,pareto_dr_max
32,0.673,pareto_dr_max
32,0.682,pareto_dr_max
32,0.677,pareto_dr_max
32,0.649,pareto_dr_max
32,0.62,pareto_dr_max
32,0.618,pareto_dr_max
32,0.607,pareto_dr_max
32,0.607,pareto_dr_max
32,0.578,pareto_dr_max
32,0.552,pareto_dr_max
32,0.498,pareto_dr_max
32,0.502,pareto_dr_max
32,0.485,pareto_dr_max
32,0.468,pareto_dr_max
32,0.464,pareto_dr_max
32,0.482,pareto_dr_max
32,0.452,pareto_dr_max
32,0.414,pareto_dr_max
32,0.42,pareto_dr_max
32,0.396,pareto_dr_max
32,0.395,pareto_dr_max
32,0.384,pareto_dr_max
32,0.387,pareto_dr_max
32,0.368,pareto_dr_max
32,0.372,pareto_dr_max
32,0.384,pareto_dr_max
32,0.383,pareto_dr_max
32,0.368,pareto_dr_max
32,0.352,pareto_dr_max
32,0.347,pareto_dr_max
32,0.35,pareto_dr_max
32,0.358,pareto_dr_max
32,0.356,pareto_dr_max
32,0.368,pareto_dr_max
32,0.364,pareto_dr_max
32,0.384,pareto_dr_max
32,0.378,pareto_dr_max
32,0.372,pareto_dr_max
32,0.382,pareto_dr_max
32,0.376,pareto_dr_max
32,0.375,pareto_dr_max
32,0.373,pareto_dr_max
32,0.387,pareto_dr_max
32,0.392,pareto_dr_max
32,0.419,pareto_dr_max
32,0.458,pareto_dr_max
32,0.444,pareto_dr_max
32,0.445,pareto_dr_max
32,0.418,pareto_dr_max
32,0.403,pareto_dr_max
32,0.413,pareto_dr_max
32,0.411,pareto_dr_max
32,0.402,pareto_dr_max
32,0.395,pareto_dr_max
32,0.395,pareto_dr_max
32,0.399,pareto_dr_max
32,0.442,pareto_dr_max
32,0.414,pareto_dr_max
32,0.416,pareto_dr_max
32,0.411,pareto_dr_max
32,0.431,pareto_dr_max
32,0.469,pareto_dr_max
32,0.482,pareto_dr_max
32,0.465,pareto_dr_max
32,0.476,pareto_dr_max
32,0.506,pareto_dr_max
32,0.522,pareto_dr_max
32,0.523,pareto_dr_max
32,0.504,pareto_dr_max
32,0.498,pareto_dr_max
32,0.473,pareto_dr_max
32,0.502,pareto_dr_max
32,0.51,pareto_dr_max
32,0.501,pareto_dr_max
32,0.487,pareto_dr_max
32,0.5,pareto_dr_max
32,0.512,pareto_dr_max
32,0.502,pareto_dr_max
32,0.48,pareto_dr_max
32,0.489,pareto_dr_max
32,0.545,pareto_dr_max
32,0.583,pareto_dr_max
32,0.568,pareto_dr_max
32,0.566,pareto_dr_max
32,0.595,pareto_dr_max
32,0.583,pareto_dr_max
32,0.553,pareto_dr_max
32,0.53,pareto_dr_max
32,0.536,pareto_dr_max
32,0.546,pareto_dr_max
32,0.539,pareto_dr_max
32,0.54,pareto_dr_max
32,0.517,pareto_dr_max
32,0.508,pareto_dr_max
32,0.495,pareto_dr_max
32,0.495,pareto_dr_max
32,0.472,pareto_dr_max
32,0.465,pareto_dr_max
32,0.485,pareto_dr_max
32,0.49,pareto_dr_max
32,0.502,pareto_dr_max
32,0.517,pareto_dr_max
32,0.526,pareto_dr_max
32,0.534,pareto_dr_max
32,0.565,pareto_dr_max
32,0.583,pareto_dr_max
32,0.605,pareto_dr_max
32,0.582,pareto_dr_max
32,0.555,pareto_dr_max
32,0.58,pareto_dr_max
32,0.579,pareto_dr_max
