S.D.,Counts,seed,tournament_type
0.5,303,4,pareto_dr_max
0.6,290,4,pareto_dr_max
0.7,257,4,pareto_dr_max
0.8,235,4,pareto_dr_max
0.9,213,4,pareto_dr_max
1,209,4,pareto_dr_max
1.1,178,4,pareto_dr_max
1.2,177,4,pareto_dr_max
1.3,165,4,pareto_dr_max
1.4,142,4,pareto_dr_max
1.5,106,4,pareto_dr_max
1.6,93,4,pareto_dr_max
1.7,85,4,pareto_dr_max
1.8,70,4,pareto_dr_max
1.9,58,4,pareto_dr_max
2,44,4,pareto_dr_max
2.1,33,4,pareto_dr_max
2.2,21,4,pareto_dr_max
2.3,10,4,pareto_dr_max
2.4,6,4,pareto_dr_max
2.5,5,4,pareto_dr_max
2.6,5,4,pareto_dr_max
2.7,4,4,pareto_dr_max
2.8,0,4,pareto_dr_max
2.9,0,4,pareto_dr_max
3,0,4,pareto_dr_max
