seed,coop_ratio,tournament_type
2,0.753,pareto_dr_min
2,0.635,pareto_dr_min
2,0.627,pareto_dr_min
2,0.62,pareto_dr_min
2,0.615,pareto_dr_min
2,0.631,pareto_dr_min
2,0.652,pareto_dr_min
2,0.667,pareto_dr_min
2,0.656,pareto_dr_min
2,0.655,pareto_dr_min
2,0.653,pareto_dr_min
2,0.653,pareto_dr_min
2,0.637,pareto_dr_min
2,0.647,pareto_dr_min
2,0.636,pareto_dr_min
2,0.624,pareto_dr_min
2,0.634,pareto_dr_min
2,0.592,pareto_dr_min
2,0.568,pareto_dr_min
2,0.572,pareto_dr_min
2,0.59,pareto_dr_min
2,0.604,pareto_dr_min
2,0.614,pareto_dr_min
2,0.605,pareto_dr_min
2,0.603,pareto_dr_min
2,0.605,pareto_dr_min
2,0.616,pareto_dr_min
2,0.652,pareto_dr_min
2,0.655,pareto_dr_min
2,0.633,pareto_dr_min
2,0.647,pareto_dr_min
2,0.671,pareto_dr_min
2,0.661,pareto_dr_min
2,0.638,pareto_dr_min
2,0.63,pareto_dr_min
2,0.644,pareto_dr_min
2,0.662,pareto_dr_min
2,0.638,pareto_dr_min
2,0.629,pareto_dr_min
2,0.646,pareto_dr_min
2,0.64,pareto_dr_min
2,0.648,pareto_dr_min
2,0.638,pareto_dr_min
2,0.631,pareto_dr_min
2,0.635,pareto_dr_min
2,0.636,pareto_dr_min
2,0.657,pareto_dr_min
2,0.67,pareto_dr_min
2,0.659,pareto_dr_min
2,0.652,pareto_dr_min
2,0.654,pareto_dr_min
2,0.633,pareto_dr_min
2,0.651,pareto_dr_min
2,0.664,pareto_dr_min
2,0.669,pareto_dr_min
2,0.685,pareto_dr_min
2,0.693,pareto_dr_min
2,0.699,pareto_dr_min
2,0.688,pareto_dr_min
2,0.675,pareto_dr_min
2,0.678,pareto_dr_min
2,0.684,pareto_dr_min
2,0.673,pareto_dr_min
2,0.682,pareto_dr_min
2,0.679,pareto_dr_min
2,0.674,pareto_dr_min
2,0.662,pareto_dr_min
2,0.676,pareto_dr_min
2,0.694,pareto_dr_min
2,0.704,pareto_dr_min
2,0.696,pareto_dr_min
2,0.709,pareto_dr_min
2,0.703,pareto_dr_min
2,0.71,pareto_dr_min
2,0.693,pareto_dr_min
2,0.671,pareto_dr_min
2,0.619,pareto_dr_min
2,0.605,pareto_dr_min
2,0.612,pareto_dr_min
2,0.605,pareto_dr_min
2,0.592,pareto_dr_min
2,0.586,pareto_dr_min
2,0.556,pareto_dr_min
2,0.546,pareto_dr_min
2,0.561,pareto_dr_min
2,0.557,pareto_dr_min
2,0.537,pareto_dr_min
2,0.544,pareto_dr_min
2,0.565,pareto_dr_min
2,0.579,pareto_dr_min
2,0.583,pareto_dr_min
2,0.613,pareto_dr_min
2,0.652,pareto_dr_min
2,0.655,pareto_dr_min
2,0.639,pareto_dr_min
2,0.644,pareto_dr_min
2,0.648,pareto_dr_min
2,0.642,pareto_dr_min
2,0.639,pareto_dr_min
2,0.642,pareto_dr_min
2,0.629,pareto_dr_min
2,0.607,pareto_dr_min
2,0.609,pareto_dr_min
2,0.621,pareto_dr_min
2,0.635,pareto_dr_min
2,0.651,pareto_dr_min
2,0.646,pareto_dr_min
2,0.612,pareto_dr_min
2,0.606,pareto_dr_min
