S.D.,Counts,seed,tournament_type
0.5,285,128,pareto_dr_min
0.6,273,128,pareto_dr_min
0.7,241,128,pareto_dr_min
0.8,226,128,pareto_dr_min
0.9,207,128,pareto_dr_min
1,174,128,pareto_dr_min
1.1,165,128,pareto_dr_min
1.2,154,128,pareto_dr_min
1.3,131,128,pareto_dr_min
1.4,111,128,pareto_dr_min
1.5,89,128,pareto_dr_min
1.6,76,128,pareto_dr_min
1.7,65,128,pareto_dr_min
1.8,61,128,pareto_dr_min
1.9,51,128,pareto_dr_min
2,36,128,pareto_dr_min
2.1,25,128,pareto_dr_min
2.2,20,128,pareto_dr_min
2.3,16,128,pareto_dr_min
2.4,10,128,pareto_dr_min
2.5,7,128,pareto_dr_min
2.6,5,128,pareto_dr_min
2.7,4,128,pareto_dr_min
2.8,4,128,pareto_dr_min
2.9,2,128,pareto_dr_min
3,1,128,pareto_dr_min
