seed,coop_ratio,tournament_type
8,0.774,pareto_m_max
8,0.681,pareto_m_max
8,0.638,pareto_m_max
8,0.613,pareto_m_max
8,0.609,pareto_m_max
8,0.589,pareto_m_max
8,0.554,pareto_m_max
8,0.567,pareto_m_max
8,0.542,pareto_m_max
8,0.53,pareto_m_max
8,0.527,pareto_m_max
8,0.525,pareto_m_max
8,0.527,pareto_m_max
8,0.53,pareto_m_max
8,0.542,pareto_m_max
8,0.57,pareto_m_max
8,0.552,pareto_m_max
8,0.525,pareto_m_max
8,0.529,pareto_m_max
8,0.517,pareto_m_max
8,0.51,pareto_m_max
8,0.543,pareto_m_max
8,0.528,pareto_m_max
8,0.529,pareto_m_max
8,0.557,pareto_m_max
8,0.565,pareto_m_max
8,0.554,pareto_m_max
8,0.543,pareto_m_max
8,0.543,pareto_m_max
8,0.571,pareto_m_max
8,0.575,pareto_m_max
8,0.567,pareto_m_max
8,0.543,pareto_m_max
8,0.522,pareto_m_max
8,0.531,pareto_m_max
8,0.482,pareto_m_max
8,0.479,pareto_m_max
8,0.455,pareto_m_max
8,0.471,pareto_m_max
8,0.462,pareto_m_max
8,0.447,pareto_m_max
8,0.438,pareto_m_max
8,0.449,pareto_m_max
8,0.464,pareto_m_max
8,0.468,pareto_m_max
8,0.454,pareto_m_max
8,0.471,pareto_m_max
8,0.464,pareto_m_max
8,0.463,pareto_m_max
8,0.46,pareto_m_max
8,0.458,pareto_m_max
8,0.486,pareto_m_max
8,0.505,pareto_m_max
8,0.517,pareto_m_max
8,0.528,pareto_m_max
8,0.526,pareto_m_max
8,0.529,pareto_m_max
8,0.516,pareto_m_max
8,0.522,pareto_m_max
8,0.546,pareto_m_max
8,0.553,pareto_m_max
8,0.53,pareto_m_max
8,0.555,pareto_m_max
8,0.575,pareto_m_max
8,0.593,pareto_m_max
8,0.565,pareto_m_max
8,0.558,pareto_m_max
8,0.586,pareto_m_max
8,0.618,pareto_m_max
8,0.643,pareto_m_max
8,0.616,pareto_m_max
8,0.588,pareto_m_max
8,0.567,pareto_m_max
8,0.563,pareto_m_max
8,0.567,pareto_m_max
8,0.561,pareto_m_max
8,0.57,pareto_m_max
8,0.58,pareto_m_max
8,0.58,pareto_m_max
8,0.589,pareto_m_max
8,0.596,pareto_m_max
8,0.599,pareto_m_max
8,0.621,pareto_m_max
8,0.646,pareto_m_max
8,0.682,pareto_m_max
8,0.72,pareto_m_max
8,0.727,pareto_m_max
8,0.718,pareto_m_max
8,0.675,pareto_m_max
8,0.644,pareto_m_max
8,0.63,pareto_m_max
8,0.611,pareto_m_max
8,0.625,pareto_m_max
8,0.611,pareto_m_max
8,0.615,pareto_m_max
8,0.647,pareto_m_max
8,0.642,pareto_m_max
8,0.617,pareto_m_max
8,0.597,pareto_m_max
8,0.645,pareto_m_max
8,0.659,pareto_m_max
8,0.651,pareto_m_max
8,0.645,pareto_m_max
8,0.625,pareto_m_max
8,0.609,pareto_m_max
8,0.657,pareto_m_max
8,0.642,pareto_m_max
8,0.648,pareto_m_max
8,0.631,pareto_m_max
8,0.613,pareto_m_max
8,0.609,pareto_m_max
8,0.617,pareto_m_max
8,0.611,pareto_m_max
8,0.644,pareto_m_max
8,0.666,pareto_m_max
8,0.669,pareto_m_max
8,0.662,pareto_m_max
8,0.662,pareto_m_max
8,0.632,pareto_m_max
8,0.645,pareto_m_max
8,0.663,pareto_m_max
8,0.669,pareto_m_max
8,0.668,pareto_m_max
8,0.649,pareto_m_max
8,0.645,pareto_m_max
8,0.624,pareto_m_max
8,0.647,pareto_m_max
8,0.657,pareto_m_max
8,0.661,pareto_m_max
8,0.666,pareto_m_max
8,0.654,pareto_m_max
8,0.621,pareto_m_max
8,0.617,pareto_m_max
8,0.647,pareto_m_max
8,0.65,pareto_m_max
8,0.659,pareto_m_max
8,0.643,pareto_m_max
8,0.66,pareto_m_max
8,0.687,pareto_m_max
8,0.697,pareto_m_max
8,0.673,pareto_m_max
8,0.643,pareto_m_max
8,0.647,pareto_m_max
8,0.66,pareto_m_max
8,0.66,pareto_m_max
8,0.664,pareto_m_max
8,0.638,pareto_m_max
8,0.647,pareto_m_max
8,0.63,pareto_m_max
8,0.614,pareto_m_max
8,0.594,pareto_m_max
8,0.588,pareto_m_max
8,0.607,pareto_m_max
8,0.595,pareto_m_max
8,0.568,pareto_m_max
8,0.57,pareto_m_max
8,0.599,pareto_m_max
8,0.64,pareto_m_max
8,0.655,pareto_m_max
8,0.65,pareto_m_max
8,0.655,pareto_m_max
8,0.63,pareto_m_max
8,0.629,pareto_m_max
8,0.632,pareto_m_max
8,0.619,pareto_m_max
8,0.612,pareto_m_max
8,0.589,pareto_m_max
8,0.558,pareto_m_max
8,0.555,pareto_m_max
8,0.527,pareto_m_max
8,0.496,pareto_m_max
8,0.499,pareto_m_max
8,0.493,pareto_m_max
8,0.503,pareto_m_max
8,0.512,pareto_m_max
8,0.496,pareto_m_max
8,0.464,pareto_m_max
8,0.435,pareto_m_max
8,0.404,pareto_m_max
8,0.416,pareto_m_max
8,0.431,pareto_m_max
8,0.414,pareto_m_max
8,0.427,pareto_m_max
8,0.407,pareto_m_max
8,0.375,pareto_m_max
8,0.368,pareto_m_max
8,0.363,pareto_m_max
8,0.358,pareto_m_max
8,0.359,pareto_m_max
8,0.358,pareto_m_max
8,0.334,pareto_m_max
8,0.306,pareto_m_max
8,0.297,pareto_m_max
8,0.282,pareto_m_max
8,0.271,pareto_m_max
8,0.272,pareto_m_max
8,0.249,pareto_m_max
8,0.249,pareto_m_max
8,0.227,pareto_m_max
8,0.204,pareto_m_max
8,0.203,pareto_m_max
8,0.208,pareto_m_max
8,0.19,pareto_m_max
8,0.193,pareto_m_max
8,0.23,pareto_m_max
8,0.216,pareto_m_max
8,0.22,pareto_m_max
8,0.216,pareto_m_max
8,0.22,pareto_m_max
8,0.208,pareto_m_max
8,0.209,pareto_m_max
8,0.208,pareto_m_max
8,0.236,pareto_m_max
8,0.236,pareto_m_max
8,0.248,pareto_m_max
8,0.244,pareto_m_max
8,0.233,pareto_m_max
8,0.233,pareto_m_max
8,0.251,pareto_m_max
8,0.275,pareto_m_max
8,0.278,pareto_m_max
8,0.239,pareto_m_max
8,0.227,pareto_m_max
8,0.222,pareto_m_max
8,0.215,pareto_m_max
8,0.213,pareto_m_max
8,0.232,pareto_m_max
8,0.246,pareto_m_max
8,0.247,pareto_m_max
8,0.262,pareto_m_max
8,0.248,pareto_m_max
8,0.253,pareto_m_max
8,0.261,pareto_m_max
8,0.254,pareto_m_max
8,0.269,pareto_m_max
8,0.295,pareto_m_max
8,0.287,pareto_m_max
8,0.277,pareto_m_max
8,0.283,pareto_m_max
8,0.275,pareto_m_max
8,0.269,pareto_m_max
8,0.256,pareto_m_max
8,0.232,pareto_m_max
8,0.233,pareto_m_max
8,0.247,pareto_m_max
8,0.243,pareto_m_max
8,0.258,pareto_m_max
8,0.291,pareto_m_max
8,0.304,pareto_m_max
8,0.253,pareto_m_max
8,0.24,pareto_m_max
8,0.229,pareto_m_max
8,0.222,pareto_m_max
8,0.227,pareto_m_max
8,0.256,pareto_m_max
8,0.269,pareto_m_max
8,0.288,pareto_m_max
8,0.283,pareto_m_max
8,0.289,pareto_m_max
8,0.279,pareto_m_max
8,0.279,pareto_m_max
8,0.278,pareto_m_max
8,0.25,pareto_m_max
8,0.235,pareto_m_max
8,0.259,pareto_m_max
8,0.247,pareto_m_max
8,0.234,pareto_m_max
8,0.249,pareto_m_max
8,0.266,pareto_m_max
8,0.27,pareto_m_max
8,0.28,pareto_m_max
8,0.273,pareto_m_max
8,0.274,pareto_m_max
8,0.264,pareto_m_max
8,0.265,pareto_m_max
8,0.271,pareto_m_max
8,0.266,pareto_m_max
8,0.258,pareto_m_max
8,0.267,pareto_m_max
8,0.259,pareto_m_max
8,0.263,pareto_m_max
8,0.298,pareto_m_max
8,0.307,pareto_m_max
8,0.326,pareto_m_max
8,0.341,pareto_m_max
8,0.342,pareto_m_max
8,0.328,pareto_m_max
8,0.296,pareto_m_max
8,0.299,pareto_m_max
8,0.299,pareto_m_max
8,0.315,pareto_m_max
8,0.306,pareto_m_max
8,0.302,pareto_m_max
8,0.332,pareto_m_max
8,0.348,pareto_m_max
8,0.334,pareto_m_max
8,0.323,pareto_m_max
8,0.308,pareto_m_max
8,0.306,pareto_m_max
8,0.315,pareto_m_max
8,0.321,pareto_m_max
8,0.33,pareto_m_max
8,0.323,pareto_m_max
8,0.333,pareto_m_max
8,0.348,pareto_m_max
8,0.368,pareto_m_max
8,0.363,pareto_m_max
8,0.348,pareto_m_max
8,0.362,pareto_m_max
8,0.385,pareto_m_max
8,0.392,pareto_m_max
8,0.403,pareto_m_max
8,0.4,pareto_m_max
8,0.413,pareto_m_max
8,0.409,pareto_m_max
8,0.401,pareto_m_max
8,0.413,pareto_m_max
8,0.432,pareto_m_max
8,0.451,pareto_m_max
8,0.424,pareto_m_max
8,0.407,pareto_m_max
8,0.437,pareto_m_max
8,0.452,pareto_m_max
8,0.476,pareto_m_max
8,0.475,pareto_m_max
8,0.487,pareto_m_max
8,0.477,pareto_m_max
8,0.465,pareto_m_max
8,0.47,pareto_m_max
8,0.451,pareto_m_max
8,0.468,pareto_m_max
8,0.475,pareto_m_max
8,0.462,pareto_m_max
8,0.478,pareto_m_max
8,0.473,pareto_m_max
8,0.487,pareto_m_max
8,0.49,pareto_m_max
8,0.48,pareto_m_max
