S.D.,Counts,seed,tournament_type
0.5,291,16,pareto_m_max
0.6,276,16,pareto_m_max
0.7,272,16,pareto_m_max
0.8,243,16,pareto_m_max
0.9,231,16,pareto_m_max
1,218,16,pareto_m_max
1.1,210,16,pareto_m_max
1.2,185,16,pareto_m_max
1.3,179,16,pareto_m_max
1.4,138,16,pareto_m_max
1.5,115,16,pareto_m_max
1.6,88,16,pareto_m_max
1.7,71,16,pareto_m_max
1.8,58,16,pareto_m_max
1.9,50,16,pareto_m_max
2,38,16,pareto_m_max
2.1,30,16,pareto_m_max
2.2,22,16,pareto_m_max
2.3,20,16,pareto_m_max
2.4,16,16,pareto_m_max
2.5,7,16,pareto_m_max
2.6,2,16,pareto_m_max
2.7,0,16,pareto_m_max
2.8,0,16,pareto_m_max
2.9,0,16,pareto_m_max
3,0,16,pareto_m_max
