seed,coop_ratio,tournament_type
256,0.821,pareto_m_min
256,0.71,pareto_m_min
256,0.679,pareto_m_min
256,0.646,pareto_m_min
256,0.619,pareto_m_min
256,0.615,pareto_m_min
256,0.606,pareto_m_min
256,0.615,pareto_m_min
256,0.613,pareto_m_min
256,0.597,pareto_m_min
256,0.588,pareto_m_min
256,0.601,pareto_m_min
256,0.601,pareto_m_min
256,0.608,pareto_m_min
256,0.606,pareto_m_min
256,0.613,pareto_m_min
256,0.605,pareto_m_min
256,0.601,pareto_m_min
256,0.607,pareto_m_min
256,0.62,pareto_m_min
256,0.616,pareto_m_min
256,0.613,pareto_m_min
256,0.628,pareto_m_min
256,0.62,pareto_m_min
256,0.626,pareto_m_min
256,0.637,pareto_m_min
256,0.652,pareto_m_min
256,0.668,pareto_m_min
256,0.652,pareto_m_min
256,0.661,pareto_m_min
256,0.672,pareto_m_min
256,0.666,pareto_m_min
256,0.644,pareto_m_min
256,0.662,pareto_m_min
256,0.679,pareto_m_min
256,0.658,pareto_m_min
256,0.623,pareto_m_min
256,0.638,pareto_m_min
256,0.629,pareto_m_min
256,0.627,pareto_m_min
256,0.609,pareto_m_min
256,0.607,pareto_m_min
256,0.586,pareto_m_min
256,0.55,pareto_m_min
256,0.546,pareto_m_min
256,0.551,pareto_m_min
256,0.503,pareto_m_min
256,0.467,pareto_m_min
256,0.458,pareto_m_min
256,0.484,pareto_m_min
256,0.466,pareto_m_min
256,0.454,pareto_m_min
256,0.479,pareto_m_min
256,0.502,pareto_m_min
256,0.533,pareto_m_min
256,0.526,pareto_m_min
256,0.554,pareto_m_min
256,0.554,pareto_m_min
256,0.571,pareto_m_min
256,0.575,pareto_m_min
256,0.569,pareto_m_min
256,0.595,pareto_m_min
256,0.628,pareto_m_min
256,0.61,pareto_m_min
256,0.637,pareto_m_min
256,0.659,pareto_m_min
256,0.666,pareto_m_min
256,0.634,pareto_m_min
256,0.63,pareto_m_min
256,0.619,pareto_m_min
256,0.629,pareto_m_min
256,0.626,pareto_m_min
256,0.623,pareto_m_min
256,0.615,pareto_m_min
256,0.612,pareto_m_min
256,0.617,pareto_m_min
256,0.612,pareto_m_min
256,0.632,pareto_m_min
256,0.662,pareto_m_min
256,0.663,pareto_m_min
256,0.692,pareto_m_min
256,0.715,pareto_m_min
256,0.694,pareto_m_min
256,0.65,pareto_m_min
256,0.621,pareto_m_min
256,0.608,pareto_m_min
256,0.567,pareto_m_min
256,0.549,pareto_m_min
256,0.537,pareto_m_min
256,0.526,pareto_m_min
256,0.491,pareto_m_min
256,0.493,pareto_m_min
256,0.502,pareto_m_min
256,0.496,pareto_m_min
256,0.47,pareto_m_min
256,0.491,pareto_m_min
256,0.491,pareto_m_min
256,0.479,pareto_m_min
256,0.481,pareto_m_min
256,0.487,pareto_m_min
256,0.477,pareto_m_min
256,0.466,pareto_m_min
256,0.481,pareto_m_min
256,0.503,pareto_m_min
256,0.541,pareto_m_min
256,0.564,pareto_m_min
256,0.569,pareto_m_min
256,0.547,pareto_m_min
256,0.547,pareto_m_min
256,0.542,pareto_m_min
256,0.549,pareto_m_min
256,0.583,pareto_m_min
256,0.595,pareto_m_min
256,0.585,pareto_m_min
256,0.597,pareto_m_min
256,0.606,pareto_m_min
256,0.587,pareto_m_min
256,0.593,pareto_m_min
256,0.592,pareto_m_min
256,0.578,pareto_m_min
256,0.539,pareto_m_min
256,0.559,pareto_m_min
256,0.553,pareto_m_min
256,0.557,pareto_m_min
256,0.557,pareto_m_min
256,0.564,pareto_m_min
256,0.599,pareto_m_min
256,0.624,pareto_m_min
256,0.626,pareto_m_min
256,0.625,pareto_m_min
256,0.647,pareto_m_min
256,0.671,pareto_m_min
256,0.682,pareto_m_min
256,0.69,pareto_m_min
256,0.686,pareto_m_min
256,0.679,pareto_m_min
256,0.679,pareto_m_min
256,0.688,pareto_m_min
256,0.669,pareto_m_min
256,0.644,pareto_m_min
256,0.632,pareto_m_min
256,0.598,pareto_m_min
256,0.619,pareto_m_min
256,0.632,pareto_m_min
256,0.631,pareto_m_min
256,0.671,pareto_m_min
256,0.674,pareto_m_min
256,0.689,pareto_m_min
256,0.673,pareto_m_min
256,0.677,pareto_m_min
256,0.68,pareto_m_min
256,0.662,pareto_m_min
256,0.645,pareto_m_min
256,0.616,pareto_m_min
256,0.586,pareto_m_min
256,0.55,pareto_m_min
256,0.52,pareto_m_min
256,0.524,pareto_m_min
256,0.554,pareto_m_min
256,0.55,pareto_m_min
256,0.544,pareto_m_min
256,0.539,pareto_m_min
256,0.519,pareto_m_min
256,0.537,pareto_m_min
256,0.527,pareto_m_min
256,0.507,pareto_m_min
256,0.525,pareto_m_min
256,0.511,pareto_m_min
256,0.514,pareto_m_min
256,0.505,pareto_m_min
256,0.501,pareto_m_min
256,0.522,pareto_m_min
256,0.547,pareto_m_min
256,0.564,pareto_m_min
256,0.586,pareto_m_min
256,0.585,pareto_m_min
256,0.628,pareto_m_min
256,0.642,pareto_m_min
256,0.641,pareto_m_min
256,0.631,pareto_m_min
256,0.622,pareto_m_min
256,0.597,pareto_m_min
256,0.584,pareto_m_min
256,0.557,pareto_m_min
256,0.541,pareto_m_min
256,0.54,pareto_m_min
256,0.536,pareto_m_min
256,0.512,pareto_m_min
256,0.497,pareto_m_min
256,0.522,pareto_m_min
256,0.495,pareto_m_min
256,0.5,pareto_m_min
