S.D.,Counts,seed,tournament_type
0.5,263,8,pareto_m_min
0.6,249,8,pareto_m_min
0.7,206,8,pareto_m_min
0.8,222,8,pareto_m_min
0.9,192,8,pareto_m_min
1,190,8,pareto_m_min
1.1,179,8,pareto_m_min
1.2,172,8,pareto_m_min
1.3,139,8,pareto_m_min
1.4,114,8,pareto_m_min
1.5,78,8,pareto_m_min
1.6,76,8,pareto_m_min
1.7,69,8,pareto_m_min
1.8,42,8,pareto_m_min
1.9,30,8,pareto_m_min
2,24,8,pareto_m_min
2.1,19,8,pareto_m_min
2.2,14,8,pareto_m_min
2.3,16,8,pareto_m_min
2.4,10,8,pareto_m_min
2.5,8,8,pareto_m_min
2.6,7,8,pareto_m_min
2.7,6,8,pareto_m_min
2.8,10,8,pareto_m_min
2.9,12,8,pareto_m_min
3,5,8,pareto_m_min
