seed,coop_ratio,tournament_type
512,0.767,pareto_mdr_max
512,0.679,pareto_mdr_max
512,0.665,pareto_mdr_max
512,0.625,pareto_mdr_max
512,0.592,pareto_mdr_max
512,0.595,pareto_mdr_max
512,0.603,pareto_mdr_max
512,0.604,pareto_mdr_max
512,0.614,pareto_mdr_max
512,0.582,pareto_mdr_max
512,0.56,pareto_mdr_max
512,0.543,pareto_mdr_max
512,0.543,pareto_mdr_max
512,0.543,pareto_mdr_max
512,0.538,pareto_mdr_max
512,0.539,pareto_mdr_max
512,0.508,pareto_mdr_max
512,0.491,pareto_mdr_max
512,0.469,pareto_mdr_max
512,0.457,pareto_mdr_max
512,0.474,pareto_mdr_max
512,0.49,pareto_mdr_max
512,0.462,pareto_mdr_max
512,0.451,pareto_mdr_max
512,0.471,pareto_mdr_max
512,0.485,pareto_mdr_max
512,0.498,pareto_mdr_max
512,0.526,pareto_mdr_max
512,0.507,pareto_mdr_max
512,0.5,pareto_mdr_max
512,0.478,pareto_mdr_max
512,0.476,pareto_mdr_max
512,0.46,pareto_mdr_max
512,0.455,pareto_mdr_max
512,0.453,pareto_mdr_max
512,0.451,pareto_mdr_max
512,0.466,pareto_mdr_max
512,0.489,pareto_mdr_max
512,0.52,pareto_mdr_max
512,0.514,pareto_mdr_max
512,0.485,pareto_mdr_max
512,0.497,pareto_mdr_max
512,0.521,pareto_mdr_max
512,0.543,pareto_mdr_max
512,0.568,pareto_mdr_max
512,0.557,pareto_mdr_max
512,0.527,pareto_mdr_max
512,0.509,pareto_mdr_max
512,0.508,pareto_mdr_max
512,0.513,pareto_mdr_max
512,0.517,pareto_mdr_max
512,0.529,pareto_mdr_max
512,0.559,pareto_mdr_max
512,0.537,pareto_mdr_max
512,0.504,pareto_mdr_max
512,0.506,pareto_mdr_max
512,0.511,pareto_mdr_max
512,0.519,pareto_mdr_max
512,0.524,pareto_mdr_max
512,0.522,pareto_mdr_max
512,0.524,pareto_mdr_max
512,0.535,pareto_mdr_max
512,0.536,pareto_mdr_max
512,0.535,pareto_mdr_max
512,0.508,pareto_mdr_max
512,0.497,pareto_mdr_max
512,0.475,pareto_mdr_max
512,0.502,pareto_mdr_max
512,0.522,pareto_mdr_max
512,0.503,pareto_mdr_max
512,0.508,pareto_mdr_max
512,0.497,pareto_mdr_max
512,0.477,pareto_mdr_max
512,0.515,pareto_mdr_max
512,0.507,pareto_mdr_max
512,0.508,pareto_mdr_max
512,0.501,pareto_mdr_max
512,0.503,pareto_mdr_max
512,0.497,pareto_mdr_max
512,0.466,pareto_mdr_max
512,0.484,pareto_mdr_max
512,0.46,pareto_mdr_max
512,0.439,pareto_mdr_max
512,0.436,pareto_mdr_max
512,0.421,pareto_mdr_max
512,0.424,pareto_mdr_max
512,0.44,pareto_mdr_max
512,0.45,pareto_mdr_max
512,0.472,pareto_mdr_max
512,0.477,pareto_mdr_max
512,0.481,pareto_mdr_max
512,0.503,pareto_mdr_max
512,0.537,pareto_mdr_max
512,0.549,pareto_mdr_max
512,0.557,pareto_mdr_max
512,0.536,pareto_mdr_max
512,0.538,pareto_mdr_max
512,0.545,pareto_mdr_max
512,0.558,pareto_mdr_max
512,0.563,pareto_mdr_max
512,0.573,pareto_mdr_max
512,0.563,pareto_mdr_max
512,0.544,pareto_mdr_max
512,0.568,pareto_mdr_max
512,0.597,pareto_mdr_max
512,0.614,pareto_mdr_max
512,0.598,pareto_mdr_max
512,0.593,pareto_mdr_max
512,0.562,pareto_mdr_max
512,0.576,pareto_mdr_max
512,0.565,pareto_mdr_max
512,0.584,pareto_mdr_max
512,0.597,pareto_mdr_max
512,0.575,pareto_mdr_max
512,0.577,pareto_mdr_max
512,0.578,pareto_mdr_max
512,0.581,pareto_mdr_max
512,0.588,pareto_mdr_max
512,0.589,pareto_mdr_max
512,0.589,pareto_mdr_max
512,0.603,pareto_mdr_max
512,0.59,pareto_mdr_max
512,0.591,pareto_mdr_max
512,0.588,pareto_mdr_max
512,0.602,pareto_mdr_max
512,0.614,pareto_mdr_max
512,0.627,pareto_mdr_max
512,0.633,pareto_mdr_max
512,0.62,pareto_mdr_max
512,0.629,pareto_mdr_max
512,0.619,pareto_mdr_max
512,0.633,pareto_mdr_max
512,0.598,pareto_mdr_max
512,0.6,pareto_mdr_max
512,0.555,pareto_mdr_max
512,0.575,pareto_mdr_max
512,0.598,pareto_mdr_max
512,0.606,pareto_mdr_max
512,0.635,pareto_mdr_max
512,0.648,pareto_mdr_max
512,0.641,pareto_mdr_max
512,0.643,pareto_mdr_max
512,0.673,pareto_mdr_max
512,0.683,pareto_mdr_max
512,0.674,pareto_mdr_max
512,0.683,pareto_mdr_max
512,0.683,pareto_mdr_max
512,0.696,pareto_mdr_max
512,0.681,pareto_mdr_max
512,0.659,pareto_mdr_max
512,0.653,pareto_mdr_max
512,0.649,pareto_mdr_max
512,0.683,pareto_mdr_max
512,0.689,pareto_mdr_max
512,0.674,pareto_mdr_max
512,0.672,pareto_mdr_max
512,0.654,pareto_mdr_max
512,0.668,pareto_mdr_max
512,0.626,pareto_mdr_max
512,0.636,pareto_mdr_max
512,0.648,pareto_mdr_max
512,0.647,pareto_mdr_max
512,0.636,pareto_mdr_max
512,0.628,pareto_mdr_max
512,0.646,pareto_mdr_max
512,0.644,pareto_mdr_max
512,0.635,pareto_mdr_max
512,0.618,pareto_mdr_max
512,0.615,pareto_mdr_max
512,0.637,pareto_mdr_max
512,0.626,pareto_mdr_max
512,0.618,pareto_mdr_max
512,0.629,pareto_mdr_max
512,0.62,pareto_mdr_max
512,0.639,pareto_mdr_max
512,0.646,pareto_mdr_max
512,0.649,pareto_mdr_max
512,0.639,pareto_mdr_max
512,0.619,pareto_mdr_max
512,0.622,pareto_mdr_max
512,0.598,pareto_mdr_max
512,0.586,pareto_mdr_max
512,0.599,pareto_mdr_max
512,0.618,pareto_mdr_max
512,0.616,pareto_mdr_max
512,0.594,pareto_mdr_max
512,0.564,pareto_mdr_max
512,0.55,pareto_mdr_max
512,0.573,pareto_mdr_max
512,0.534,pareto_mdr_max
512,0.512,pareto_mdr_max
512,0.52,pareto_mdr_max
512,0.537,pareto_mdr_max
512,0.55,pareto_mdr_max
512,0.585,pareto_mdr_max
512,0.594,pareto_mdr_max
512,0.601,pareto_mdr_max
512,0.611,pareto_mdr_max
512,0.603,pareto_mdr_max
512,0.593,pareto_mdr_max
512,0.587,pareto_mdr_max
512,0.564,pareto_mdr_max
512,0.537,pareto_mdr_max
512,0.515,pareto_mdr_max
512,0.514,pareto_mdr_max
512,0.527,pareto_mdr_max
512,0.527,pareto_mdr_max
512,0.53,pareto_mdr_max
512,0.536,pareto_mdr_max
512,0.562,pareto_mdr_max
512,0.549,pareto_mdr_max
512,0.535,pareto_mdr_max
512,0.503,pareto_mdr_max
512,0.473,pareto_mdr_max
512,0.495,pareto_mdr_max
512,0.495,pareto_mdr_max
512,0.503,pareto_mdr_max
512,0.529,pareto_mdr_max
512,0.561,pareto_mdr_max
512,0.569,pareto_mdr_max
512,0.579,pareto_mdr_max
512,0.567,pareto_mdr_max
512,0.566,pareto_mdr_max
512,0.564,pareto_mdr_max
