S.D.,Counts,seed,tournament_type
0.5,257,512,pareto_mdr_max
0.6,254,512,pareto_mdr_max
0.7,255,512,pareto_mdr_max
0.8,238,512,pareto_mdr_max
0.9,231,512,pareto_mdr_max
1,205,512,pareto_mdr_max
1.1,180,512,pareto_mdr_max
1.2,151,512,pareto_mdr_max
1.3,136,512,pareto_mdr_max
1.4,120,512,pareto_mdr_max
1.5,113,512,pareto_mdr_max
1.6,86,512,pareto_mdr_max
1.7,80,512,pareto_mdr_max
1.8,74,512,pareto_mdr_max
1.9,51,512,pareto_mdr_max
2,43,512,pareto_mdr_max
2.1,32,512,pareto_mdr_max
2.2,27,512,pareto_mdr_max
2.3,14,512,pareto_mdr_max
2.4,11,512,pareto_mdr_max
2.5,8,512,pareto_mdr_max
2.6,7,512,pareto_mdr_max
2.7,2,512,pareto_mdr_max
2.8,0,512,pareto_mdr_max
2.9,0,512,pareto_mdr_max
3,0,512,pareto_mdr_max
