seed,coop_ratio,tournament_type
128,0.796,pareto_mdr_min
128,0.705,pareto_mdr_min
128,0.658,pareto_mdr_min
128,0.601,pareto_mdr_min
128,0.599,pareto_mdr_min
128,0.59,pareto_mdr_min
128,0.563,pareto_mdr_min
128,0.573,pareto_mdr_min
128,0.559,pareto_mdr_min
128,0.53,pareto_mdr_min
128,0.559,pareto_mdr_min
128,0.586,pareto_mdr_min
128,0.589,pareto_mdr_min
128,0.606,pareto_mdr_min
128,0.602,pareto_mdr_min
128,0.597,pareto_mdr_min
128,0.589,pareto_mdr_min
128,0.598,pareto_mdr_min
128,0.606,pareto_mdr_min
128,0.611,pareto_mdr_min
128,0.618,pareto_mdr_min
128,0.602,pareto_mdr_min
128,0.61,pareto_mdr_min
128,0.615,pareto_mdr_min
128,0.614,pareto_mdr_min
128,0.619,pareto_mdr_min
128,0.632,pareto_mdr_min
128,0.644,pareto_mdr_min
128,0.654,pareto_mdr_min
128,0.659,pareto_mdr_min
128,0.659,pareto_mdr_min
128,0.649,pareto_mdr_min
128,0.633,pareto_mdr_min
128,0.618,pareto_mdr_min
128,0.643,pareto_mdr_min
128,0.64,pareto_mdr_min
128,0.64,pareto_mdr_min
128,0.642,pareto_mdr_min
128,0.642,pareto_mdr_min
128,0.658,pareto_mdr_min
128,0.681,pareto_mdr_min
128,0.671,pareto_mdr_min
128,0.659,pareto_mdr_min
128,0.665,pareto_mdr_min
128,0.641,pareto_mdr_min
128,0.626,pareto_mdr_min
128,0.645,pareto_mdr_min
128,0.635,pareto_mdr_min
128,0.614,pareto_mdr_min
128,0.611,pareto_mdr_min
128,0.65,pareto_mdr_min
128,0.655,pareto_mdr_min
128,0.642,pareto_mdr_min
128,0.604,pareto_mdr_min
128,0.588,pareto_mdr_min
128,0.594,pareto_mdr_min
128,0.603,pareto_mdr_min
128,0.587,pareto_mdr_min
128,0.567,pareto_mdr_min
128,0.596,pareto_mdr_min
128,0.612,pareto_mdr_min
128,0.615,pareto_mdr_min
128,0.624,pareto_mdr_min
128,0.645,pareto_mdr_min
128,0.655,pareto_mdr_min
128,0.666,pareto_mdr_min
128,0.68,pareto_mdr_min
128,0.681,pareto_mdr_min
128,0.675,pareto_mdr_min
128,0.688,pareto_mdr_min
128,0.691,pareto_mdr_min
128,0.704,pareto_mdr_min
128,0.713,pareto_mdr_min
128,0.733,pareto_mdr_min
128,0.741,pareto_mdr_min
128,0.751,pareto_mdr_min
128,0.758,pareto_mdr_min
128,0.765,pareto_mdr_min
128,0.753,pareto_mdr_min
128,0.736,pareto_mdr_min
128,0.747,pareto_mdr_min
128,0.756,pareto_mdr_min
128,0.765,pareto_mdr_min
128,0.766,pareto_mdr_min
128,0.773,pareto_mdr_min
128,0.775,pareto_mdr_min
128,0.763,pareto_mdr_min
128,0.742,pareto_mdr_min
128,0.721,pareto_mdr_min
128,0.699,pareto_mdr_min
128,0.676,pareto_mdr_min
128,0.656,pareto_mdr_min
