S.D.,Counts,seed,tournament_type
0.5,239,4,pareto_mdr_min
0.6,244,4,pareto_mdr_min
0.7,218,4,pareto_mdr_min
0.8,226,4,pareto_mdr_min
0.9,211,4,pareto_mdr_min
1,204,4,pareto_mdr_min
1.1,207,4,pareto_mdr_min
1.2,218,4,pareto_mdr_min
1.3,161,4,pareto_mdr_min
1.4,137,4,pareto_mdr_min
1.5,102,4,pareto_mdr_min
1.6,81,4,pareto_mdr_min
1.7,71,4,pareto_mdr_min
1.8,41,4,pareto_mdr_min
1.9,32,4,pareto_mdr_min
2,32,4,pareto_mdr_min
2.1,21,4,pareto_mdr_min
2.2,12,4,pareto_mdr_min
2.3,14,4,pareto_mdr_min
2.4,7,4,pareto_mdr_min
2.5,3,4,pareto_mdr_min
2.6,3,4,pareto_mdr_min
2.7,1,4,pareto_mdr_min
2.8,0,4,pareto_mdr_min
2.9,0,4,pareto_mdr_min
3,0,4,pareto_mdr_min
