seed,coop_ratio,tournament_type
1024,0.718,homogenous
1024,0.609,homogenous
1024,0.585,homogenous
1024,0.544,homogenous
1024,0.553,homogenous
1024,0.546,homogenous
1024,0.54,homogenous
1024,0.518,homogenous
1024,0.525,homogenous
1024,0.533,homogenous
1024,0.545,homogenous
1024,0.568,homogenous
1024,0.61,homogenous
1024,0.626,homogenous
1024,0.631,homogenous
1024,0.622,homogenous
1024,0.617,homogenous
1024,0.643,homogenous
1024,0.634,homogenous
1024,0.633,homogenous
1024,0.613,homogenous
1024,0.602,homogenous
1024,0.607,homogenous
1024,0.594,homogenous
1024,0.623,homogenous
1024,0.637,homogenous
1024,0.62,homogenous
1024,0.601,homogenous
1024,0.61,homogenous
1024,0.633,homogenous
1024,0.641,homogenous
1024,0.648,homogenous
1024,0.691,homogenous
1024,0.727,homogenous
1024,0.728,homogenous
1024,0.724,homogenous
1024,0.695,homogenous
1024,0.706,homogenous
1024,0.695,homogenous
1024,0.696,homogenous
1024,0.699,homogenous
1024,0.682,homogenous
1024,0.676,homogenous
1024,0.675,homogenous
1024,0.679,homogenous
1024,0.685,homogenous
1024,0.692,homogenous
1024,0.667,homogenous
1024,0.656,homogenous
1024,0.656,homogenous
1024,0.668,homogenous
1024,0.647,homogenous
1024,0.654,homogenous
1024,0.657,homogenous
1024,0.658,homogenous
1024,0.674,homogenous
1024,0.691,homogenous
1024,0.704,homogenous
1024,0.703,homogenous
1024,0.703,homogenous
1024,0.721,homogenous
1024,0.715,homogenous
1024,0.713,homogenous
1024,0.699,homogenous
1024,0.69,homogenous
1024,0.695,homogenous
1024,0.694,homogenous
1024,0.696,homogenous
1024,0.676,homogenous
1024,0.697,homogenous
1024,0.693,homogenous
1024,0.686,homogenous
1024,0.677,homogenous
1024,0.666,homogenous
1024,0.644,homogenous
1024,0.635,homogenous
1024,0.608,homogenous
1024,0.583,homogenous
1024,0.585,homogenous
1024,0.568,homogenous
1024,0.558,homogenous
1024,0.577,homogenous
1024,0.539,homogenous
1024,0.521,homogenous
1024,0.495,homogenous
1024,0.488,homogenous
1024,0.488,homogenous
1024,0.483,homogenous
1024,0.468,homogenous
1024,0.453,homogenous
1024,0.452,homogenous
1024,0.442,homogenous
1024,0.44,homogenous
1024,0.446,homogenous
1024,0.463,homogenous
1024,0.481,homogenous
1024,0.511,homogenous
1024,0.549,homogenous
1024,0.566,homogenous
1024,0.563,homogenous
1024,0.563,homogenous
1024,0.527,homogenous
1024,0.506,homogenous
1024,0.527,homogenous
1024,0.535,homogenous
1024,0.54,homogenous
1024,0.528,homogenous
1024,0.519,homogenous
1024,0.543,homogenous
1024,0.539,homogenous
1024,0.534,homogenous
1024,0.55,homogenous
1024,0.569,homogenous
1024,0.566,homogenous
1024,0.557,homogenous
1024,0.567,homogenous
1024,0.562,homogenous
1024,0.546,homogenous
1024,0.527,homogenous
1024,0.527,homogenous
1024,0.557,homogenous
1024,0.574,homogenous
1024,0.564,homogenous
1024,0.547,homogenous
1024,0.563,homogenous
1024,0.579,homogenous
1024,0.578,homogenous
1024,0.532,homogenous
1024,0.523,homogenous
1024,0.511,homogenous
1024,0.509,homogenous
1024,0.507,homogenous
1024,0.478,homogenous
1024,0.468,homogenous
1024,0.484,homogenous
1024,0.459,homogenous
1024,0.457,homogenous
1024,0.465,homogenous
1024,0.456,homogenous
1024,0.434,homogenous
1024,0.456,homogenous
1024,0.462,homogenous
1024,0.46,homogenous
1024,0.448,homogenous
1024,0.457,homogenous
1024,0.454,homogenous
1024,0.432,homogenous
1024,0.413,homogenous
1024,0.377,homogenous
1024,0.371,homogenous
1024,0.397,homogenous
1024,0.413,homogenous
1024,0.421,homogenous
1024,0.406,homogenous
1024,0.407,homogenous
1024,0.415,homogenous
1024,0.435,homogenous
1024,0.447,homogenous
1024,0.437,homogenous
1024,0.435,homogenous
1024,0.447,homogenous
1024,0.414,homogenous
1024,0.392,homogenous
1024,0.385,homogenous
1024,0.39,homogenous
1024,0.359,homogenous
1024,0.364,homogenous
1024,0.371,homogenous
1024,0.353,homogenous
1024,0.341,homogenous
1024,0.363,homogenous
1024,0.34,homogenous
1024,0.343,homogenous
1024,0.354,homogenous
1024,0.393,homogenous
1024,0.385,homogenous
1024,0.359,homogenous
1024,0.368,homogenous
1024,0.36,homogenous
1024,0.316,homogenous
1024,0.309,homogenous
1024,0.327,homogenous
1024,0.346,homogenous
1024,0.331,homogenous
1024,0.333,homogenous
1024,0.332,homogenous
1024,0.345,homogenous
1024,0.337,homogenous
1024,0.323,homogenous
1024,0.302,homogenous
1024,0.293,homogenous
1024,0.315,homogenous
1024,0.349,homogenous
1024,0.359,homogenous
1024,0.346,homogenous
1024,0.327,homogenous
1024,0.311,homogenous
1024,0.297,homogenous
1024,0.307,homogenous
1024,0.306,homogenous
1024,0.292,homogenous
1024,0.278,homogenous
1024,0.288,homogenous
1024,0.295,homogenous
1024,0.319,homogenous
1024,0.32,homogenous
1024,0.345,homogenous
1024,0.38,homogenous
1024,0.423,homogenous
1024,0.404,homogenous
1024,0.395,homogenous
1024,0.395,homogenous
1024,0.38,homogenous
1024,0.375,homogenous
1024,0.362,homogenous
1024,0.337,homogenous
1024,0.317,homogenous
1024,0.306,homogenous
1024,0.346,homogenous
1024,0.358,homogenous
1024,0.359,homogenous
1024,0.348,homogenous
1024,0.319,homogenous
1024,0.355,homogenous
1024,0.358,homogenous
1024,0.365,homogenous
1024,0.369,homogenous
1024,0.378,homogenous
1024,0.374,homogenous
1024,0.354,homogenous
