seed,coop_ratio,tournament_type
128,0.749,hetero_dr_sd_max
128,0.627,hetero_dr_sd_max
128,0.641,hetero_dr_sd_max
128,0.641,hetero_dr_sd_max
128,0.653,hetero_dr_sd_max
128,0.657,hetero_dr_sd_max
128,0.65,hetero_dr_sd_max
128,0.654,hetero_dr_sd_max
128,0.648,hetero_dr_sd_max
128,0.63,hetero_dr_sd_max
128,0.616,hetero_dr_sd_max
128,0.605,hetero_dr_sd_max
128,0.598,hetero_dr_sd_max
128,0.575,hetero_dr_sd_max
128,0.563,hetero_dr_sd_max
128,0.56,hetero_dr_sd_max
128,0.576,hetero_dr_sd_max
128,0.572,hetero_dr_sd_max
128,0.552,hetero_dr_sd_max
128,0.542,hetero_dr_sd_max
128,0.539,hetero_dr_sd_max
128,0.561,hetero_dr_sd_max
128,0.595,hetero_dr_sd_max
128,0.578,hetero_dr_sd_max
128,0.548,hetero_dr_sd_max
128,0.529,hetero_dr_sd_max
128,0.531,hetero_dr_sd_max
128,0.54,hetero_dr_sd_max
128,0.525,hetero_dr_sd_max
128,0.508,hetero_dr_sd_max
128,0.502,hetero_dr_sd_max
128,0.502,hetero_dr_sd_max
128,0.499,hetero_dr_sd_max
128,0.502,hetero_dr_sd_max
128,0.493,hetero_dr_sd_max
128,0.492,hetero_dr_sd_max
128,0.479,hetero_dr_sd_max
128,0.476,hetero_dr_sd_max
128,0.459,hetero_dr_sd_max
128,0.451,hetero_dr_sd_max
128,0.451,hetero_dr_sd_max
128,0.444,hetero_dr_sd_max
128,0.415,hetero_dr_sd_max
128,0.381,hetero_dr_sd_max
128,0.372,hetero_dr_sd_max
128,0.379,hetero_dr_sd_max
128,0.388,hetero_dr_sd_max
128,0.392,hetero_dr_sd_max
128,0.412,hetero_dr_sd_max
128,0.435,hetero_dr_sd_max
128,0.42,hetero_dr_sd_max
128,0.426,hetero_dr_sd_max
128,0.435,hetero_dr_sd_max
128,0.449,hetero_dr_sd_max
128,0.45,hetero_dr_sd_max
128,0.428,hetero_dr_sd_max
128,0.413,hetero_dr_sd_max
128,0.397,hetero_dr_sd_max
128,0.381,hetero_dr_sd_max
128,0.362,hetero_dr_sd_max
128,0.363,hetero_dr_sd_max
128,0.373,hetero_dr_sd_max
128,0.376,hetero_dr_sd_max
128,0.373,hetero_dr_sd_max
128,0.392,hetero_dr_sd_max
128,0.401,hetero_dr_sd_max
128,0.417,hetero_dr_sd_max
128,0.434,hetero_dr_sd_max
128,0.456,hetero_dr_sd_max
128,0.44,hetero_dr_sd_max
128,0.412,hetero_dr_sd_max
128,0.387,hetero_dr_sd_max
128,0.374,hetero_dr_sd_max
128,0.347,hetero_dr_sd_max
128,0.341,hetero_dr_sd_max
128,0.37,hetero_dr_sd_max
128,0.373,hetero_dr_sd_max
128,0.398,hetero_dr_sd_max
128,0.416,hetero_dr_sd_max
128,0.444,hetero_dr_sd_max
128,0.471,hetero_dr_sd_max
128,0.483,hetero_dr_sd_max
128,0.5,hetero_dr_sd_max
128,0.504,hetero_dr_sd_max
128,0.502,hetero_dr_sd_max
128,0.554,hetero_dr_sd_max
128,0.573,hetero_dr_sd_max
128,0.568,hetero_dr_sd_max
128,0.577,hetero_dr_sd_max
128,0.572,hetero_dr_sd_max
128,0.572,hetero_dr_sd_max
128,0.574,hetero_dr_sd_max
128,0.58,hetero_dr_sd_max
128,0.561,hetero_dr_sd_max
128,0.563,hetero_dr_sd_max
128,0.599,hetero_dr_sd_max
128,0.59,hetero_dr_sd_max
128,0.57,hetero_dr_sd_max
128,0.572,hetero_dr_sd_max
128,0.587,hetero_dr_sd_max
128,0.584,hetero_dr_sd_max
128,0.566,hetero_dr_sd_max
128,0.563,hetero_dr_sd_max
128,0.525,hetero_dr_sd_max
128,0.508,hetero_dr_sd_max
128,0.512,hetero_dr_sd_max
128,0.52,hetero_dr_sd_max
128,0.513,hetero_dr_sd_max
128,0.513,hetero_dr_sd_max
128,0.498,hetero_dr_sd_max
128,0.464,hetero_dr_sd_max
128,0.456,hetero_dr_sd_max
128,0.466,hetero_dr_sd_max
128,0.436,hetero_dr_sd_max
128,0.45,hetero_dr_sd_max
128,0.488,hetero_dr_sd_max
128,0.477,hetero_dr_sd_max
128,0.466,hetero_dr_sd_max
128,0.454,hetero_dr_sd_max
128,0.437,hetero_dr_sd_max
128,0.435,hetero_dr_sd_max
128,0.439,hetero_dr_sd_max
128,0.42,hetero_dr_sd_max
128,0.379,hetero_dr_sd_max
128,0.372,hetero_dr_sd_max
128,0.369,hetero_dr_sd_max
128,0.377,hetero_dr_sd_max
128,0.38,hetero_dr_sd_max
128,0.389,hetero_dr_sd_max
128,0.371,hetero_dr_sd_max
128,0.374,hetero_dr_sd_max
128,0.365,hetero_dr_sd_max
128,0.349,hetero_dr_sd_max
128,0.308,hetero_dr_sd_max
128,0.306,hetero_dr_sd_max
128,0.296,hetero_dr_sd_max
128,0.3,hetero_dr_sd_max
128,0.272,hetero_dr_sd_max
128,0.261,hetero_dr_sd_max
128,0.255,hetero_dr_sd_max
128,0.243,hetero_dr_sd_max
128,0.267,hetero_dr_sd_max
128,0.302,hetero_dr_sd_max
128,0.319,hetero_dr_sd_max
128,0.32,hetero_dr_sd_max
128,0.333,hetero_dr_sd_max
128,0.337,hetero_dr_sd_max
128,0.356,hetero_dr_sd_max
128,0.372,hetero_dr_sd_max
128,0.374,hetero_dr_sd_max
128,0.405,hetero_dr_sd_max
128,0.451,hetero_dr_sd_max
128,0.466,hetero_dr_sd_max
128,0.488,hetero_dr_sd_max
128,0.511,hetero_dr_sd_max
128,0.529,hetero_dr_sd_max
128,0.539,hetero_dr_sd_max
128,0.568,hetero_dr_sd_max
128,0.599,hetero_dr_sd_max
128,0.63,hetero_dr_sd_max
128,0.635,hetero_dr_sd_max
128,0.676,hetero_dr_sd_max
128,0.697,hetero_dr_sd_max
128,0.703,hetero_dr_sd_max
128,0.703,hetero_dr_sd_max
128,0.699,hetero_dr_sd_max
128,0.693,hetero_dr_sd_max
128,0.721,hetero_dr_sd_max
128,0.705,hetero_dr_sd_max
128,0.7,hetero_dr_sd_max
128,0.704,hetero_dr_sd_max
128,0.672,hetero_dr_sd_max
128,0.649,hetero_dr_sd_max
128,0.664,hetero_dr_sd_max
128,0.695,hetero_dr_sd_max
128,0.708,hetero_dr_sd_max
128,0.729,hetero_dr_sd_max
128,0.707,hetero_dr_sd_max
128,0.712,hetero_dr_sd_max
128,0.717,hetero_dr_sd_max
128,0.692,hetero_dr_sd_max
128,0.69,hetero_dr_sd_max
128,0.708,hetero_dr_sd_max
128,0.707,hetero_dr_sd_max
128,0.676,hetero_dr_sd_max
128,0.667,hetero_dr_sd_max
128,0.681,hetero_dr_sd_max
128,0.678,hetero_dr_sd_max
128,0.657,hetero_dr_sd_max
128,0.642,hetero_dr_sd_max
128,0.628,hetero_dr_sd_max
128,0.63,hetero_dr_sd_max
128,0.648,hetero_dr_sd_max
128,0.663,hetero_dr_sd_max
128,0.655,hetero_dr_sd_max
128,0.664,hetero_dr_sd_max
128,0.662,hetero_dr_sd_max
128,0.647,hetero_dr_sd_max
128,0.65,hetero_dr_sd_max
128,0.648,hetero_dr_sd_max
128,0.625,hetero_dr_sd_max
128,0.606,hetero_dr_sd_max
128,0.606,hetero_dr_sd_max
128,0.627,hetero_dr_sd_max
128,0.628,hetero_dr_sd_max
128,0.609,hetero_dr_sd_max
128,0.624,hetero_dr_sd_max
128,0.624,hetero_dr_sd_max
128,0.629,hetero_dr_sd_max
128,0.642,hetero_dr_sd_max
128,0.649,hetero_dr_sd_max
128,0.656,hetero_dr_sd_max
128,0.685,hetero_dr_sd_max
128,0.677,hetero_dr_sd_max
128,0.677,hetero_dr_sd_max
128,0.673,hetero_dr_sd_max
128,0.671,hetero_dr_sd_max
128,0.665,hetero_dr_sd_max
128,0.671,hetero_dr_sd_max
128,0.711,hetero_dr_sd_max
128,0.729,hetero_dr_sd_max
128,0.738,hetero_dr_sd_max
128,0.745,hetero_dr_sd_max
128,0.731,hetero_dr_sd_max
128,0.716,hetero_dr_sd_max
128,0.71,hetero_dr_sd_max
128,0.719,hetero_dr_sd_max
128,0.719,hetero_dr_sd_max
128,0.716,hetero_dr_sd_max
128,0.697,hetero_dr_sd_max
128,0.684,hetero_dr_sd_max
128,0.667,hetero_dr_sd_max
128,0.633,hetero_dr_sd_max
128,0.614,hetero_dr_sd_max
128,0.62,hetero_dr_sd_max
128,0.638,hetero_dr_sd_max
128,0.628,hetero_dr_sd_max
128,0.62,hetero_dr_sd_max
128,0.628,hetero_dr_sd_max
128,0.629,hetero_dr_sd_max
128,0.615,hetero_dr_sd_max
128,0.613,hetero_dr_sd_max
128,0.596,hetero_dr_sd_max
128,0.608,hetero_dr_sd_max
128,0.627,hetero_dr_sd_max
128,0.65,hetero_dr_sd_max
128,0.659,hetero_dr_sd_max
128,0.661,hetero_dr_sd_max
128,0.665,hetero_dr_sd_max
128,0.666,hetero_dr_sd_max
128,0.678,hetero_dr_sd_max
128,0.701,hetero_dr_sd_max
128,0.726,hetero_dr_sd_max
128,0.728,hetero_dr_sd_max
128,0.731,hetero_dr_sd_max
128,0.738,hetero_dr_sd_max
128,0.737,hetero_dr_sd_max
128,0.739,hetero_dr_sd_max
128,0.737,hetero_dr_sd_max
128,0.722,hetero_dr_sd_max
128,0.693,hetero_dr_sd_max
128,0.689,hetero_dr_sd_max
128,0.689,hetero_dr_sd_max
128,0.706,hetero_dr_sd_max
128,0.718,hetero_dr_sd_max
128,0.697,hetero_dr_sd_max
128,0.686,hetero_dr_sd_max
