seed,coop_ratio,tournament_type
8,0.774,hetero_dr_sd_min
8,0.688,hetero_dr_sd_min
8,0.657,hetero_dr_sd_min
8,0.623,hetero_dr_sd_min
8,0.612,hetero_dr_sd_min
8,0.633,hetero_dr_sd_min
8,0.635,hetero_dr_sd_min
8,0.626,hetero_dr_sd_min
8,0.621,hetero_dr_sd_min
8,0.621,hetero_dr_sd_min
8,0.616,hetero_dr_sd_min
8,0.608,hetero_dr_sd_min
8,0.601,hetero_dr_sd_min
8,0.58,hetero_dr_sd_min
8,0.549,hetero_dr_sd_min
8,0.574,hetero_dr_sd_min
8,0.586,hetero_dr_sd_min
8,0.598,hetero_dr_sd_min
8,0.608,hetero_dr_sd_min
8,0.605,hetero_dr_sd_min
8,0.614,hetero_dr_sd_min
8,0.619,hetero_dr_sd_min
8,0.616,hetero_dr_sd_min
8,0.625,hetero_dr_sd_min
8,0.655,hetero_dr_sd_min
8,0.675,hetero_dr_sd_min
8,0.707,hetero_dr_sd_min
8,0.7,hetero_dr_sd_min
8,0.685,hetero_dr_sd_min
8,0.685,hetero_dr_sd_min
8,0.695,hetero_dr_sd_min
8,0.685,hetero_dr_sd_min
8,0.682,hetero_dr_sd_min
8,0.661,hetero_dr_sd_min
8,0.651,hetero_dr_sd_min
8,0.632,hetero_dr_sd_min
8,0.622,hetero_dr_sd_min
8,0.639,hetero_dr_sd_min
8,0.644,hetero_dr_sd_min
8,0.647,hetero_dr_sd_min
8,0.646,hetero_dr_sd_min
8,0.625,hetero_dr_sd_min
8,0.596,hetero_dr_sd_min
8,0.575,hetero_dr_sd_min
8,0.582,hetero_dr_sd_min
8,0.59,hetero_dr_sd_min
8,0.589,hetero_dr_sd_min
8,0.584,hetero_dr_sd_min
8,0.604,hetero_dr_sd_min
8,0.638,hetero_dr_sd_min
8,0.665,hetero_dr_sd_min
8,0.654,hetero_dr_sd_min
8,0.659,hetero_dr_sd_min
8,0.625,hetero_dr_sd_min
8,0.619,hetero_dr_sd_min
8,0.614,hetero_dr_sd_min
8,0.624,hetero_dr_sd_min
8,0.649,hetero_dr_sd_min
8,0.659,hetero_dr_sd_min
8,0.646,hetero_dr_sd_min
8,0.628,hetero_dr_sd_min
8,0.615,hetero_dr_sd_min
8,0.588,hetero_dr_sd_min
8,0.61,hetero_dr_sd_min
8,0.622,hetero_dr_sd_min
8,0.624,hetero_dr_sd_min
8,0.625,hetero_dr_sd_min
8,0.596,hetero_dr_sd_min
8,0.595,hetero_dr_sd_min
8,0.613,hetero_dr_sd_min
8,0.61,hetero_dr_sd_min
8,0.598,hetero_dr_sd_min
8,0.604,hetero_dr_sd_min
8,0.614,hetero_dr_sd_min
8,0.61,hetero_dr_sd_min
8,0.61,hetero_dr_sd_min
8,0.583,hetero_dr_sd_min
8,0.586,hetero_dr_sd_min
8,0.579,hetero_dr_sd_min
8,0.571,hetero_dr_sd_min
8,0.568,hetero_dr_sd_min
8,0.552,hetero_dr_sd_min
8,0.531,hetero_dr_sd_min
8,0.524,hetero_dr_sd_min
8,0.513,hetero_dr_sd_min
8,0.516,hetero_dr_sd_min
8,0.507,hetero_dr_sd_min
8,0.508,hetero_dr_sd_min
8,0.508,hetero_dr_sd_min
8,0.506,hetero_dr_sd_min
8,0.516,hetero_dr_sd_min
8,0.509,hetero_dr_sd_min
8,0.535,hetero_dr_sd_min
8,0.546,hetero_dr_sd_min
8,0.525,hetero_dr_sd_min
8,0.519,hetero_dr_sd_min
8,0.544,hetero_dr_sd_min
8,0.538,hetero_dr_sd_min
8,0.54,hetero_dr_sd_min
8,0.536,hetero_dr_sd_min
8,0.519,hetero_dr_sd_min
8,0.523,hetero_dr_sd_min
8,0.505,hetero_dr_sd_min
8,0.516,hetero_dr_sd_min
8,0.517,hetero_dr_sd_min
8,0.489,hetero_dr_sd_min
8,0.496,hetero_dr_sd_min
8,0.496,hetero_dr_sd_min
8,0.53,hetero_dr_sd_min
8,0.517,hetero_dr_sd_min
8,0.533,hetero_dr_sd_min
8,0.526,hetero_dr_sd_min
8,0.523,hetero_dr_sd_min
8,0.542,hetero_dr_sd_min
8,0.558,hetero_dr_sd_min
8,0.599,hetero_dr_sd_min
8,0.614,hetero_dr_sd_min
8,0.608,hetero_dr_sd_min
8,0.605,hetero_dr_sd_min
8,0.589,hetero_dr_sd_min
8,0.599,hetero_dr_sd_min
8,0.593,hetero_dr_sd_min
8,0.575,hetero_dr_sd_min
8,0.584,hetero_dr_sd_min
8,0.586,hetero_dr_sd_min
8,0.568,hetero_dr_sd_min
8,0.613,hetero_dr_sd_min
8,0.615,hetero_dr_sd_min
8,0.597,hetero_dr_sd_min
8,0.608,hetero_dr_sd_min
8,0.652,hetero_dr_sd_min
8,0.622,hetero_dr_sd_min
8,0.599,hetero_dr_sd_min
8,0.602,hetero_dr_sd_min
8,0.596,hetero_dr_sd_min
8,0.608,hetero_dr_sd_min
8,0.597,hetero_dr_sd_min
8,0.58,hetero_dr_sd_min
8,0.562,hetero_dr_sd_min
8,0.566,hetero_dr_sd_min
8,0.551,hetero_dr_sd_min
8,0.544,hetero_dr_sd_min
8,0.588,hetero_dr_sd_min
8,0.612,hetero_dr_sd_min
8,0.601,hetero_dr_sd_min
8,0.611,hetero_dr_sd_min
8,0.608,hetero_dr_sd_min
8,0.61,hetero_dr_sd_min
8,0.592,hetero_dr_sd_min
8,0.604,hetero_dr_sd_min
8,0.569,hetero_dr_sd_min
8,0.556,hetero_dr_sd_min
8,0.568,hetero_dr_sd_min
8,0.524,hetero_dr_sd_min
8,0.505,hetero_dr_sd_min
8,0.517,hetero_dr_sd_min
8,0.52,hetero_dr_sd_min
8,0.509,hetero_dr_sd_min
8,0.471,hetero_dr_sd_min
8,0.474,hetero_dr_sd_min
8,0.447,hetero_dr_sd_min
8,0.435,hetero_dr_sd_min
8,0.477,hetero_dr_sd_min
8,0.482,hetero_dr_sd_min
8,0.493,hetero_dr_sd_min
8,0.503,hetero_dr_sd_min
8,0.521,hetero_dr_sd_min
8,0.501,hetero_dr_sd_min
8,0.493,hetero_dr_sd_min
8,0.517,hetero_dr_sd_min
8,0.536,hetero_dr_sd_min
8,0.558,hetero_dr_sd_min
8,0.563,hetero_dr_sd_min
8,0.559,hetero_dr_sd_min
8,0.572,hetero_dr_sd_min
8,0.562,hetero_dr_sd_min
8,0.555,hetero_dr_sd_min
8,0.534,hetero_dr_sd_min
8,0.501,hetero_dr_sd_min
8,0.497,hetero_dr_sd_min
8,0.505,hetero_dr_sd_min
8,0.512,hetero_dr_sd_min
8,0.494,hetero_dr_sd_min
8,0.502,hetero_dr_sd_min
8,0.522,hetero_dr_sd_min
8,0.488,hetero_dr_sd_min
8,0.458,hetero_dr_sd_min
8,0.445,hetero_dr_sd_min
8,0.438,hetero_dr_sd_min
8,0.426,hetero_dr_sd_min
8,0.418,hetero_dr_sd_min
8,0.424,hetero_dr_sd_min
8,0.41,hetero_dr_sd_min
8,0.405,hetero_dr_sd_min
8,0.422,hetero_dr_sd_min
8,0.439,hetero_dr_sd_min
8,0.43,hetero_dr_sd_min
8,0.412,hetero_dr_sd_min
8,0.392,hetero_dr_sd_min
8,0.388,hetero_dr_sd_min
8,0.386,hetero_dr_sd_min
8,0.432,hetero_dr_sd_min
8,0.452,hetero_dr_sd_min
8,0.463,hetero_dr_sd_min
8,0.494,hetero_dr_sd_min
8,0.506,hetero_dr_sd_min
8,0.489,hetero_dr_sd_min
8,0.477,hetero_dr_sd_min
8,0.475,hetero_dr_sd_min
8,0.489,hetero_dr_sd_min
8,0.497,hetero_dr_sd_min
8,0.522,hetero_dr_sd_min
8,0.541,hetero_dr_sd_min
8,0.528,hetero_dr_sd_min
8,0.525,hetero_dr_sd_min
8,0.519,hetero_dr_sd_min
8,0.537,hetero_dr_sd_min
8,0.545,hetero_dr_sd_min
8,0.557,hetero_dr_sd_min
8,0.561,hetero_dr_sd_min
8,0.563,hetero_dr_sd_min
8,0.572,hetero_dr_sd_min
8,0.575,hetero_dr_sd_min
8,0.595,hetero_dr_sd_min
8,0.637,hetero_dr_sd_min
8,0.635,hetero_dr_sd_min
8,0.613,hetero_dr_sd_min
8,0.565,hetero_dr_sd_min
8,0.557,hetero_dr_sd_min
8,0.53,hetero_dr_sd_min
8,0.532,hetero_dr_sd_min
8,0.501,hetero_dr_sd_min
8,0.501,hetero_dr_sd_min
8,0.472,hetero_dr_sd_min
8,0.465,hetero_dr_sd_min
8,0.438,hetero_dr_sd_min
8,0.411,hetero_dr_sd_min
8,0.413,hetero_dr_sd_min
8,0.402,hetero_dr_sd_min
8,0.395,hetero_dr_sd_min
8,0.37,hetero_dr_sd_min
8,0.375,hetero_dr_sd_min
8,0.391,hetero_dr_sd_min
8,0.385,hetero_dr_sd_min
8,0.377,hetero_dr_sd_min
8,0.364,hetero_dr_sd_min
8,0.349,hetero_dr_sd_min
8,0.338,hetero_dr_sd_min
8,0.342,hetero_dr_sd_min
8,0.35,hetero_dr_sd_min
8,0.363,hetero_dr_sd_min
8,0.365,hetero_dr_sd_min
8,0.368,hetero_dr_sd_min
8,0.369,hetero_dr_sd_min
8,0.379,hetero_dr_sd_min
8,0.416,hetero_dr_sd_min
8,0.468,hetero_dr_sd_min
8,0.464,hetero_dr_sd_min
8,0.493,hetero_dr_sd_min
8,0.493,hetero_dr_sd_min
8,0.507,hetero_dr_sd_min
8,0.522,hetero_dr_sd_min
8,0.538,hetero_dr_sd_min
8,0.545,hetero_dr_sd_min
8,0.534,hetero_dr_sd_min
8,0.53,hetero_dr_sd_min
8,0.527,hetero_dr_sd_min
8,0.522,hetero_dr_sd_min
8,0.534,hetero_dr_sd_min
8,0.546,hetero_dr_sd_min
8,0.55,hetero_dr_sd_min
8,0.566,hetero_dr_sd_min
8,0.557,hetero_dr_sd_min
8,0.553,hetero_dr_sd_min
8,0.604,hetero_dr_sd_min
8,0.602,hetero_dr_sd_min
8,0.599,hetero_dr_sd_min
8,0.619,hetero_dr_sd_min
8,0.574,hetero_dr_sd_min
8,0.574,hetero_dr_sd_min
8,0.55,hetero_dr_sd_min
8,0.514,hetero_dr_sd_min
8,0.512,hetero_dr_sd_min
8,0.505,hetero_dr_sd_min
8,0.505,hetero_dr_sd_min
8,0.48,hetero_dr_sd_min
8,0.443,hetero_dr_sd_min
8,0.425,hetero_dr_sd_min
8,0.442,hetero_dr_sd_min
8,0.433,hetero_dr_sd_min
8,0.413,hetero_dr_sd_min
8,0.417,hetero_dr_sd_min
8,0.448,hetero_dr_sd_min
8,0.441,hetero_dr_sd_min
8,0.437,hetero_dr_sd_min
8,0.397,hetero_dr_sd_min
8,0.362,hetero_dr_sd_min
8,0.366,hetero_dr_sd_min
8,0.381,hetero_dr_sd_min
8,0.394,hetero_dr_sd_min
8,0.384,hetero_dr_sd_min
8,0.402,hetero_dr_sd_min
8,0.401,hetero_dr_sd_min
8,0.378,hetero_dr_sd_min
8,0.35,hetero_dr_sd_min
8,0.325,hetero_dr_sd_min
8,0.325,hetero_dr_sd_min
8,0.327,hetero_dr_sd_min
8,0.339,hetero_dr_sd_min
8,0.337,hetero_dr_sd_min
8,0.352,hetero_dr_sd_min
8,0.367,hetero_dr_sd_min
8,0.397,hetero_dr_sd_min
8,0.379,hetero_dr_sd_min
8,0.382,hetero_dr_sd_min
8,0.391,hetero_dr_sd_min
8,0.414,hetero_dr_sd_min
8,0.445,hetero_dr_sd_min
8,0.454,hetero_dr_sd_min
8,0.441,hetero_dr_sd_min
8,0.442,hetero_dr_sd_min
8,0.464,hetero_dr_sd_min
8,0.449,hetero_dr_sd_min
8,0.458,hetero_dr_sd_min
8,0.448,hetero_dr_sd_min
8,0.434,hetero_dr_sd_min
8,0.389,hetero_dr_sd_min
8,0.36,hetero_dr_sd_min
8,0.332,hetero_dr_sd_min
8,0.32,hetero_dr_sd_min
8,0.317,hetero_dr_sd_min
8,0.348,hetero_dr_sd_min
8,0.349,hetero_dr_sd_min
8,0.36,hetero_dr_sd_min
8,0.374,hetero_dr_sd_min
8,0.39,hetero_dr_sd_min
8,0.361,hetero_dr_sd_min
8,0.382,hetero_dr_sd_min
8,0.384,hetero_dr_sd_min
8,0.405,hetero_dr_sd_min
8,0.425,hetero_dr_sd_min
8,0.401,hetero_dr_sd_min
8,0.405,hetero_dr_sd_min
8,0.427,hetero_dr_sd_min
8,0.452,hetero_dr_sd_min
8,0.45,hetero_dr_sd_min
8,0.419,hetero_dr_sd_min
8,0.424,hetero_dr_sd_min
8,0.436,hetero_dr_sd_min
8,0.422,hetero_dr_sd_min
8,0.422,hetero_dr_sd_min
8,0.454,hetero_dr_sd_min
8,0.466,hetero_dr_sd_min
8,0.466,hetero_dr_sd_min
8,0.457,hetero_dr_sd_min
8,0.454,hetero_dr_sd_min
8,0.458,hetero_dr_sd_min
8,0.435,hetero_dr_sd_min
8,0.424,hetero_dr_sd_min
8,0.415,hetero_dr_sd_min
8,0.396,hetero_dr_sd_min
8,0.421,hetero_dr_sd_min
8,0.42,hetero_dr_sd_min
8,0.444,hetero_dr_sd_min
8,0.42,hetero_dr_sd_min
8,0.449,hetero_dr_sd_min
8,0.456,hetero_dr_sd_min
8,0.486,hetero_dr_sd_min
8,0.493,hetero_dr_sd_min
8,0.477,hetero_dr_sd_min
8,0.48,hetero_dr_sd_min
8,0.516,hetero_dr_sd_min
8,0.553,hetero_dr_sd_min
8,0.56,hetero_dr_sd_min
8,0.535,hetero_dr_sd_min
8,0.555,hetero_dr_sd_min
8,0.569,hetero_dr_sd_min
8,0.568,hetero_dr_sd_min
8,0.564,hetero_dr_sd_min
8,0.568,hetero_dr_sd_min
8,0.565,hetero_dr_sd_min
8,0.571,hetero_dr_sd_min
8,0.572,hetero_dr_sd_min
8,0.578,hetero_dr_sd_min
8,0.594,hetero_dr_sd_min
8,0.614,hetero_dr_sd_min
8,0.618,hetero_dr_sd_min
8,0.642,hetero_dr_sd_min
8,0.652,hetero_dr_sd_min
8,0.663,hetero_dr_sd_min
8,0.642,hetero_dr_sd_min
8,0.647,hetero_dr_sd_min
8,0.641,hetero_dr_sd_min
8,0.624,hetero_dr_sd_min
8,0.652,hetero_dr_sd_min
8,0.651,hetero_dr_sd_min
8,0.656,hetero_dr_sd_min
8,0.659,hetero_dr_sd_min
8,0.654,hetero_dr_sd_min
8,0.666,hetero_dr_sd_min
8,0.661,hetero_dr_sd_min
8,0.65,hetero_dr_sd_min
8,0.626,hetero_dr_sd_min
8,0.631,hetero_dr_sd_min
8,0.635,hetero_dr_sd_min
8,0.611,hetero_dr_sd_min
8,0.611,hetero_dr_sd_min
8,0.643,hetero_dr_sd_min
8,0.65,hetero_dr_sd_min
8,0.637,hetero_dr_sd_min
8,0.653,hetero_dr_sd_min
8,0.667,hetero_dr_sd_min
8,0.668,hetero_dr_sd_min
8,0.631,hetero_dr_sd_min
8,0.593,hetero_dr_sd_min
8,0.576,hetero_dr_sd_min
8,0.566,hetero_dr_sd_min
8,0.562,hetero_dr_sd_min
8,0.593,hetero_dr_sd_min
8,0.597,hetero_dr_sd_min
8,0.573,hetero_dr_sd_min
8,0.58,hetero_dr_sd_min
8,0.585,hetero_dr_sd_min
8,0.589,hetero_dr_sd_min
8,0.582,hetero_dr_sd_min
8,0.605,hetero_dr_sd_min
8,0.636,hetero_dr_sd_min
8,0.659,hetero_dr_sd_min
8,0.66,hetero_dr_sd_min
8,0.654,hetero_dr_sd_min
8,0.626,hetero_dr_sd_min
8,0.653,hetero_dr_sd_min
8,0.686,hetero_dr_sd_min
8,0.663,hetero_dr_sd_min
8,0.654,hetero_dr_sd_min
8,0.641,hetero_dr_sd_min
8,0.615,hetero_dr_sd_min
8,0.609,hetero_dr_sd_min
8,0.611,hetero_dr_sd_min
8,0.622,hetero_dr_sd_min
8,0.619,hetero_dr_sd_min
8,0.636,hetero_dr_sd_min
8,0.638,hetero_dr_sd_min
8,0.63,hetero_dr_sd_min
8,0.638,hetero_dr_sd_min
8,0.634,hetero_dr_sd_min
8,0.626,hetero_dr_sd_min
8,0.632,hetero_dr_sd_min
8,0.62,hetero_dr_sd_min
8,0.622,hetero_dr_sd_min
8,0.652,hetero_dr_sd_min
8,0.648,hetero_dr_sd_min
8,0.662,hetero_dr_sd_min
8,0.652,hetero_dr_sd_min
