S.D.,Counts,seed,tournament_type
0.5,258,2,norm_dr_sd_min
0.6,254,2,norm_dr_sd_min
0.7,256,2,norm_dr_sd_min
0.8,240,2,norm_dr_sd_min
0.9,210,2,norm_dr_sd_min
1,187,2,norm_dr_sd_min
1.1,174,2,norm_dr_sd_min
1.2,168,2,norm_dr_sd_min
1.3,137,2,norm_dr_sd_min
1.4,126,2,norm_dr_sd_min
1.5,101,2,norm_dr_sd_min
1.6,75,2,norm_dr_sd_min
1.7,62,2,norm_dr_sd_min
1.8,59,2,norm_dr_sd_min
1.9,39,2,norm_dr_sd_min
2,24,2,norm_dr_sd_min
2.1,22,2,norm_dr_sd_min
2.2,12,2,norm_dr_sd_min
2.3,8,2,norm_dr_sd_min
2.4,11,2,norm_dr_sd_min
2.5,3,2,norm_dr_sd_min
2.6,2,2,norm_dr_sd_min
2.7,1,2,norm_dr_sd_min
2.8,1,2,norm_dr_sd_min
2.9,1,2,norm_dr_sd_min
3,0,2,norm_dr_sd_min
