seed,coop_ratio,tournament_type
8,0.774,hetero_m_sd_max
8,0.704,hetero_m_sd_max
8,0.683,hetero_m_sd_max
8,0.702,hetero_m_sd_max
8,0.736,hetero_m_sd_max
8,0.724,hetero_m_sd_max
8,0.711,hetero_m_sd_max
8,0.704,hetero_m_sd_max
8,0.704,hetero_m_sd_max
8,0.701,hetero_m_sd_max
8,0.696,hetero_m_sd_max
8,0.679,hetero_m_sd_max
8,0.673,hetero_m_sd_max
8,0.678,hetero_m_sd_max
8,0.69,hetero_m_sd_max
8,0.68,hetero_m_sd_max
8,0.655,hetero_m_sd_max
8,0.65,hetero_m_sd_max
8,0.653,hetero_m_sd_max
8,0.65,hetero_m_sd_max
8,0.658,hetero_m_sd_max
8,0.649,hetero_m_sd_max
8,0.647,hetero_m_sd_max
8,0.656,hetero_m_sd_max
8,0.672,hetero_m_sd_max
8,0.697,hetero_m_sd_max
8,0.718,hetero_m_sd_max
8,0.735,hetero_m_sd_max
8,0.713,hetero_m_sd_max
8,0.702,hetero_m_sd_max
8,0.71,hetero_m_sd_max
8,0.72,hetero_m_sd_max
8,0.729,hetero_m_sd_max
8,0.729,hetero_m_sd_max
8,0.728,hetero_m_sd_max
8,0.706,hetero_m_sd_max
8,0.68,hetero_m_sd_max
8,0.685,hetero_m_sd_max
8,0.691,hetero_m_sd_max
8,0.695,hetero_m_sd_max
8,0.669,hetero_m_sd_max
8,0.672,hetero_m_sd_max
8,0.633,hetero_m_sd_max
8,0.627,hetero_m_sd_max
8,0.6,hetero_m_sd_max
8,0.6,hetero_m_sd_max
8,0.644,hetero_m_sd_max
8,0.662,hetero_m_sd_max
8,0.634,hetero_m_sd_max
8,0.597,hetero_m_sd_max
8,0.576,hetero_m_sd_max
8,0.565,hetero_m_sd_max
8,0.575,hetero_m_sd_max
8,0.577,hetero_m_sd_max
8,0.578,hetero_m_sd_max
8,0.574,hetero_m_sd_max
8,0.555,hetero_m_sd_max
8,0.541,hetero_m_sd_max
8,0.517,hetero_m_sd_max
8,0.5,hetero_m_sd_max
8,0.483,hetero_m_sd_max
8,0.503,hetero_m_sd_max
8,0.515,hetero_m_sd_max
8,0.509,hetero_m_sd_max
8,0.49,hetero_m_sd_max
8,0.46,hetero_m_sd_max
8,0.447,hetero_m_sd_max
8,0.411,hetero_m_sd_max
8,0.374,hetero_m_sd_max
8,0.391,hetero_m_sd_max
8,0.382,hetero_m_sd_max
8,0.395,hetero_m_sd_max
8,0.396,hetero_m_sd_max
8,0.408,hetero_m_sd_max
8,0.391,hetero_m_sd_max
8,0.396,hetero_m_sd_max
8,0.412,hetero_m_sd_max
8,0.382,hetero_m_sd_max
8,0.364,hetero_m_sd_max
8,0.351,hetero_m_sd_max
8,0.351,hetero_m_sd_max
