S.D.,Counts,seed,tournament_type
0.5,284,4,norm_m_sd_max
0.6,296,4,norm_m_sd_max
0.7,270,4,norm_m_sd_max
0.8,240,4,norm_m_sd_max
0.9,229,4,norm_m_sd_max
1,210,4,norm_m_sd_max
1.1,181,4,norm_m_sd_max
1.2,153,4,norm_m_sd_max
1.3,135,4,norm_m_sd_max
1.4,122,4,norm_m_sd_max
1.5,96,4,norm_m_sd_max
1.6,82,4,norm_m_sd_max
1.7,58,4,norm_m_sd_max
1.8,49,4,norm_m_sd_max
1.9,36,4,norm_m_sd_max
2,24,4,norm_m_sd_max
2.1,28,4,norm_m_sd_max
2.2,21,4,norm_m_sd_max
2.3,16,4,norm_m_sd_max
2.4,17,4,norm_m_sd_max
2.5,12,4,norm_m_sd_max
2.6,6,4,norm_m_sd_max
2.7,10,4,norm_m_sd_max
2.8,7,4,norm_m_sd_max
2.9,4,4,norm_m_sd_max
3,4,4,norm_m_sd_max
