seed,coop_ratio,tournament_type
4,0.775,hetero_m_sd_min
4,0.701,hetero_m_sd_min
4,0.68,hetero_m_sd_min
4,0.643,hetero_m_sd_min
4,0.635,hetero_m_sd_min
4,0.612,hetero_m_sd_min
4,0.613,hetero_m_sd_min
4,0.613,hetero_m_sd_min
4,0.632,hetero_m_sd_min
4,0.63,hetero_m_sd_min
4,0.618,hetero_m_sd_min
4,0.629,hetero_m_sd_min
4,0.641,hetero_m_sd_min
4,0.667,hetero_m_sd_min
4,0.672,hetero_m_sd_min
4,0.66,hetero_m_sd_min
4,0.613,hetero_m_sd_min
4,0.576,hetero_m_sd_min
4,0.577,hetero_m_sd_min
4,0.584,hetero_m_sd_min
4,0.582,hetero_m_sd_min
4,0.585,hetero_m_sd_min
4,0.585,hetero_m_sd_min
4,0.6,hetero_m_sd_min
4,0.611,hetero_m_sd_min
4,0.605,hetero_m_sd_min
4,0.592,hetero_m_sd_min
4,0.579,hetero_m_sd_min
4,0.565,hetero_m_sd_min
4,0.553,hetero_m_sd_min
4,0.544,hetero_m_sd_min
4,0.561,hetero_m_sd_min
4,0.563,hetero_m_sd_min
4,0.569,hetero_m_sd_min
4,0.591,hetero_m_sd_min
4,0.624,hetero_m_sd_min
4,0.621,hetero_m_sd_min
4,0.605,hetero_m_sd_min
4,0.599,hetero_m_sd_min
4,0.598,hetero_m_sd_min
4,0.605,hetero_m_sd_min
4,0.643,hetero_m_sd_min
4,0.644,hetero_m_sd_min
4,0.616,hetero_m_sd_min
4,0.611,hetero_m_sd_min
4,0.618,hetero_m_sd_min
4,0.6,hetero_m_sd_min
4,0.618,hetero_m_sd_min
4,0.62,hetero_m_sd_min
4,0.634,hetero_m_sd_min
4,0.636,hetero_m_sd_min
4,0.633,hetero_m_sd_min
4,0.634,hetero_m_sd_min
4,0.607,hetero_m_sd_min
4,0.594,hetero_m_sd_min
4,0.583,hetero_m_sd_min
4,0.566,hetero_m_sd_min
4,0.559,hetero_m_sd_min
4,0.544,hetero_m_sd_min
4,0.535,hetero_m_sd_min
4,0.538,hetero_m_sd_min
4,0.522,hetero_m_sd_min
4,0.521,hetero_m_sd_min
