S.D.,Counts,seed,tournament_type
0.5,277,64,norm_m_sd_min
0.6,260,64,norm_m_sd_min
0.7,229,64,norm_m_sd_min
0.8,217,64,norm_m_sd_min
0.9,215,64,norm_m_sd_min
1,188,64,norm_m_sd_min
1.1,167,64,norm_m_sd_min
1.2,166,64,norm_m_sd_min
1.3,140,64,norm_m_sd_min
1.4,138,64,norm_m_sd_min
1.5,114,64,norm_m_sd_min
1.6,95,64,norm_m_sd_min
1.7,87,64,norm_m_sd_min
1.8,69,64,norm_m_sd_min
1.9,48,64,norm_m_sd_min
2,31,64,norm_m_sd_min
2.1,19,64,norm_m_sd_min
2.2,15,64,norm_m_sd_min
2.3,11,64,norm_m_sd_min
2.4,8,64,norm_m_sd_min
2.5,7,64,norm_m_sd_min
2.6,3,64,norm_m_sd_min
2.7,0,64,norm_m_sd_min
2.8,0,64,norm_m_sd_min
2.9,0,64,norm_m_sd_min
3,0,64,norm_m_sd_min
