seed,coop_ratio,tournament_type
64,0.738,hetero_mdr_sd_max
64,0.637,hetero_mdr_sd_max
64,0.59,hetero_mdr_sd_max
64,0.565,hetero_mdr_sd_max
64,0.568,hetero_mdr_sd_max
64,0.573,hetero_mdr_sd_max
64,0.579,hetero_mdr_sd_max
64,0.58,hetero_mdr_sd_max
64,0.595,hetero_mdr_sd_max
64,0.603,hetero_mdr_sd_max
64,0.604,hetero_mdr_sd_max
64,0.597,hetero_mdr_sd_max
64,0.564,hetero_mdr_sd_max
64,0.565,hetero_mdr_sd_max
64,0.574,hetero_mdr_sd_max
64,0.594,hetero_mdr_sd_max
64,0.558,hetero_mdr_sd_max
64,0.561,hetero_mdr_sd_max
64,0.585,hetero_mdr_sd_max
64,0.596,hetero_mdr_sd_max
64,0.579,hetero_mdr_sd_max
64,0.571,hetero_mdr_sd_max
64,0.563,hetero_mdr_sd_max
64,0.55,hetero_mdr_sd_max
64,0.558,hetero_mdr_sd_max
64,0.538,hetero_mdr_sd_max
64,0.497,hetero_mdr_sd_max
64,0.511,hetero_mdr_sd_max
64,0.531,hetero_mdr_sd_max
64,0.534,hetero_mdr_sd_max
64,0.551,hetero_mdr_sd_max
64,0.58,hetero_mdr_sd_max
64,0.563,hetero_mdr_sd_max
64,0.557,hetero_mdr_sd_max
64,0.57,hetero_mdr_sd_max
64,0.561,hetero_mdr_sd_max
64,0.547,hetero_mdr_sd_max
64,0.53,hetero_mdr_sd_max
64,0.535,hetero_mdr_sd_max
64,0.52,hetero_mdr_sd_max
64,0.551,hetero_mdr_sd_max
64,0.534,hetero_mdr_sd_max
64,0.533,hetero_mdr_sd_max
64,0.561,hetero_mdr_sd_max
64,0.564,hetero_mdr_sd_max
64,0.552,hetero_mdr_sd_max
64,0.553,hetero_mdr_sd_max
64,0.565,hetero_mdr_sd_max
64,0.588,hetero_mdr_sd_max
64,0.603,hetero_mdr_sd_max
64,0.622,hetero_mdr_sd_max
64,0.641,hetero_mdr_sd_max
64,0.635,hetero_mdr_sd_max
64,0.637,hetero_mdr_sd_max
64,0.651,hetero_mdr_sd_max
64,0.628,hetero_mdr_sd_max
64,0.627,hetero_mdr_sd_max
64,0.64,hetero_mdr_sd_max
64,0.644,hetero_mdr_sd_max
64,0.608,hetero_mdr_sd_max
64,0.575,hetero_mdr_sd_max
64,0.583,hetero_mdr_sd_max
64,0.565,hetero_mdr_sd_max
64,0.546,hetero_mdr_sd_max
64,0.542,hetero_mdr_sd_max
64,0.521,hetero_mdr_sd_max
64,0.491,hetero_mdr_sd_max
64,0.475,hetero_mdr_sd_max
64,0.462,hetero_mdr_sd_max
64,0.451,hetero_mdr_sd_max
64,0.457,hetero_mdr_sd_max
64,0.456,hetero_mdr_sd_max
64,0.476,hetero_mdr_sd_max
64,0.494,hetero_mdr_sd_max
64,0.486,hetero_mdr_sd_max
64,0.46,hetero_mdr_sd_max
64,0.458,hetero_mdr_sd_max
64,0.436,hetero_mdr_sd_max
64,0.429,hetero_mdr_sd_max
64,0.419,hetero_mdr_sd_max
64,0.423,hetero_mdr_sd_max
64,0.424,hetero_mdr_sd_max
64,0.447,hetero_mdr_sd_max
64,0.453,hetero_mdr_sd_max
64,0.465,hetero_mdr_sd_max
64,0.478,hetero_mdr_sd_max
64,0.477,hetero_mdr_sd_max
64,0.474,hetero_mdr_sd_max
64,0.485,hetero_mdr_sd_max
64,0.486,hetero_mdr_sd_max
64,0.498,hetero_mdr_sd_max
64,0.505,hetero_mdr_sd_max
64,0.502,hetero_mdr_sd_max
64,0.493,hetero_mdr_sd_max
64,0.508,hetero_mdr_sd_max
64,0.486,hetero_mdr_sd_max
64,0.487,hetero_mdr_sd_max
64,0.494,hetero_mdr_sd_max
64,0.506,hetero_mdr_sd_max
64,0.532,hetero_mdr_sd_max
64,0.548,hetero_mdr_sd_max
64,0.544,hetero_mdr_sd_max
64,0.527,hetero_mdr_sd_max
64,0.49,hetero_mdr_sd_max
64,0.472,hetero_mdr_sd_max
64,0.449,hetero_mdr_sd_max
64,0.469,hetero_mdr_sd_max
64,0.482,hetero_mdr_sd_max
64,0.461,hetero_mdr_sd_max
64,0.455,hetero_mdr_sd_max
64,0.465,hetero_mdr_sd_max
64,0.461,hetero_mdr_sd_max
64,0.422,hetero_mdr_sd_max
64,0.417,hetero_mdr_sd_max
64,0.418,hetero_mdr_sd_max
64,0.41,hetero_mdr_sd_max
64,0.404,hetero_mdr_sd_max
64,0.395,hetero_mdr_sd_max
64,0.39,hetero_mdr_sd_max
64,0.413,hetero_mdr_sd_max
64,0.418,hetero_mdr_sd_max
64,0.415,hetero_mdr_sd_max
64,0.42,hetero_mdr_sd_max
64,0.438,hetero_mdr_sd_max
64,0.464,hetero_mdr_sd_max
64,0.465,hetero_mdr_sd_max
64,0.446,hetero_mdr_sd_max
64,0.426,hetero_mdr_sd_max
64,0.425,hetero_mdr_sd_max
64,0.431,hetero_mdr_sd_max
64,0.434,hetero_mdr_sd_max
64,0.452,hetero_mdr_sd_max
64,0.469,hetero_mdr_sd_max
