S.D.,Counts,seed,tournament_type
0.5,248,4,norm_mdr_sd_max
0.6,242,4,norm_mdr_sd_max
0.7,261,4,norm_mdr_sd_max
0.8,225,4,norm_mdr_sd_max
0.9,194,4,norm_mdr_sd_max
1,172,4,norm_mdr_sd_max
1.1,145,4,norm_mdr_sd_max
1.2,139,4,norm_mdr_sd_max
1.3,150,4,norm_mdr_sd_max
1.4,138,4,norm_mdr_sd_max
1.5,111,4,norm_mdr_sd_max
1.6,90,4,norm_mdr_sd_max
1.7,75,4,norm_mdr_sd_max
1.8,51,4,norm_mdr_sd_max
1.9,28,4,norm_mdr_sd_max
2,31,4,norm_mdr_sd_max
2.1,30,4,norm_mdr_sd_max
2.2,19,4,norm_mdr_sd_max
2.3,11,4,norm_mdr_sd_max
2.4,7,4,norm_mdr_sd_max
2.5,4,4,norm_mdr_sd_max
2.6,5,4,norm_mdr_sd_max
2.7,2,4,norm_mdr_sd_max
2.8,1,4,norm_mdr_sd_max
2.9,0,4,norm_mdr_sd_max
3,0,4,norm_mdr_sd_max
