seed,coop_ratio,tournament_type
4,0.775,hetero_mdr_sd_min
4,0.696,hetero_mdr_sd_min
4,0.686,hetero_mdr_sd_min
4,0.663,hetero_mdr_sd_min
4,0.653,hetero_mdr_sd_min
4,0.619,hetero_mdr_sd_min
4,0.579,hetero_mdr_sd_min
4,0.568,hetero_mdr_sd_min
4,0.554,hetero_mdr_sd_min
4,0.551,hetero_mdr_sd_min
4,0.555,hetero_mdr_sd_min
4,0.566,hetero_mdr_sd_min
4,0.582,hetero_mdr_sd_min
4,0.568,hetero_mdr_sd_min
4,0.566,hetero_mdr_sd_min
4,0.574,hetero_mdr_sd_min
4,0.594,hetero_mdr_sd_min
4,0.61,hetero_mdr_sd_min
4,0.57,hetero_mdr_sd_min
4,0.543,hetero_mdr_sd_min
4,0.534,hetero_mdr_sd_min
4,0.525,hetero_mdr_sd_min
4,0.533,hetero_mdr_sd_min
4,0.528,hetero_mdr_sd_min
4,0.533,hetero_mdr_sd_min
4,0.544,hetero_mdr_sd_min
4,0.555,hetero_mdr_sd_min
4,0.58,hetero_mdr_sd_min
4,0.592,hetero_mdr_sd_min
4,0.586,hetero_mdr_sd_min
4,0.566,hetero_mdr_sd_min
4,0.561,hetero_mdr_sd_min
4,0.559,hetero_mdr_sd_min
4,0.567,hetero_mdr_sd_min
4,0.569,hetero_mdr_sd_min
4,0.551,hetero_mdr_sd_min
4,0.575,hetero_mdr_sd_min
4,0.581,hetero_mdr_sd_min
4,0.569,hetero_mdr_sd_min
4,0.575,hetero_mdr_sd_min
4,0.544,hetero_mdr_sd_min
4,0.541,hetero_mdr_sd_min
4,0.542,hetero_mdr_sd_min
4,0.541,hetero_mdr_sd_min
4,0.543,hetero_mdr_sd_min
4,0.542,hetero_mdr_sd_min
4,0.543,hetero_mdr_sd_min
4,0.539,hetero_mdr_sd_min
4,0.527,hetero_mdr_sd_min
4,0.498,hetero_mdr_sd_min
4,0.482,hetero_mdr_sd_min
4,0.482,hetero_mdr_sd_min
4,0.516,hetero_mdr_sd_min
4,0.522,hetero_mdr_sd_min
4,0.513,hetero_mdr_sd_min
4,0.523,hetero_mdr_sd_min
4,0.532,hetero_mdr_sd_min
4,0.533,hetero_mdr_sd_min
4,0.551,hetero_mdr_sd_min
4,0.559,hetero_mdr_sd_min
4,0.54,hetero_mdr_sd_min
4,0.53,hetero_mdr_sd_min
4,0.547,hetero_mdr_sd_min
4,0.551,hetero_mdr_sd_min
4,0.566,hetero_mdr_sd_min
4,0.605,hetero_mdr_sd_min
4,0.625,hetero_mdr_sd_min
4,0.622,hetero_mdr_sd_min
4,0.602,hetero_mdr_sd_min
4,0.613,hetero_mdr_sd_min
4,0.635,hetero_mdr_sd_min
4,0.644,hetero_mdr_sd_min
4,0.631,hetero_mdr_sd_min
4,0.618,hetero_mdr_sd_min
4,0.622,hetero_mdr_sd_min
4,0.594,hetero_mdr_sd_min
4,0.563,hetero_mdr_sd_min
4,0.558,hetero_mdr_sd_min
4,0.522,hetero_mdr_sd_min
4,0.525,hetero_mdr_sd_min
4,0.502,hetero_mdr_sd_min
4,0.511,hetero_mdr_sd_min
4,0.522,hetero_mdr_sd_min
4,0.501,hetero_mdr_sd_min
4,0.508,hetero_mdr_sd_min
4,0.525,hetero_mdr_sd_min
4,0.527,hetero_mdr_sd_min
4,0.53,hetero_mdr_sd_min
4,0.526,hetero_mdr_sd_min
4,0.543,hetero_mdr_sd_min
4,0.551,hetero_mdr_sd_min
4,0.57,hetero_mdr_sd_min
4,0.552,hetero_mdr_sd_min
4,0.535,hetero_mdr_sd_min
4,0.514,hetero_mdr_sd_min
4,0.522,hetero_mdr_sd_min
4,0.514,hetero_mdr_sd_min
4,0.488,hetero_mdr_sd_min
4,0.476,hetero_mdr_sd_min
4,0.485,hetero_mdr_sd_min
4,0.501,hetero_mdr_sd_min
4,0.476,hetero_mdr_sd_min
4,0.471,hetero_mdr_sd_min
4,0.454,hetero_mdr_sd_min
4,0.453,hetero_mdr_sd_min
4,0.454,hetero_mdr_sd_min
4,0.449,hetero_mdr_sd_min
4,0.451,hetero_mdr_sd_min
4,0.44,hetero_mdr_sd_min
4,0.437,hetero_mdr_sd_min
4,0.414,hetero_mdr_sd_min
4,0.409,hetero_mdr_sd_min
4,0.391,hetero_mdr_sd_min
4,0.392,hetero_mdr_sd_min
4,0.398,hetero_mdr_sd_min
4,0.422,hetero_mdr_sd_min
4,0.407,hetero_mdr_sd_min
4,0.378,hetero_mdr_sd_min
4,0.349,hetero_mdr_sd_min
4,0.349,hetero_mdr_sd_min
4,0.364,hetero_mdr_sd_min
4,0.361,hetero_mdr_sd_min
4,0.352,hetero_mdr_sd_min
4,0.351,hetero_mdr_sd_min
4,0.355,hetero_mdr_sd_min
4,0.337,hetero_mdr_sd_min
4,0.339,hetero_mdr_sd_min
4,0.333,hetero_mdr_sd_min
4,0.331,hetero_mdr_sd_min
4,0.367,hetero_mdr_sd_min
4,0.379,hetero_mdr_sd_min
4,0.383,hetero_mdr_sd_min
4,0.426,hetero_mdr_sd_min
4,0.462,hetero_mdr_sd_min
4,0.461,hetero_mdr_sd_min
4,0.482,hetero_mdr_sd_min
4,0.49,hetero_mdr_sd_min
4,0.493,hetero_mdr_sd_min
4,0.501,hetero_mdr_sd_min
4,0.498,hetero_mdr_sd_min
4,0.524,hetero_mdr_sd_min
4,0.532,hetero_mdr_sd_min
4,0.559,hetero_mdr_sd_min
4,0.563,hetero_mdr_sd_min
4,0.55,hetero_mdr_sd_min
4,0.525,hetero_mdr_sd_min
4,0.534,hetero_mdr_sd_min
4,0.527,hetero_mdr_sd_min
4,0.513,hetero_mdr_sd_min
4,0.492,hetero_mdr_sd_min
4,0.476,hetero_mdr_sd_min
4,0.473,hetero_mdr_sd_min
4,0.484,hetero_mdr_sd_min
4,0.503,hetero_mdr_sd_min
4,0.533,hetero_mdr_sd_min
4,0.552,hetero_mdr_sd_min
4,0.55,hetero_mdr_sd_min
4,0.542,hetero_mdr_sd_min
4,0.545,hetero_mdr_sd_min
4,0.541,hetero_mdr_sd_min
4,0.524,hetero_mdr_sd_min
4,0.507,hetero_mdr_sd_min
4,0.511,hetero_mdr_sd_min
4,0.494,hetero_mdr_sd_min
4,0.501,hetero_mdr_sd_min
4,0.518,hetero_mdr_sd_min
4,0.51,hetero_mdr_sd_min
4,0.529,hetero_mdr_sd_min
4,0.531,hetero_mdr_sd_min
4,0.529,hetero_mdr_sd_min
4,0.533,hetero_mdr_sd_min
4,0.559,hetero_mdr_sd_min
4,0.586,hetero_mdr_sd_min
4,0.598,hetero_mdr_sd_min
4,0.597,hetero_mdr_sd_min
4,0.591,hetero_mdr_sd_min
4,0.603,hetero_mdr_sd_min
4,0.568,hetero_mdr_sd_min
4,0.55,hetero_mdr_sd_min
4,0.537,hetero_mdr_sd_min
4,0.543,hetero_mdr_sd_min
4,0.552,hetero_mdr_sd_min
4,0.53,hetero_mdr_sd_min
4,0.551,hetero_mdr_sd_min
4,0.543,hetero_mdr_sd_min
4,0.557,hetero_mdr_sd_min
4,0.577,hetero_mdr_sd_min
4,0.582,hetero_mdr_sd_min
4,0.605,hetero_mdr_sd_min
4,0.574,hetero_mdr_sd_min
4,0.594,hetero_mdr_sd_min
4,0.624,hetero_mdr_sd_min
4,0.619,hetero_mdr_sd_min
4,0.613,hetero_mdr_sd_min
4,0.627,hetero_mdr_sd_min
4,0.672,hetero_mdr_sd_min
4,0.698,hetero_mdr_sd_min
4,0.729,hetero_mdr_sd_min
4,0.726,hetero_mdr_sd_min
4,0.72,hetero_mdr_sd_min
4,0.699,hetero_mdr_sd_min
4,0.708,hetero_mdr_sd_min
4,0.738,hetero_mdr_sd_min
4,0.757,hetero_mdr_sd_min
4,0.751,hetero_mdr_sd_min
4,0.761,hetero_mdr_sd_min
4,0.76,hetero_mdr_sd_min
4,0.768,hetero_mdr_sd_min
4,0.772,hetero_mdr_sd_min
4,0.745,hetero_mdr_sd_min
4,0.726,hetero_mdr_sd_min
4,0.742,hetero_mdr_sd_min
4,0.744,hetero_mdr_sd_min
4,0.729,hetero_mdr_sd_min
4,0.75,hetero_mdr_sd_min
4,0.768,hetero_mdr_sd_min
4,0.771,hetero_mdr_sd_min
4,0.765,hetero_mdr_sd_min
4,0.755,hetero_mdr_sd_min
4,0.771,hetero_mdr_sd_min
4,0.766,hetero_mdr_sd_min
4,0.75,hetero_mdr_sd_min
4,0.762,hetero_mdr_sd_min
4,0.766,hetero_mdr_sd_min
4,0.758,hetero_mdr_sd_min
4,0.736,hetero_mdr_sd_min
4,0.734,hetero_mdr_sd_min
4,0.741,hetero_mdr_sd_min
4,0.741,hetero_mdr_sd_min
4,0.737,hetero_mdr_sd_min
4,0.737,hetero_mdr_sd_min
4,0.732,hetero_mdr_sd_min
4,0.707,hetero_mdr_sd_min
4,0.678,hetero_mdr_sd_min
4,0.701,hetero_mdr_sd_min
4,0.705,hetero_mdr_sd_min
4,0.717,hetero_mdr_sd_min
4,0.734,hetero_mdr_sd_min
4,0.764,hetero_mdr_sd_min
4,0.764,hetero_mdr_sd_min
4,0.765,hetero_mdr_sd_min
4,0.771,hetero_mdr_sd_min
4,0.762,hetero_mdr_sd_min
4,0.763,hetero_mdr_sd_min
4,0.765,hetero_mdr_sd_min
4,0.774,hetero_mdr_sd_min
4,0.753,hetero_mdr_sd_min
4,0.738,hetero_mdr_sd_min
4,0.762,hetero_mdr_sd_min
4,0.778,hetero_mdr_sd_min
4,0.784,hetero_mdr_sd_min
4,0.802,hetero_mdr_sd_min
4,0.807,hetero_mdr_sd_min
4,0.788,hetero_mdr_sd_min
4,0.765,hetero_mdr_sd_min
4,0.78,hetero_mdr_sd_min
4,0.769,hetero_mdr_sd_min
4,0.753,hetero_mdr_sd_min
4,0.753,hetero_mdr_sd_min
4,0.76,hetero_mdr_sd_min
4,0.767,hetero_mdr_sd_min
4,0.766,hetero_mdr_sd_min
4,0.75,hetero_mdr_sd_min
4,0.708,hetero_mdr_sd_min
4,0.701,hetero_mdr_sd_min
4,0.7,hetero_mdr_sd_min
4,0.708,hetero_mdr_sd_min
4,0.725,hetero_mdr_sd_min
4,0.739,hetero_mdr_sd_min
4,0.745,hetero_mdr_sd_min
4,0.72,hetero_mdr_sd_min
4,0.689,hetero_mdr_sd_min
4,0.681,hetero_mdr_sd_min
4,0.671,hetero_mdr_sd_min
4,0.688,hetero_mdr_sd_min
4,0.702,hetero_mdr_sd_min
4,0.691,hetero_mdr_sd_min
4,0.696,hetero_mdr_sd_min
4,0.72,hetero_mdr_sd_min
4,0.738,hetero_mdr_sd_min
4,0.752,hetero_mdr_sd_min
4,0.737,hetero_mdr_sd_min
4,0.741,hetero_mdr_sd_min
4,0.765,hetero_mdr_sd_min
4,0.789,hetero_mdr_sd_min
4,0.797,hetero_mdr_sd_min
4,0.805,hetero_mdr_sd_min
4,0.801,hetero_mdr_sd_min
4,0.815,hetero_mdr_sd_min
4,0.839,hetero_mdr_sd_min
4,0.851,hetero_mdr_sd_min
4,0.856,hetero_mdr_sd_min
4,0.864,hetero_mdr_sd_min
4,0.878,hetero_mdr_sd_min
4,0.884,hetero_mdr_sd_min
4,0.888,hetero_mdr_sd_min
4,0.881,hetero_mdr_sd_min
4,0.879,hetero_mdr_sd_min
4,0.883,hetero_mdr_sd_min
4,0.882,hetero_mdr_sd_min
4,0.869,hetero_mdr_sd_min
4,0.863,hetero_mdr_sd_min
4,0.861,hetero_mdr_sd_min
4,0.852,hetero_mdr_sd_min
4,0.858,hetero_mdr_sd_min
4,0.873,hetero_mdr_sd_min
4,0.876,hetero_mdr_sd_min
4,0.888,hetero_mdr_sd_min
4,0.893,hetero_mdr_sd_min
4,0.896,hetero_mdr_sd_min
4,0.895,hetero_mdr_sd_min
4,0.899,hetero_mdr_sd_min
4,0.897,hetero_mdr_sd_min
4,0.885,hetero_mdr_sd_min
4,0.876,hetero_mdr_sd_min
4,0.862,hetero_mdr_sd_min
4,0.844,hetero_mdr_sd_min
4,0.828,hetero_mdr_sd_min
4,0.812,hetero_mdr_sd_min
4,0.803,hetero_mdr_sd_min
4,0.804,hetero_mdr_sd_min
4,0.814,hetero_mdr_sd_min
4,0.813,hetero_mdr_sd_min
4,0.773,hetero_mdr_sd_min
4,0.758,hetero_mdr_sd_min
4,0.754,hetero_mdr_sd_min
4,0.729,hetero_mdr_sd_min
4,0.722,hetero_mdr_sd_min
4,0.714,hetero_mdr_sd_min
4,0.704,hetero_mdr_sd_min
4,0.722,hetero_mdr_sd_min
4,0.734,hetero_mdr_sd_min
4,0.748,hetero_mdr_sd_min
4,0.763,hetero_mdr_sd_min
4,0.753,hetero_mdr_sd_min
4,0.766,hetero_mdr_sd_min
