S.D.,Counts,seed,tournament_type
0.5,252,2,norm_mdr_sd_min
0.6,257,2,norm_mdr_sd_min
0.7,240,2,norm_mdr_sd_min
0.8,245,2,norm_mdr_sd_min
0.9,235,2,norm_mdr_sd_min
1,224,2,norm_mdr_sd_min
1.1,201,2,norm_mdr_sd_min
1.2,186,2,norm_mdr_sd_min
1.3,144,2,norm_mdr_sd_min
1.4,119,2,norm_mdr_sd_min
1.5,98,2,norm_mdr_sd_min
1.6,96,2,norm_mdr_sd_min
1.7,78,2,norm_mdr_sd_min
1.8,63,2,norm_mdr_sd_min
1.9,59,2,norm_mdr_sd_min
2,41,2,norm_mdr_sd_min
2.1,29,2,norm_mdr_sd_min
2.2,15,2,norm_mdr_sd_min
2.3,12,2,norm_mdr_sd_min
2.4,9,2,norm_mdr_sd_min
2.5,10,2,norm_mdr_sd_min
2.6,8,2,norm_mdr_sd_min
2.7,2,2,norm_mdr_sd_min
2.8,2,2,norm_mdr_sd_min
2.9,2,2,norm_mdr_sd_min
3,0,2,norm_mdr_sd_min
