seed,coop_ratio,tournament_type
16,0.698,pareto_dr_max
16,0.574,pareto_dr_max
16,0.563,pareto_dr_max
16,0.539,pareto_dr_max
16,0.524,pareto_dr_max
16,0.535,pareto_dr_max
16,0.543,pareto_dr_max
16,0.521,pareto_dr_max
16,0.554,pareto_dr_max
16,0.552,pareto_dr_max
16,0.579,pareto_dr_max
16,0.633,pareto_dr_max
16,0.65,pareto_dr_max
16,0.624,pareto_dr_max
16,0.622,pareto_dr_max
16,0.608,pareto_dr_max
16,0.607,pareto_dr_max
16,0.597,pareto_dr_max
16,0.61,pareto_dr_max
16,0.582,pareto_dr_max
16,0.588,pareto_dr_max
16,0.593,pareto_dr_max
16,0.559,pareto_dr_max
16,0.573,pareto_dr_max
16,0.564,pareto_dr_max
16,0.544,pareto_dr_max
16,0.544,pareto_dr_max
16,0.548,pareto_dr_max
16,0.573,pareto_dr_max
16,0.541,pareto_dr_max
16,0.549,pareto_dr_max
16,0.561,pareto_dr_max
16,0.577,pareto_dr_max
16,0.586,pareto_dr_max
16,0.6,pareto_dr_max
16,0.63,pareto_dr_max
16,0.645,pareto_dr_max
16,0.63,pareto_dr_max
16,0.606,pareto_dr_max
16,0.589,pareto_dr_max
16,0.609,pareto_dr_max
16,0.615,pareto_dr_max
16,0.599,pareto_dr_max
16,0.602,pareto_dr_max
16,0.587,pareto_dr_max
16,0.6,pareto_dr_max
16,0.63,pareto_dr_max
16,0.646,pareto_dr_max
16,0.639,pareto_dr_max
16,0.642,pareto_dr_max
16,0.656,pareto_dr_max
16,0.629,pareto_dr_max
16,0.612,pareto_dr_max
16,0.6,pareto_dr_max
16,0.59,pareto_dr_max
16,0.62,pareto_dr_max
16,0.62,pareto_dr_max
16,0.626,pareto_dr_max
16,0.587,pareto_dr_max
16,0.579,pareto_dr_max
16,0.574,pareto_dr_max
16,0.574,pareto_dr_max
16,0.585,pareto_dr_max
16,0.589,pareto_dr_max
16,0.588,pareto_dr_max
16,0.612,pareto_dr_max
16,0.59,pareto_dr_max
16,0.619,pareto_dr_max
16,0.6,pareto_dr_max
16,0.621,pareto_dr_max
16,0.632,pareto_dr_max
16,0.647,pareto_dr_max
16,0.642,pareto_dr_max
16,0.632,pareto_dr_max
16,0.633,pareto_dr_max
16,0.633,pareto_dr_max
16,0.678,pareto_dr_max
16,0.666,pareto_dr_max
16,0.657,pareto_dr_max
16,0.66,pareto_dr_max
16,0.661,pareto_dr_max
16,0.667,pareto_dr_max
16,0.65,pareto_dr_max
16,0.63,pareto_dr_max
16,0.659,pareto_dr_max
16,0.641,pareto_dr_max
16,0.583,pareto_dr_max
16,0.567,pareto_dr_max
16,0.541,pareto_dr_max
16,0.54,pareto_dr_max
16,0.523,pareto_dr_max
16,0.55,pareto_dr_max
16,0.542,pareto_dr_max
16,0.563,pareto_dr_max
16,0.578,pareto_dr_max
16,0.583,pareto_dr_max
16,0.595,pareto_dr_max
16,0.619,pareto_dr_max
16,0.611,pareto_dr_max
16,0.616,pareto_dr_max
16,0.594,pareto_dr_max
16,0.609,pareto_dr_max
16,0.611,pareto_dr_max
16,0.578,pareto_dr_max
16,0.576,pareto_dr_max
16,0.556,pareto_dr_max
16,0.562,pareto_dr_max
16,0.542,pareto_dr_max
16,0.497,pareto_dr_max
16,0.457,pareto_dr_max
16,0.469,pareto_dr_max
16,0.478,pareto_dr_max
16,0.462,pareto_dr_max
16,0.445,pareto_dr_max
16,0.4,pareto_dr_max
16,0.357,pareto_dr_max
16,0.344,pareto_dr_max
16,0.378,pareto_dr_max
16,0.389,pareto_dr_max
16,0.373,pareto_dr_max
16,0.348,pareto_dr_max
16,0.337,pareto_dr_max
16,0.322,pareto_dr_max
16,0.302,pareto_dr_max
16,0.316,pareto_dr_max
16,0.334,pareto_dr_max
16,0.351,pareto_dr_max
16,0.346,pareto_dr_max
16,0.344,pareto_dr_max
16,0.362,pareto_dr_max
16,0.344,pareto_dr_max
16,0.339,pareto_dr_max
16,0.329,pareto_dr_max
16,0.324,pareto_dr_max
16,0.305,pareto_dr_max
16,0.276,pareto_dr_max
16,0.253,pareto_dr_max
16,0.253,pareto_dr_max
16,0.224,pareto_dr_max
16,0.214,pareto_dr_max
16,0.211,pareto_dr_max
16,0.212,pareto_dr_max
16,0.197,pareto_dr_max
16,0.206,pareto_dr_max
16,0.219,pareto_dr_max
16,0.22,pareto_dr_max
16,0.213,pareto_dr_max
16,0.198,pareto_dr_max
16,0.212,pareto_dr_max
16,0.222,pareto_dr_max
16,0.23,pareto_dr_max
16,0.226,pareto_dr_max
16,0.233,pareto_dr_max
16,0.226,pareto_dr_max
16,0.21,pareto_dr_max
16,0.164,pareto_dr_max
16,0.169,pareto_dr_max
16,0.18,pareto_dr_max
16,0.209,pareto_dr_max
16,0.209,pareto_dr_max
16,0.207,pareto_dr_max
16,0.197,pareto_dr_max
16,0.185,pareto_dr_max
16,0.194,pareto_dr_max
16,0.194,pareto_dr_max
16,0.185,pareto_dr_max
16,0.201,pareto_dr_max
16,0.205,pareto_dr_max
16,0.216,pareto_dr_max
16,0.223,pareto_dr_max
16,0.234,pareto_dr_max
16,0.228,pareto_dr_max
16,0.25,pareto_dr_max
16,0.266,pareto_dr_max
16,0.277,pareto_dr_max
16,0.291,pareto_dr_max
16,0.287,pareto_dr_max
16,0.299,pareto_dr_max
16,0.271,pareto_dr_max
16,0.294,pareto_dr_max
16,0.31,pareto_dr_max
16,0.322,pareto_dr_max
