S.D.,Counts,seed,tournament_type
0.5,271,16,pareto_dr_max
0.6,256,16,pareto_dr_max
0.7,246,16,pareto_dr_max
0.8,242,16,pareto_dr_max
0.9,227,16,pareto_dr_max
1,218,16,pareto_dr_max
1.1,195,16,pareto_dr_max
1.2,183,16,pareto_dr_max
1.3,149,16,pareto_dr_max
1.4,135,16,pareto_dr_max
1.5,110,16,pareto_dr_max
1.6,100,16,pareto_dr_max
1.7,78,16,pareto_dr_max
1.8,62,16,pareto_dr_max
1.9,51,16,pareto_dr_max
2,39,16,pareto_dr_max
2.1,26,16,pareto_dr_max
2.2,21,16,pareto_dr_max
2.3,9,16,pareto_dr_max
2.4,4,16,pareto_dr_max
2.5,3,16,pareto_dr_max
2.6,3,16,pareto_dr_max
2.7,5,16,pareto_dr_max
2.8,6,16,pareto_dr_max
2.9,4,16,pareto_dr_max
3,3,16,pareto_dr_max
