seed,coop_ratio,tournament_type
64,0.753,pareto_dr_min
64,0.634,pareto_dr_min
64,0.623,pareto_dr_min
64,0.621,pareto_dr_min
64,0.632,pareto_dr_min
64,0.646,pareto_dr_min
64,0.635,pareto_dr_min
64,0.639,pareto_dr_min
64,0.631,pareto_dr_min
64,0.628,pareto_dr_min
64,0.619,pareto_dr_min
64,0.591,pareto_dr_min
64,0.561,pareto_dr_min
64,0.575,pareto_dr_min
64,0.573,pareto_dr_min
64,0.596,pareto_dr_min
64,0.601,pareto_dr_min
64,0.584,pareto_dr_min
64,0.597,pareto_dr_min
64,0.619,pareto_dr_min
64,0.609,pareto_dr_min
64,0.598,pareto_dr_min
64,0.585,pareto_dr_min
64,0.575,pareto_dr_min
64,0.597,pareto_dr_min
64,0.57,pareto_dr_min
64,0.559,pareto_dr_min
64,0.567,pareto_dr_min
64,0.563,pareto_dr_min
64,0.55,pareto_dr_min
64,0.556,pareto_dr_min
64,0.552,pareto_dr_min
64,0.552,pareto_dr_min
64,0.545,pareto_dr_min
64,0.534,pareto_dr_min
64,0.537,pareto_dr_min
64,0.522,pareto_dr_min
64,0.526,pareto_dr_min
64,0.541,pareto_dr_min
64,0.55,pareto_dr_min
64,0.588,pareto_dr_min
64,0.579,pareto_dr_min
64,0.562,pareto_dr_min
64,0.553,pareto_dr_min
64,0.54,pareto_dr_min
64,0.509,pareto_dr_min
64,0.478,pareto_dr_min
64,0.457,pareto_dr_min
64,0.454,pareto_dr_min
64,0.45,pareto_dr_min
64,0.449,pareto_dr_min
64,0.468,pareto_dr_min
64,0.451,pareto_dr_min
64,0.456,pareto_dr_min
64,0.462,pareto_dr_min
64,0.449,pareto_dr_min
64,0.449,pareto_dr_min
64,0.462,pareto_dr_min
64,0.475,pareto_dr_min
64,0.487,pareto_dr_min
64,0.475,pareto_dr_min
64,0.49,pareto_dr_min
64,0.478,pareto_dr_min
64,0.475,pareto_dr_min
64,0.467,pareto_dr_min
64,0.477,pareto_dr_min
64,0.472,pareto_dr_min
64,0.442,pareto_dr_min
64,0.425,pareto_dr_min
64,0.438,pareto_dr_min
64,0.434,pareto_dr_min
64,0.451,pareto_dr_min
64,0.472,pareto_dr_min
64,0.491,pareto_dr_min
64,0.503,pareto_dr_min
64,0.513,pareto_dr_min
64,0.512,pareto_dr_min
64,0.502,pareto_dr_min
64,0.49,pareto_dr_min
64,0.513,pareto_dr_min
64,0.537,pareto_dr_min
64,0.534,pareto_dr_min
64,0.528,pareto_dr_min
64,0.542,pareto_dr_min
64,0.573,pareto_dr_min
64,0.594,pareto_dr_min
64,0.601,pareto_dr_min
64,0.603,pareto_dr_min
64,0.616,pareto_dr_min
64,0.618,pareto_dr_min
64,0.614,pareto_dr_min
64,0.594,pareto_dr_min
64,0.579,pareto_dr_min
64,0.559,pareto_dr_min
64,0.547,pareto_dr_min
64,0.533,pareto_dr_min
64,0.519,pareto_dr_min
64,0.525,pareto_dr_min
64,0.515,pareto_dr_min
64,0.497,pareto_dr_min
64,0.51,pareto_dr_min
64,0.507,pareto_dr_min
64,0.507,pareto_dr_min
64,0.503,pareto_dr_min
64,0.492,pareto_dr_min
64,0.492,pareto_dr_min
64,0.472,pareto_dr_min
64,0.462,pareto_dr_min
64,0.479,pareto_dr_min
64,0.477,pareto_dr_min
64,0.473,pareto_dr_min
64,0.461,pareto_dr_min
64,0.423,pareto_dr_min
64,0.426,pareto_dr_min
64,0.433,pareto_dr_min
64,0.416,pareto_dr_min
64,0.4,pareto_dr_min
64,0.391,pareto_dr_min
64,0.432,pareto_dr_min
64,0.435,pareto_dr_min
64,0.438,pareto_dr_min
64,0.453,pareto_dr_min
64,0.478,pareto_dr_min
64,0.483,pareto_dr_min
64,0.491,pareto_dr_min
64,0.489,pareto_dr_min
64,0.456,pareto_dr_min
64,0.439,pareto_dr_min
64,0.436,pareto_dr_min
64,0.431,pareto_dr_min
64,0.425,pareto_dr_min
64,0.431,pareto_dr_min
64,0.464,pareto_dr_min
64,0.451,pareto_dr_min
64,0.446,pareto_dr_min
64,0.457,pareto_dr_min
64,0.452,pareto_dr_min
64,0.456,pareto_dr_min
64,0.485,pareto_dr_min
64,0.5,pareto_dr_min
64,0.52,pareto_dr_min
64,0.497,pareto_dr_min
64,0.505,pareto_dr_min
64,0.51,pareto_dr_min
64,0.518,pareto_dr_min
64,0.506,pareto_dr_min
64,0.496,pareto_dr_min
64,0.483,pareto_dr_min
64,0.471,pareto_dr_min
64,0.484,pareto_dr_min
64,0.488,pareto_dr_min
64,0.519,pareto_dr_min
64,0.515,pareto_dr_min
64,0.506,pareto_dr_min
64,0.514,pareto_dr_min
64,0.534,pareto_dr_min
64,0.542,pareto_dr_min
64,0.558,pareto_dr_min
64,0.566,pareto_dr_min
64,0.585,pareto_dr_min
64,0.573,pareto_dr_min
64,0.547,pareto_dr_min
64,0.552,pareto_dr_min
64,0.552,pareto_dr_min
64,0.586,pareto_dr_min
64,0.594,pareto_dr_min
64,0.576,pareto_dr_min
64,0.566,pareto_dr_min
64,0.549,pareto_dr_min
64,0.522,pareto_dr_min
64,0.516,pareto_dr_min
64,0.522,pareto_dr_min
64,0.552,pareto_dr_min
64,0.574,pareto_dr_min
64,0.599,pareto_dr_min
64,0.602,pareto_dr_min
64,0.575,pareto_dr_min
64,0.582,pareto_dr_min
64,0.593,pareto_dr_min
64,0.576,pareto_dr_min
64,0.565,pareto_dr_min
64,0.564,pareto_dr_min
64,0.559,pareto_dr_min
64,0.574,pareto_dr_min
64,0.595,pareto_dr_min
64,0.602,pareto_dr_min
64,0.587,pareto_dr_min
64,0.567,pareto_dr_min
64,0.581,pareto_dr_min
64,0.59,pareto_dr_min
64,0.598,pareto_dr_min
64,0.601,pareto_dr_min
64,0.563,pareto_dr_min
64,0.537,pareto_dr_min
64,0.541,pareto_dr_min
64,0.545,pareto_dr_min
64,0.532,pareto_dr_min
64,0.536,pareto_dr_min
64,0.553,pareto_dr_min
64,0.565,pareto_dr_min
64,0.561,pareto_dr_min
64,0.535,pareto_dr_min
64,0.513,pareto_dr_min
64,0.502,pareto_dr_min
64,0.524,pareto_dr_min
64,0.521,pareto_dr_min
64,0.519,pareto_dr_min
64,0.53,pareto_dr_min
64,0.515,pareto_dr_min
64,0.5,pareto_dr_min
64,0.497,pareto_dr_min
64,0.49,pareto_dr_min
64,0.472,pareto_dr_min
64,0.482,pareto_dr_min
64,0.483,pareto_dr_min
64,0.49,pareto_dr_min
64,0.505,pareto_dr_min
64,0.475,pareto_dr_min
64,0.469,pareto_dr_min
64,0.484,pareto_dr_min
64,0.512,pareto_dr_min
64,0.493,pareto_dr_min
64,0.483,pareto_dr_min
64,0.477,pareto_dr_min
64,0.499,pareto_dr_min
64,0.524,pareto_dr_min
64,0.518,pareto_dr_min
64,0.523,pareto_dr_min
64,0.51,pareto_dr_min
64,0.484,pareto_dr_min
64,0.473,pareto_dr_min
64,0.443,pareto_dr_min
64,0.418,pareto_dr_min
64,0.41,pareto_dr_min
64,0.387,pareto_dr_min
