S.D.,Counts,seed,tournament_type
0.5,281,256,pareto_dr_min
0.6,261,256,pareto_dr_min
0.7,225,256,pareto_dr_min
0.8,226,256,pareto_dr_min
0.9,206,256,pareto_dr_min
1,190,256,pareto_dr_min
1.1,178,256,pareto_dr_min
1.2,176,256,pareto_dr_min
1.3,160,256,pareto_dr_min
1.4,126,256,pareto_dr_min
1.5,91,256,pareto_dr_min
1.6,76,256,pareto_dr_min
1.7,57,256,pareto_dr_min
1.8,54,256,pareto_dr_min
1.9,51,256,pareto_dr_min
2,47,256,pareto_dr_min
2.1,34,256,pareto_dr_min
2.2,28,256,pareto_dr_min
2.3,17,256,pareto_dr_min
2.4,11,256,pareto_dr_min
2.5,7,256,pareto_dr_min
2.6,4,256,pareto_dr_min
2.7,0,256,pareto_dr_min
2.8,0,256,pareto_dr_min
2.9,0,256,pareto_dr_min
3,0,256,pareto_dr_min
