seed,coop_ratio,tournament_type
512,0.728,pareto_m_max
512,0.602,pareto_m_max
512,0.581,pareto_m_max
512,0.55,pareto_m_max
512,0.52,pareto_m_max
512,0.516,pareto_m_max
512,0.526,pareto_m_max
512,0.544,pareto_m_max
512,0.554,pareto_m_max
512,0.514,pareto_m_max
512,0.493,pareto_m_max
512,0.501,pareto_m_max
512,0.496,pareto_m_max
512,0.521,pareto_m_max
512,0.538,pareto_m_max
512,0.572,pareto_m_max
512,0.598,pareto_m_max
512,0.625,pareto_m_max
512,0.635,pareto_m_max
512,0.642,pareto_m_max
512,0.672,pareto_m_max
512,0.676,pareto_m_max
512,0.681,pareto_m_max
512,0.695,pareto_m_max
512,0.687,pareto_m_max
512,0.669,pareto_m_max
512,0.664,pareto_m_max
512,0.672,pareto_m_max
512,0.663,pareto_m_max
512,0.66,pareto_m_max
512,0.673,pareto_m_max
512,0.691,pareto_m_max
512,0.682,pareto_m_max
512,0.671,pareto_m_max
512,0.68,pareto_m_max
512,0.677,pareto_m_max
512,0.647,pareto_m_max
512,0.641,pareto_m_max
512,0.644,pareto_m_max
512,0.644,pareto_m_max
512,0.616,pareto_m_max
512,0.593,pareto_m_max
512,0.583,pareto_m_max
512,0.595,pareto_m_max
512,0.606,pareto_m_max
512,0.614,pareto_m_max
512,0.633,pareto_m_max
512,0.65,pareto_m_max
512,0.65,pareto_m_max
512,0.653,pareto_m_max
512,0.673,pareto_m_max
512,0.681,pareto_m_max
512,0.691,pareto_m_max
512,0.699,pareto_m_max
512,0.713,pareto_m_max
512,0.707,pareto_m_max
512,0.698,pareto_m_max
512,0.698,pareto_m_max
512,0.696,pareto_m_max
512,0.694,pareto_m_max
512,0.689,pareto_m_max
512,0.672,pareto_m_max
512,0.649,pareto_m_max
512,0.647,pareto_m_max
512,0.652,pareto_m_max
512,0.66,pareto_m_max
512,0.673,pareto_m_max
512,0.684,pareto_m_max
512,0.696,pareto_m_max
512,0.689,pareto_m_max
512,0.69,pareto_m_max
512,0.678,pareto_m_max
512,0.669,pareto_m_max
512,0.66,pareto_m_max
512,0.648,pareto_m_max
512,0.635,pareto_m_max
512,0.621,pareto_m_max
512,0.618,pareto_m_max
512,0.63,pareto_m_max
512,0.611,pareto_m_max
512,0.594,pareto_m_max
512,0.586,pareto_m_max
512,0.538,pareto_m_max
512,0.515,pareto_m_max
512,0.527,pareto_m_max
512,0.525,pareto_m_max
512,0.505,pareto_m_max
512,0.511,pareto_m_max
512,0.504,pareto_m_max
512,0.467,pareto_m_max
512,0.462,pareto_m_max
512,0.448,pareto_m_max
512,0.475,pareto_m_max
512,0.491,pareto_m_max
512,0.484,pareto_m_max
512,0.481,pareto_m_max
512,0.447,pareto_m_max
512,0.423,pareto_m_max
512,0.407,pareto_m_max
512,0.391,pareto_m_max
512,0.383,pareto_m_max
512,0.396,pareto_m_max
512,0.435,pareto_m_max
512,0.461,pareto_m_max
512,0.485,pareto_m_max
512,0.511,pareto_m_max
512,0.525,pareto_m_max
512,0.527,pareto_m_max
512,0.539,pareto_m_max
512,0.55,pareto_m_max
512,0.565,pareto_m_max
512,0.57,pareto_m_max
512,0.577,pareto_m_max
512,0.578,pareto_m_max
512,0.591,pareto_m_max
512,0.604,pareto_m_max
512,0.633,pareto_m_max
512,0.633,pareto_m_max
512,0.634,pareto_m_max
