S.D.,Counts,seed,tournament_type
0.5,270,512,pareto_m_max
0.6,288,512,pareto_m_max
0.7,293,512,pareto_m_max
0.8,282,512,pareto_m_max
0.9,256,512,pareto_m_max
1,228,512,pareto_m_max
1.1,233,512,pareto_m_max
1.2,197,512,pareto_m_max
1.3,173,512,pareto_m_max
1.4,138,512,pareto_m_max
1.5,127,512,pareto_m_max
1.6,96,512,pareto_m_max
1.7,72,512,pareto_m_max
1.8,66,512,pareto_m_max
1.9,51,512,pareto_m_max
2,38,512,pareto_m_max
2.1,30,512,pareto_m_max
2.2,22,512,pareto_m_max
2.3,16,512,pareto_m_max
2.4,9,512,pareto_m_max
2.5,8,512,pareto_m_max
2.6,7,512,pareto_m_max
2.7,6,512,pareto_m_max
2.8,4,512,pareto_m_max
2.9,3,512,pareto_m_max
3,3,512,pareto_m_max
