seed,coop_ratio,tournament_type
2,0.727,pareto_m_min
2,0.613,pareto_m_min
2,0.593,pareto_m_min
2,0.584,pareto_m_min
2,0.553,pareto_m_min
2,0.545,pareto_m_min
2,0.539,pareto_m_min
2,0.531,pareto_m_min
2,0.529,pareto_m_min
2,0.51,pareto_m_min
2,0.516,pareto_m_min
2,0.538,pareto_m_min
2,0.555,pareto_m_min
2,0.553,pareto_m_min
2,0.543,pareto_m_min
2,0.535,pareto_m_min
2,0.513,pareto_m_min
2,0.507,pareto_m_min
2,0.53,pareto_m_min
2,0.542,pareto_m_min
2,0.54,pareto_m_min
2,0.561,pareto_m_min
2,0.588,pareto_m_min
2,0.569,pareto_m_min
2,0.566,pareto_m_min
2,0.542,pareto_m_min
2,0.535,pareto_m_min
2,0.52,pareto_m_min
2,0.502,pareto_m_min
2,0.495,pareto_m_min
2,0.496,pareto_m_min
2,0.512,pareto_m_min
2,0.51,pareto_m_min
2,0.496,pareto_m_min
2,0.504,pareto_m_min
2,0.522,pareto_m_min
2,0.516,pareto_m_min
2,0.515,pareto_m_min
2,0.551,pareto_m_min
2,0.585,pareto_m_min
2,0.543,pareto_m_min
2,0.524,pareto_m_min
2,0.524,pareto_m_min
2,0.495,pareto_m_min
2,0.484,pareto_m_min
2,0.493,pareto_m_min
2,0.487,pareto_m_min
2,0.499,pareto_m_min
2,0.531,pareto_m_min
2,0.578,pareto_m_min
2,0.573,pareto_m_min
2,0.563,pareto_m_min
2,0.586,pareto_m_min
2,0.601,pareto_m_min
2,0.594,pareto_m_min
2,0.583,pareto_m_min
2,0.59,pareto_m_min
2,0.584,pareto_m_min
2,0.586,pareto_m_min
2,0.604,pareto_m_min
2,0.62,pareto_m_min
2,0.613,pareto_m_min
2,0.609,pareto_m_min
2,0.609,pareto_m_min
2,0.613,pareto_m_min
2,0.621,pareto_m_min
2,0.634,pareto_m_min
2,0.624,pareto_m_min
2,0.615,pareto_m_min
2,0.589,pareto_m_min
2,0.58,pareto_m_min
2,0.57,pareto_m_min
2,0.551,pareto_m_min
2,0.541,pareto_m_min
2,0.528,pareto_m_min
2,0.511,pareto_m_min
2,0.512,pareto_m_min
2,0.509,pareto_m_min
2,0.536,pareto_m_min
2,0.544,pareto_m_min
2,0.538,pareto_m_min
2,0.513,pareto_m_min
2,0.519,pareto_m_min
2,0.535,pareto_m_min
2,0.548,pareto_m_min
2,0.554,pareto_m_min
2,0.533,pareto_m_min
2,0.535,pareto_m_min
2,0.514,pareto_m_min
2,0.516,pareto_m_min
2,0.517,pareto_m_min
2,0.532,pareto_m_min
2,0.505,pareto_m_min
2,0.482,pareto_m_min
2,0.51,pareto_m_min
2,0.494,pareto_m_min
2,0.479,pareto_m_min
2,0.468,pareto_m_min
2,0.467,pareto_m_min
2,0.468,pareto_m_min
2,0.508,pareto_m_min
2,0.513,pareto_m_min
2,0.511,pareto_m_min
2,0.52,pareto_m_min
2,0.526,pareto_m_min
2,0.527,pareto_m_min
2,0.513,pareto_m_min
2,0.503,pareto_m_min
2,0.512,pareto_m_min
2,0.513,pareto_m_min
2,0.505,pareto_m_min
2,0.495,pareto_m_min
2,0.521,pareto_m_min
2,0.499,pareto_m_min
2,0.462,pareto_m_min
2,0.45,pareto_m_min
2,0.446,pareto_m_min
2,0.453,pareto_m_min
2,0.447,pareto_m_min
2,0.462,pareto_m_min
2,0.463,pareto_m_min
2,0.455,pareto_m_min
2,0.462,pareto_m_min
2,0.454,pareto_m_min
2,0.47,pareto_m_min
2,0.491,pareto_m_min
2,0.456,pareto_m_min
2,0.468,pareto_m_min
2,0.491,pareto_m_min
2,0.492,pareto_m_min
2,0.52,pareto_m_min
2,0.489,pareto_m_min
2,0.495,pareto_m_min
2,0.483,pareto_m_min
2,0.48,pareto_m_min
2,0.486,pareto_m_min
2,0.5,pareto_m_min
2,0.491,pareto_m_min
2,0.5,pareto_m_min
2,0.492,pareto_m_min
2,0.494,pareto_m_min
2,0.505,pareto_m_min
2,0.535,pareto_m_min
2,0.544,pareto_m_min
2,0.573,pareto_m_min
2,0.579,pareto_m_min
2,0.577,pareto_m_min
2,0.609,pareto_m_min
2,0.626,pareto_m_min
2,0.625,pareto_m_min
2,0.636,pareto_m_min
2,0.596,pareto_m_min
2,0.573,pareto_m_min
2,0.552,pareto_m_min
2,0.537,pareto_m_min
2,0.519,pareto_m_min
2,0.532,pareto_m_min
2,0.547,pareto_m_min
2,0.539,pareto_m_min
2,0.521,pareto_m_min
2,0.496,pareto_m_min
2,0.489,pareto_m_min
2,0.502,pareto_m_min
2,0.516,pareto_m_min
2,0.508,pareto_m_min
2,0.515,pareto_m_min
2,0.544,pareto_m_min
2,0.546,pareto_m_min
2,0.575,pareto_m_min
2,0.595,pareto_m_min
2,0.604,pareto_m_min
2,0.593,pareto_m_min
2,0.594,pareto_m_min
2,0.592,pareto_m_min
2,0.565,pareto_m_min
2,0.553,pareto_m_min
2,0.55,pareto_m_min
2,0.552,pareto_m_min
2,0.542,pareto_m_min
2,0.513,pareto_m_min
2,0.503,pareto_m_min
2,0.516,pareto_m_min
2,0.525,pareto_m_min
2,0.509,pareto_m_min
2,0.472,pareto_m_min
2,0.441,pareto_m_min
2,0.439,pareto_m_min
2,0.436,pareto_m_min
2,0.452,pareto_m_min
2,0.462,pareto_m_min
2,0.456,pareto_m_min
2,0.445,pareto_m_min
2,0.445,pareto_m_min
2,0.438,pareto_m_min
2,0.436,pareto_m_min
2,0.437,pareto_m_min
2,0.445,pareto_m_min
2,0.412,pareto_m_min
2,0.392,pareto_m_min
2,0.381,pareto_m_min
2,0.373,pareto_m_min
2,0.372,pareto_m_min
