S.D.,Counts,seed,tournament_type
0.5,279,4,pareto_m_min
0.6,292,4,pareto_m_min
0.7,263,4,pareto_m_min
0.8,236,4,pareto_m_min
0.9,242,4,pareto_m_min
1,228,4,pareto_m_min
1.1,190,4,pareto_m_min
1.2,151,4,pareto_m_min
1.3,145,4,pareto_m_min
1.4,120,4,pareto_m_min
1.5,112,4,pareto_m_min
1.6,85,4,pareto_m_min
1.7,85,4,pareto_m_min
1.8,70,4,pareto_m_min
1.9,43,4,pareto_m_min
2,38,4,pareto_m_min
2.1,25,4,pareto_m_min
2.2,19,4,pareto_m_min
2.3,13,4,pareto_m_min
2.4,13,4,pareto_m_min
2.5,6,4,pareto_m_min
2.6,3,4,pareto_m_min
2.7,1,4,pareto_m_min
2.8,0,4,pareto_m_min
2.9,0,4,pareto_m_min
3,0,4,pareto_m_min
