seed,coop_ratio,tournament_type
16,0.728,pareto_mdr_max
16,0.613,pareto_mdr_max
16,0.624,pareto_mdr_max
16,0.614,pareto_mdr_max
16,0.617,pareto_mdr_max
16,0.6,pareto_mdr_max
16,0.594,pareto_mdr_max
16,0.616,pareto_mdr_max
16,0.613,pareto_mdr_max
16,0.621,pareto_mdr_max
16,0.661,pareto_mdr_max
16,0.665,pareto_mdr_max
16,0.66,pareto_mdr_max
16,0.666,pareto_mdr_max
16,0.697,pareto_mdr_max
16,0.704,pareto_mdr_max
16,0.708,pareto_mdr_max
16,0.706,pareto_mdr_max
16,0.704,pareto_mdr_max
16,0.695,pareto_mdr_max
16,0.701,pareto_mdr_max
16,0.698,pareto_mdr_max
16,0.714,pareto_mdr_max
16,0.713,pareto_mdr_max
16,0.727,pareto_mdr_max
16,0.743,pareto_mdr_max
16,0.745,pareto_mdr_max
16,0.768,pareto_mdr_max
16,0.78,pareto_mdr_max
16,0.769,pareto_mdr_max
16,0.785,pareto_mdr_max
16,0.792,pareto_mdr_max
16,0.788,pareto_mdr_max
16,0.78,pareto_mdr_max
16,0.789,pareto_mdr_max
16,0.792,pareto_mdr_max
16,0.799,pareto_mdr_max
16,0.799,pareto_mdr_max
16,0.788,pareto_mdr_max
16,0.81,pareto_mdr_max
16,0.815,pareto_mdr_max
16,0.823,pareto_mdr_max
16,0.826,pareto_mdr_max
16,0.826,pareto_mdr_max
16,0.847,pareto_mdr_max
16,0.855,pareto_mdr_max
16,0.859,pareto_mdr_max
16,0.853,pareto_mdr_max
16,0.823,pareto_mdr_max
16,0.831,pareto_mdr_max
16,0.836,pareto_mdr_max
16,0.85,pareto_mdr_max
16,0.849,pareto_mdr_max
16,0.863,pareto_mdr_max
16,0.867,pareto_mdr_max
16,0.865,pareto_mdr_max
16,0.855,pareto_mdr_max
16,0.848,pareto_mdr_max
16,0.845,pareto_mdr_max
16,0.851,pareto_mdr_max
16,0.843,pareto_mdr_max
16,0.838,pareto_mdr_max
16,0.847,pareto_mdr_max
16,0.839,pareto_mdr_max
16,0.827,pareto_mdr_max
16,0.821,pareto_mdr_max
16,0.804,pareto_mdr_max
16,0.782,pareto_mdr_max
16,0.766,pareto_mdr_max
16,0.741,pareto_mdr_max
16,0.741,pareto_mdr_max
16,0.714,pareto_mdr_max
16,0.679,pareto_mdr_max
16,0.679,pareto_mdr_max
16,0.674,pareto_mdr_max
16,0.691,pareto_mdr_max
16,0.704,pareto_mdr_max
16,0.687,pareto_mdr_max
16,0.683,pareto_mdr_max
16,0.676,pareto_mdr_max
16,0.66,pareto_mdr_max
16,0.663,pareto_mdr_max
16,0.683,pareto_mdr_max
16,0.693,pareto_mdr_max
16,0.698,pareto_mdr_max
16,0.696,pareto_mdr_max
16,0.682,pareto_mdr_max
16,0.672,pareto_mdr_max
16,0.7,pareto_mdr_max
16,0.688,pareto_mdr_max
16,0.725,pareto_mdr_max
16,0.702,pareto_mdr_max
16,0.698,pareto_mdr_max
16,0.691,pareto_mdr_max
16,0.693,pareto_mdr_max
16,0.712,pareto_mdr_max
16,0.699,pareto_mdr_max
