S.D.,Counts,seed,tournament_type
0.5,259,256,pareto_mdr_max
0.6,257,256,pareto_mdr_max
0.7,220,256,pareto_mdr_max
0.8,219,256,pareto_mdr_max
0.9,210,256,pareto_mdr_max
1,192,256,pareto_mdr_max
1.1,191,256,pareto_mdr_max
1.2,169,256,pareto_mdr_max
1.3,159,256,pareto_mdr_max
1.4,141,256,pareto_mdr_max
1.5,110,256,pareto_mdr_max
1.6,96,256,pareto_mdr_max
1.7,92,256,pareto_mdr_max
1.8,81,256,pareto_mdr_max
1.9,57,256,pareto_mdr_max
2,41,256,pareto_mdr_max
2.1,19,256,pareto_mdr_max
2.2,12,256,pareto_mdr_max
2.3,7,256,pareto_mdr_max
2.4,4,256,pareto_mdr_max
2.5,3,256,pareto_mdr_max
2.6,5,256,pareto_mdr_max
2.7,2,256,pareto_mdr_max
2.8,1,256,pareto_mdr_max
2.9,0,256,pareto_mdr_max
3,0,256,pareto_mdr_max
