seed,coop_ratio,tournament_type
1024,0.7,pareto_mdr_min
1024,0.597,pareto_mdr_min
1024,0.575,pareto_mdr_min
1024,0.527,pareto_mdr_min
1024,0.545,pareto_mdr_min
1024,0.542,pareto_mdr_min
1024,0.536,pareto_mdr_min
1024,0.555,pareto_mdr_min
1024,0.575,pareto_mdr_min
1024,0.61,pareto_mdr_min
1024,0.645,pareto_mdr_min
1024,0.658,pareto_mdr_min
1024,0.661,pareto_mdr_min
1024,0.66,pareto_mdr_min
1024,0.656,pareto_mdr_min
1024,0.645,pareto_mdr_min
1024,0.657,pareto_mdr_min
1024,0.668,pareto_mdr_min
1024,0.671,pareto_mdr_min
1024,0.671,pareto_mdr_min
1024,0.669,pareto_mdr_min
1024,0.658,pareto_mdr_min
1024,0.669,pareto_mdr_min
1024,0.663,pareto_mdr_min
1024,0.667,pareto_mdr_min
1024,0.668,pareto_mdr_min
1024,0.669,pareto_mdr_min
1024,0.676,pareto_mdr_min
1024,0.694,pareto_mdr_min
1024,0.718,pareto_mdr_min
1024,0.702,pareto_mdr_min
1024,0.687,pareto_mdr_min
1024,0.684,pareto_mdr_min
1024,0.662,pareto_mdr_min
1024,0.649,pareto_mdr_min
1024,0.678,pareto_mdr_min
1024,0.691,pareto_mdr_min
1024,0.691,pareto_mdr_min
1024,0.679,pareto_mdr_min
1024,0.624,pareto_mdr_min
1024,0.596,pareto_mdr_min
1024,0.602,pareto_mdr_min
1024,0.6,pareto_mdr_min
1024,0.592,pareto_mdr_min
1024,0.582,pareto_mdr_min
1024,0.546,pareto_mdr_min
1024,0.533,pareto_mdr_min
1024,0.518,pareto_mdr_min
1024,0.513,pareto_mdr_min
1024,0.531,pareto_mdr_min
1024,0.56,pareto_mdr_min
1024,0.561,pareto_mdr_min
1024,0.571,pareto_mdr_min
1024,0.594,pareto_mdr_min
1024,0.608,pareto_mdr_min
1024,0.633,pareto_mdr_min
1024,0.651,pareto_mdr_min
1024,0.648,pareto_mdr_min
1024,0.633,pareto_mdr_min
1024,0.632,pareto_mdr_min
1024,0.619,pareto_mdr_min
1024,0.621,pareto_mdr_min
1024,0.649,pareto_mdr_min
1024,0.65,pareto_mdr_min
1024,0.644,pareto_mdr_min
1024,0.632,pareto_mdr_min
1024,0.634,pareto_mdr_min
1024,0.611,pareto_mdr_min
1024,0.599,pareto_mdr_min
1024,0.614,pareto_mdr_min
1024,0.648,pareto_mdr_min
1024,0.672,pareto_mdr_min
1024,0.694,pareto_mdr_min
1024,0.712,pareto_mdr_min
1024,0.723,pareto_mdr_min
1024,0.707,pareto_mdr_min
1024,0.703,pareto_mdr_min
1024,0.694,pareto_mdr_min
1024,0.692,pareto_mdr_min
1024,0.674,pareto_mdr_min
1024,0.672,pareto_mdr_min
1024,0.707,pareto_mdr_min
1024,0.735,pareto_mdr_min
1024,0.753,pareto_mdr_min
1024,0.775,pareto_mdr_min
1024,0.787,pareto_mdr_min
1024,0.801,pareto_mdr_min
1024,0.807,pareto_mdr_min
1024,0.812,pareto_mdr_min
1024,0.817,pareto_mdr_min
1024,0.829,pareto_mdr_min
1024,0.822,pareto_mdr_min
1024,0.82,pareto_mdr_min
1024,0.801,pareto_mdr_min
1024,0.781,pareto_mdr_min
1024,0.767,pareto_mdr_min
1024,0.772,pareto_mdr_min
1024,0.775,pareto_mdr_min
1024,0.773,pareto_mdr_min
1024,0.802,pareto_mdr_min
1024,0.797,pareto_mdr_min
1024,0.814,pareto_mdr_min
1024,0.829,pareto_mdr_min
1024,0.823,pareto_mdr_min
1024,0.826,pareto_mdr_min
1024,0.824,pareto_mdr_min
1024,0.834,pareto_mdr_min
1024,0.829,pareto_mdr_min
1024,0.838,pareto_mdr_min
1024,0.864,pareto_mdr_min
1024,0.882,pareto_mdr_min
1024,0.902,pareto_mdr_min
1024,0.904,pareto_mdr_min
1024,0.91,pareto_mdr_min
1024,0.909,pareto_mdr_min
1024,0.917,pareto_mdr_min
1024,0.924,pareto_mdr_min
1024,0.924,pareto_mdr_min
1024,0.928,pareto_mdr_min
1024,0.925,pareto_mdr_min
1024,0.918,pareto_mdr_min
1024,0.915,pareto_mdr_min
