S.D.,Counts,seed,tournament_type
0.5,254,512,pareto_mdr_min
0.6,242,512,pareto_mdr_min
0.7,234,512,pareto_mdr_min
0.8,200,512,pareto_mdr_min
0.9,186,512,pareto_mdr_min
1,164,512,pareto_mdr_min
1.1,157,512,pareto_mdr_min
1.2,137,512,pareto_mdr_min
1.3,117,512,pareto_mdr_min
1.4,103,512,pareto_mdr_min
1.5,98,512,pareto_mdr_min
1.6,87,512,pareto_mdr_min
1.7,69,512,pareto_mdr_min
1.8,50,512,pareto_mdr_min
1.9,50,512,pareto_mdr_min
2,29,512,pareto_mdr_min
2.1,23,512,pareto_mdr_min
2.2,13,512,pareto_mdr_min
2.3,11,512,pareto_mdr_min
2.4,5,512,pareto_mdr_min
2.5,4,512,pareto_mdr_min
2.6,2,512,pareto_mdr_min
2.7,6,512,pareto_mdr_min
2.8,0,512,pareto_mdr_min
2.9,0,512,pareto_mdr_min
3,0,512,pareto_mdr_min
