S.D.,Counts,seed,tournament_type
0.5,248,1024,norm_dr_sd_max
0.6,234,1024,norm_dr_sd_max
0.7,235,1024,norm_dr_sd_max
0.8,219,1024,norm_dr_sd_max
0.9,205,1024,norm_dr_sd_max
1,204,1024,norm_dr_sd_max
1.1,198,1024,norm_dr_sd_max
1.2,165,1024,norm_dr_sd_max
1.3,139,1024,norm_dr_sd_max
1.4,121,1024,norm_dr_sd_max
1.5,115,1024,norm_dr_sd_max
1.6,96,1024,norm_dr_sd_max
1.7,82,1024,norm_dr_sd_max
1.8,69,1024,norm_dr_sd_max
1.9,52,1024,norm_dr_sd_max
2,27,1024,norm_dr_sd_max
2.1,22,1024,norm_dr_sd_max
2.2,21,1024,norm_dr_sd_max
2.3,13,1024,norm_dr_sd_max
2.4,8,1024,norm_dr_sd_max
2.5,5,1024,norm_dr_sd_max
2.6,3,1024,norm_dr_sd_max
2.7,1,1024,norm_dr_sd_max
2.8,1,1024,norm_dr_sd_max
2.9,1,1024,norm_dr_sd_max
3,0,1024,norm_dr_sd_max
0.5,264,128,norm_dr_sd_max
0.6,236,128,norm_dr_sd_max
0.7,240,128,norm_dr_sd_max
0.8,224,128,norm_dr_sd_max
0.9,194,128,norm_dr_sd_max
1,170,128,norm_dr_sd_max
1.1,167,128,norm_dr_sd_max
1.2,169,128,norm_dr_sd_max
1.3,148,128,norm_dr_sd_max
1.4,102,128,norm_dr_sd_max
1.5,90,128,norm_dr_sd_max
1.6,82,128,norm_dr_sd_max
1.7,81,128,norm_dr_sd_max
1.8,67,128,norm_dr_sd_max
1.9,56,128,norm_dr_sd_max
2,37,128,norm_dr_sd_max
2.1,25,128,norm_dr_sd_max
2.2,19,128,norm_dr_sd_max
2.3,14,128,norm_dr_sd_max
2.4,10,128,norm_dr_sd_max
2.5,4,128,norm_dr_sd_max
2.6,3,128,norm_dr_sd_max
2.7,2,128,norm_dr_sd_max
2.8,0,128,norm_dr_sd_max
2.9,0,128,norm_dr_sd_max
3,0,128,norm_dr_sd_max
0.5,258,16,norm_dr_sd_max
0.6,256,16,norm_dr_sd_max
0.7,236,16,norm_dr_sd_max
0.8,212,16,norm_dr_sd_max
0.9,198,16,norm_dr_sd_max
1,184,16,norm_dr_sd_max
1.1,181,16,norm_dr_sd_max
1.2,171,16,norm_dr_sd_max
1.3,132,16,norm_dr_sd_max
1.4,126,16,norm_dr_sd_max
1.5,106,16,norm_dr_sd_max
1.6,82,16,norm_dr_sd_max
1.7,68,16,norm_dr_sd_max
1.8,68,16,norm_dr_sd_max
1.9,44,16,norm_dr_sd_max
2,27,16,norm_dr_sd_max
2.1,29,16,norm_dr_sd_max
2.2,15,16,norm_dr_sd_max
2.3,13,16,norm_dr_sd_max
2.4,7,16,norm_dr_sd_max
2.5,5,16,norm_dr_sd_max
2.6,4,16,norm_dr_sd_max
2.7,1,16,norm_dr_sd_max
2.8,2,16,norm_dr_sd_max
2.9,1,16,norm_dr_sd_max
3,0,16,norm_dr_sd_max
0.5,223,256,norm_dr_sd_max
0.6,222,256,norm_dr_sd_max
0.7,215,256,norm_dr_sd_max
0.8,197,256,norm_dr_sd_max
0.9,175,256,norm_dr_sd_max
1,176,256,norm_dr_sd_max
1.1,162,256,norm_dr_sd_max
1.2,160,256,norm_dr_sd_max
1.3,148,256,norm_dr_sd_max
1.4,116,256,norm_dr_sd_max
1.5,108,256,norm_dr_sd_max
1.6,83,256,norm_dr_sd_max
1.7,67,256,norm_dr_sd_max
1.8,53,256,norm_dr_sd_max
1.9,46,256,norm_dr_sd_max
2,37,256,norm_dr_sd_max
2.1,27,256,norm_dr_sd_max
2.2,14,256,norm_dr_sd_max
2.3,12,256,norm_dr_sd_max
2.4,7,256,norm_dr_sd_max
2.5,8,256,norm_dr_sd_max
2.6,4,256,norm_dr_sd_max
2.7,0,256,norm_dr_sd_max
2.8,0,256,norm_dr_sd_max
2.9,0,256,norm_dr_sd_max
3,0,256,norm_dr_sd_max
0.5,302,2,norm_dr_sd_max
0.6,270,2,norm_dr_sd_max
0.7,220,2,norm_dr_sd_max
0.8,196,2,norm_dr_sd_max
0.9,205,2,norm_dr_sd_max
1,194,2,norm_dr_sd_max
1.1,194,2,norm_dr_sd_max
1.2,185,2,norm_dr_sd_max
1.3,160,2,norm_dr_sd_max
1.4,133,2,norm_dr_sd_max
1.5,121,2,norm_dr_sd_max
1.6,89,2,norm_dr_sd_max
1.7,80,2,norm_dr_sd_max
1.8,56,2,norm_dr_sd_max
1.9,41,2,norm_dr_sd_max
2,21,2,norm_dr_sd_max
2.1,19,2,norm_dr_sd_max
2.2,18,2,norm_dr_sd_max
2.3,13,2,norm_dr_sd_max
2.4,10,2,norm_dr_sd_max
2.5,7,2,norm_dr_sd_max
2.6,6,2,norm_dr_sd_max
2.7,5,2,norm_dr_sd_max
2.8,4,2,norm_dr_sd_max
2.9,4,2,norm_dr_sd_max
3,2,2,norm_dr_sd_max
0.5,278,32,norm_dr_sd_max
0.6,268,32,norm_dr_sd_max
0.7,243,32,norm_dr_sd_max
0.8,234,32,norm_dr_sd_max
0.9,207,32,norm_dr_sd_max
1,191,32,norm_dr_sd_max
1.1,178,32,norm_dr_sd_max
1.2,140,32,norm_dr_sd_max
1.3,130,32,norm_dr_sd_max
1.4,106,32,norm_dr_sd_max
1.5,99,32,norm_dr_sd_max
1.6,116,32,norm_dr_sd_max
1.7,91,32,norm_dr_sd_max
1.8,81,32,norm_dr_sd_max
1.9,58,32,norm_dr_sd_max
2,37,32,norm_dr_sd_max
2.1,24,32,norm_dr_sd_max
2.2,18,32,norm_dr_sd_max
