,defect,tit_for_tat,generous_tit_for_tat,cooperate
0,26,19,25,30
1,26,19,25,30
2,26,18,25,31
3,26,19,24,31
4,25,19,24,32
5,25,19,24,32
6,25,20,23,32
7,24,21,23,32
8,24,21,24,31
9,24,21,24,31
10,23,22,24,31
11,23,22,25,30
12,23,22,24,31
13,24,22,24,30
14,24,23,23,30
15,24,23,23,30
16,24,24,22,30
17,23,24,22,31
18,23,24,22,31
19,23,24,22,31
20,23,25,21,31
21,23,25,21,31
22,24,25,20,31
23,23,26,20,31
24,23,26,21,30
25,23,25,22,30
26,24,25,22,29
27,24,26,21,29
28,24,26,20,30
29,24,25,20,31
30,24,26,19,31
31,23,26,20,31
32,24,26,20,30
33,24,26,20,30
34,24,26,20,30
35,25,26,19,30
36,24,26,19,31
37,24,26,19,31
38,25,26,19,30
39,26,26,19,29
40,25,26,20,29
41,25,26,20,29
42,25,26,19,30
43,26,26,19,29
44,26,26,20,28
45,26,26,20,28
46,26,26,19,29
47,27,26,19,28
48,27,26,20,27
49,27,25,20,28
50,26,25,21,28
51,26,25,21,28
52,27,24,21,28
53,27,23,21,29
54,27,23,21,29
55,28,23,21,28
56,28,23,21,28
57,27,23,21,29
58,26,24,21,29
59,25,24,21,30
60,25,24,21,30
61,25,24,21,30
62,26,24,21,29
63,26,23,22,29
64,26,24,22,28
65,27,24,22,27
66,27,23,23,27
67,27,22,23,28
68,28,22,22,28
69,28,22,23,27
70,28,22,23,27
71,28,22,24,26
72,28,22,23,27
73,28,23,23,26
74,28,24,23,25
75,29,24,23,24
76,29,23,23,25
77,29,24,23,24
78,28,24,24,24
79,27,25,24,24
80,27,25,25,23
81,27,25,24,24
82,27,25,23,25
83,26,25,24,25
84,26,25,23,26
85,26,26,23,25
86,26,27,23,24
87,26,26,23,25
88,26,27,23,24
89,25,27,24,24
90,24,28,24,24
91,24,28,24,24
92,24,27,25,24
93,25,26,25,24
94,25,26,25,24
95,25,26,25,24
96,24,26,26,24
97,25,25,26,24
98,26,25,26,23
99,26,25,26,23
100,26,24,26,24
101,26,23,26,25
102,26,23,26,25
103,26,22,27,25
104,25,22,28,25
105,25,22,29,24
106,24,23,29,24
107,24,22,30,24
108,25,22,30,23
109,24,23,30,23
110,24,23,30,23
111,24,24,30,22
112,24,24,29,23
113,25,24,28,23
114,25,24,28,23
115,25,24,28,23
116,26,23,28,23
117,26,24,28,22
118,27,24,27,22
119,28,24,26,22
120,27,25,26,22
121,27,25,26,22
122,27,25,27,21
123,26,26,27,21
124,27,25,27,21
125,26,25,27,22
126,26,25,27,22
127,25,26,27,22
128,25,27,26,22
129,25,27,25,23
130,24,28,25,23
131,25,27,25,23
132,25,27,25,23
133,24,27,26,23
134,24,28,26,22
135,23,29,26,22
136,23,29,27,21
137,23,28,27,22
138,24,27,27,22
139,24,28,26,22
140,25,27,26,22
141,26,27,25,22
142,27,27,25,21
143,28,26,25,21
144,28,27,25,20
145,28,27,25,20
146,27,27,25,21
147,27,26,26,21
148,27,26,26,21
149,28,26,25,21
150,28,25,26,21
151,29,25,25,21
152,30,25,25,20
153,30,25,25,20
154,30,25,25,20
155,30,26,24,20
156,31,26,24,19
157,31,26,25,18
158,31,26,25,18
159,32,26,24,18
160,32,25,24,19
161,32,26,23,19
162,33,26,22,19
163,33,26,22,19
164,33,26,21,20
165,34,26,21,19
166,33,26,21,20
167,33,27,21,19
168,33,27,20,20
169,33,28,19,20
170,32,29,19,20
171,32,29,19,20
172,32,29,19,20
173,33,29,18,20
174,33,29,18,20
175,33,29,17,21
176,32,29,17,22
177,31,29,17,23
178,30,29,17,24
179,31,29,17,23
180,31,30,17,22
181,31,31,17,21
182,31,31,16,22
183,31,31,16,22
184,30,31,16,23
185,30,31,16,23
186,31,31,16,22
187,30,32,16,22
188,30,32,16,22
189,30,32,16,22
190,30,32,17,21
191,30,31,17,22
192,30,31,17,22
193,30,31,17,22
194,31,31,17,21
195,31,31,16,22
196,31,32,16,21
197,30,33,16,21
198,31,32,16,21
199,31,32,16,21
200,30,32,16,22
201,29,32,16,23
202,29,32,15,24
203,29,33,15,23
204,29,33,15,23
205,29,33,15,23
206,29,32,16,23
207,29,32,16,23
208,28,33,16,23
209,28,32,16,24
210,27,33,16,24
211,27,32,16,25
212,26,32,16,26
213,26,33,15,26
214,27,33,15,25
215,26,34,15,25
216,26,34,15,25
217,27,33,15,25
218,27,32,16,25
219,27,33,16,24
220,27,32,17,24
221,28,31,17,24
222,28,31,17,24
223,29,30,17,24
224,28,30,17,25
225,29,29,17,25
226,29,29,16,26
227,30,29,16,25
228,30,28,17,25
229,30,28,17,25
230,31,28,16,25
231,31,28,16,25
232,30,28,16,26
233,30,28,16,26
234,31,28,15,26
235,31,29,14,26
236,31,30,14,25
237,30,30,15,25
238,30,31,15,24
239,30,30,15,25
240,31,30,14,25
241,31,30,14,25
242,31,29,14,26
243,30,29,14,27
244,30,30,14,26
245,30,30,14,26
246,30,30,15,25
247,30,30,16,24
248,30,30,16,24
249,30,30,17,23
250,30,29,18,23
251,31,29,18,22
252,30,29,18,23
253,30,30,17,23
254,30,29,18,23
255,30,29,18,23
256,30,28,19,23
257,31,28,19,22
258,31,28,19,22
259,31,29,19,21
260,32,28,19,21
261,33,27,19,21
262,33,26,19,22
263,34,25,19,22
264,34,26,19,21
265,34,25,20,21
266,34,24,20,22
267,34,24,20,22
268,34,24,20,22
269,34,25,20,21
270,33,25,20,22
271,33,26,19,22
272,33,27,19,21
273,32,28,19,21
274,32,28,20,20
275,32,28,20,20
276,32,28,20,20
277,31,29,20,20
278,31,28,21,20
279,31,28,20,21
280,32,28,19,21
281,31,29,19,21
282,30,30,19,21
283,29,31,19,21
284,29,31,20,20
285,29,31,21,19
286,29,32,20,19
287,29,33,20,18
288,29,34,19,18
289,28,34,20,18
290,27,35,20,18
291,27,35,20,18
292,27,35,20,18
293,26,36,20,18
294,27,35,20,18
295,27,36,19,18
296,27,36,19,18
297,28,36,18,18
298,27,36,19,18
299,27,37,18,18
300,28,37,18,17
301,29,37,18,16
302,28,38,18,16
303,29,37,18,16
304,29,36,19,16
