,m,d,r,w,R,S,T,P
0,5,0.4,0.3,0,514953,146258,109413,219376
1,5,0.4,0.3,0,455329,139789,155408,239474
2,5,0.4,0.3,0,509257,150972,104075,225696
3,5,0.4,0.3,0,516601,139916,111101,222382
4,5,0.4,0.3,0,443437,137060,149905,259598
5,5,0.4,0.3,0,432332,118860,152943,285865
6,5,0.4,0.3,0,493493,131235,119819,245453
7,5,0.4,0.3,0,452363,119806,151910,265921
8,5,0.4,0.3,0,462639,119416,142288,265657
9,5,0.4,0.3,0,571931,180914,77064,160091
10,5,0.4,0.3,0,375077,95638,187645,331640
11,5,0.4,0.3,0,446573,138309,154255,250863
12,5,0.4,0.3,0,443370,113573,151749,281308
13,5,0.4,0.3,0,471331,119436,136066,263167
14,5,0.4,0.3,0,471768,137784,131616,248832
15,5,0.4,0.3,0,467625,133111,137788,251476
16,5,0.4,0.3,0,501007,137588,117673,233732
17,5,0.4,0.3,0,473314,134483,127857,254346
18,5,0.4,0.3,0,421583,120451,175859,272107
19,5,0.4,0.3,0,437499,101898,152691,297912
20,5,0.4,0.3,0,471134,125363,134216,259287
21,5,0.4,0.3,0,447065,127376,164770,250789
22,5,0.4,0.3,0,514476,139889,119491,216144
23,5,0.4,0.3,0,515052,146420,113839,214689
24,5,0.4,0.3,0,446566,115200,149951,278283
25,5,0.4,0.3,0,487715,138696,124884,238705
26,5,0.4,0.3,0,485363,126190,121720,256727
27,5,0.4,0.3,0,489650,124667,118434,257249
28,5,0.4,0.3,0,448603,137721,150588,253088
29,5,0.4,0.3,0,471720,122189,130709,265382
30,5,0.4,0.3,0,466989,131267,141844,249900
31,5,0.4,0.3,0,501571,150145,118236,220048
32,5,0.4,0.3,0,407718,114484,167972,299826
33,5,0.4,0.3,0,488831,122243,125919,253007
34,5,0.4,0.3,0,480232,134138,130448,245182
35,5,0.4,0.3,0,554238,155486,88215,192061
36,5,0.4,0.3,0,479870,117764,127534,264832
37,5,0.4,0.3,0,477126,117218,131105,264551
38,5,0.4,0.3,0,488688,126785,132407,242120
39,5,0.4,0.3,0,456542,129766,151692,252000
40,5,0.4,0.3,0,449398,121363,153198,266041
41,5,0.4,0.3,0,467587,136994,129480,255939
42,5,0.4,0.3,0,475815,124974,128215,260996
43,5,0.4,0.3,0,510684,142248,111029,226039
44,5,0.4,0.3,0,472346,158627,122957,236070
45,5,0.4,0.3,0,489991,149175,119111,231723
46,5,0.4,0.3,0,491757,119178,124772,254293
47,5,0.4,0.3,0,537928,153921,91397,206754
48,5,0.4,0.3,0,480005,125535,134181,250279
49,5,0.4,0.3,0,464832,124392,139047,261729
50,5,0.4,0.3,0,472511,128368,151856,237265
51,5,0.4,0.3,0,490965,135615,130218,233202
52,5,0.4,0.3,0,490650,120621,121068,257661
53,5,0.4,0.3,0,406164,121303,184186,278347
54,5,0.4,0.3,0,435966,103353,152736,297945
55,5,0.4,0.3,0,509425,139070,115207,226298
56,5,0.4,0.3,0,500272,145983,115612,228133
57,5,0.4,0.3,0,455401,117229,146694,270676
58,5,0.4,0.3,0,494910,131778,120251,243061
59,5,0.4,0.3,0,482206,111935,127684,268175
60,5,0.4,0.3,0,508996,133870,116729,230405
61,5,0.4,0.3,0,481586,135457,127769,245188
62,5,0.4,0.3,0,431702,125038,151321,281939
63,5,0.4,0.3,0,517641,151525,101354,219480
64,5,0.4,0.3,0,451949,117635,139870,280546
65,5,0.4,0.3,0,480569,110193,131285,267953
66,5,0.4,0.3,0,436524,122502,154070,276904
67,5,0.4,0.3,0,461482,127065,152594,248859
68,5,0.4,0.3,0,461502,125553,134686,268259
69,5,0.4,0.3,0,444563,124022,140965,280450
70,5,0.4,0.3,0,511178,146476,110106,222240
71,5,0.4,0.3,0,511378,136614,108139,233869
72,5,0.4,0.3,0,509585,125142,115922,239351
73,5,0.4,0.3,0,487015,124360,118930,259695
74,5,0.4,0.3,0,486999,133274,123667,246060
75,5,0.4,0.3,0,495760,124609,114806,254825
76,5,0.4,0.3,0,434207,113763,158155,283875
77,5,0.4,0.3,0,483438,124441,128018,254103
78,5,0.4,0.3,0,442048,116305,164290,267357
79,5,0.4,0.3,0,431576,109437,148836,300151
80,5,0.4,0.3,0,536705,167262,92001,194032
81,5,0.4,0.3,0,511734,147725,116654,213887
82,5,0.4,0.3,0,512701,142464,116400,218435
83,5,0.4,0.3,0,515682,131292,111595,231431
84,5,0.4,0.3,0,436937,122582,147507,282974
85,5,0.4,0.3,0,513925,127068,113238,235769
86,5,0.4,0.3,0,463546,113719,134097,278638
87,5,0.4,0.3,0,505246,159566,117463,207725
88,5,0.4,0.3,0,543949,152216,95458,198377
89,5,0.4,0.3,0,491437,139234,120557,238772
90,5,0.4,0.3,0,509528,133644,110774,236054
91,5,0.4,0.3,0,528960,152369,108296,200375
92,5,0.4,0.3,0,551469,161237,91497,185797
93,5,0.4,0.3,0,534804,140191,100706,214299
94,5,0.4,0.3,0,496687,136798,110753,245762
95,5,0.4,0.3,0,466742,112956,140069,270233
96,5,0.4,0.3,0,438716,124495,156689,270100
97,5,0.4,0.3,0,477923,122371,129636,260070
98,5,0.4,0.3,0,491534,118202,129206,251058
99,5,0.4,0.3,0,414075,93353,163085,319487
