,Mutual_Cooperation,Mutual_Defection,Exploitation
0,2761.0,312.0,1877.0
1,2674.0,1181.0,1095.0
2,2590.0,1179.0,1181.0
3,2560.0,1195.0,1195.0
4,2565.0,1153.0,1232.0
5,2507.0,1178.0,1265.0
6,2487.0,1201.0,1262.0
7,2474.0,1260.0,1216.0
8,2441.0,1285.0,1224.0
9,2444.0,1266.0,1240.0
10,2414.0,1274.0,1262.0
11,2433.0,1277.0,1240.0
12,2441.0,1241.0,1268.0
13,2451.0,1198.0,1301.0
14,2501.0,1206.0,1243.0
15,2481.0,1204.0,1265.0
16,2497.0,1182.0,1271.0
17,2423.0,1231.0,1296.0
18,2406.0,1252.0,1292.0
19,2441.0,1243.0,1266.0
20,2450.0,1244.0,1256.0
21,2432.0,1267.0,1251.0
22,2427.0,1261.0,1262.0
23,2444.0,1239.0,1267.0
24,2421.0,1266.0,1263.0
25,2437.0,1290.0,1223.0
26,2479.0,1272.0,1199.0
27,2494.0,1182.0,1274.0
28,2588.0,1142.0,1220.0
29,2597.0,1128.0,1225.0
30,2605.0,1103.0,1242.0
31,2609.0,1106.0,1235.0
32,2604.0,1130.0,1216.0
33,2605.0,1114.0,1231.0
34,2640.0,1096.0,1214.0
35,2653.0,1109.0,1188.0
36,2638.0,1122.0,1190.0
37,2561.0,1131.0,1258.0
38,2472.0,1187.0,1291.0
39,2497.0,1232.0,1221.0
40,2428.0,1246.0,1276.0
41,2464.0,1239.0,1247.0
42,2469.0,1190.0,1291.0
43,2494.0,1217.0,1239.0
44,2565.0,1157.0,1228.0
45,2618.0,1144.0,1188.0
46,2596.0,1114.0,1240.0
47,2489.0,1167.0,1294.0
48,2445.0,1180.0,1325.0
49,2454.0,1203.0,1293.0
50,2472.0,1203.0,1275.0
51,2385.0,1237.0,1328.0
52,2382.0,1255.0,1313.0
53,2404.0,1246.0,1300.0
54,2366.0,1240.0,1344.0
55,2335.0,1256.0,1359.0
56,2367.0,1249.0,1334.0
57,2367.0,1262.0,1321.0
58,2390.0,1223.0,1337.0
59,2402.0,1231.0,1317.0
60,2408.0,1189.0,1353.0
61,2455.0,1223.0,1272.0
62,2368.0,1238.0,1344.0
63,2379.0,1276.0,1295.0
64,2393.0,1267.0,1290.0
65,2340.0,1261.0,1349.0
66,2332.0,1314.0,1304.0
67,2332.0,1281.0,1337.0
68,2355.0,1268.0,1327.0
69,2347.0,1270.0,1333.0
70,2342.0,1294.0,1314.0
71,2297.0,1286.0,1367.0
72,2364.0,1257.0,1329.0
73,2386.0,1270.0,1294.0
74,2360.0,1290.0,1300.0
75,2360.0,1262.0,1328.0
76,2351.0,1271.0,1328.0
77,2386.0,1229.0,1335.0
78,2377.0,1243.0,1330.0
79,2362.0,1243.0,1345.0
80,2378.0,1248.0,1324.0
81,2381.0,1248.0,1321.0
82,2378.0,1212.0,1360.0
83,2336.0,1237.0,1377.0
84,2339.0,1298.0,1313.0
85,2355.0,1269.0,1326.0
86,2380.0,1228.0,1342.0
87,2364.0,1246.0,1340.0
88,2356.0,1238.0,1356.0
89,2296.0,1260.0,1394.0
90,2308.0,1263.0,1379.0
91,2310.0,1275.0,1365.0
92,2320.0,1283.0,1347.0
93,2258.0,1324.0,1368.0
94,2254.0,1338.0,1358.0
95,2277.0,1305.0,1368.0
96,2285.0,1328.0,1337.0
97,2276.0,1320.0,1354.0
98,2202.0,1356.0,1392.0
99,2155.0,1388.0,1407.0
100,2112.0,1409.0,1429.0
101,2060.0,1450.0,1440.0
102,2063.0,1467.0,1420.0
103,2093.0,1421.0,1436.0
104,2159.0,1335.0,1456.0
105,2222.0,1314.0,1414.0
106,2293.0,1285.0,1372.0
107,2332.0,1281.0,1337.0
108,2344.0,1253.0,1353.0
109,2359.0,1200.0,1391.0
110,2290.0,1235.0,1425.0
111,2291.0,1277.0,1382.0
112,2281.0,1323.0,1346.0
113,2290.0,1286.0,1374.0
114,2339.0,1216.0,1395.0
115,2348.0,1232.0,1370.0
116,2358.0,1224.0,1368.0
117,2369.0,1199.0,1382.0
118,2334.0,1247.0,1369.0
119,2257.0,1274.0,1419.0
120,2231.0,1363.0,1356.0
121,2278.0,1345.0,1327.0
122,2300.0,1342.0,1308.0
123,2268.0,1307.0,1375.0
124,2264.0,1313.0,1373.0
125,2278.0,1286.0,1386.0
126,2227.0,1296.0,1427.0
127,2181.0,1344.0,1425.0
128,2141.0,1370.0,1439.0
129,2202.0,1297.0,1451.0
130,2223.0,1322.0,1405.0
131,2239.0,1302.0,1409.0
132,2236.0,1300.0,1414.0
133,2213.0,1298.0,1439.0
134,2237.0,1294.0,1419.0
135,2255.0,1286.0,1409.0
136,2257.0,1259.0,1434.0
137,2268.0,1211.0,1471.0
138,2276.0,1236.0,1438.0
139,2300.0,1220.0,1430.0
140,2341.0,1159.0,1450.0
141,2375.0,1153.0,1422.0
142,2370.0,1160.0,1420.0
143,2365.0,1199.0,1386.0
144,2303.0,1186.0,1461.0
145,2293.0,1184.0,1473.0
146,2330.0,1115.0,1505.0
147,2416.0,1098.0,1436.0
148,2368.0,1115.0,1467.0
149,2365.0,1128.0,1457.0
150,2297.0,1201.0,1452.0
151,2354.0,1169.0,1427.0
152,2370.0,1147.0,1433.0
153,2304.0,1129.0,1517.0
154,2233.0,1214.0,1503.0
155,2181.0,1230.0,1539.0
156,2200.0,1250.0,1500.0
157,2178.0,1289.0,1483.0
158,2116.0,1263.0,1571.0
159,2104.0,1254.0,1592.0
160,2118.0,1233.0,1599.0
161,2109.0,1317.0,1524.0
162,2092.0,1304.0,1554.0
163,2143.0,1233.0,1574.0
164,2120.0,1278.0,1552.0
165,2051.0,1313.0,1586.0
166,2074.0,1352.0,1524.0
167,2065.0,1333.0,1552.0
168,2111.0,1245.0,1594.0
