,m,d,r,w,P,R,S,T
0,5,0.4,0.3,0,551,12,15,412
1,5,0.4,0.3,0,55,684,220,31
2,5,0.4,0.3,0,212,662,63,53
3,5,0.4,0.3,0,575,17,13,385
4,5,0.4,0.3,0,203,625,93,69
5,5,0.4,0.3,0,7,695,269,19
6,5,0.4,0.3,0,146,671,133,40
7,5,0.4,0.3,0,7,706,258,19
8,5,0.4,0.3,0,548,10,22,410
9,5,0.4,0.3,0,4,712,257,17
10,5,0.4,0.3,0,145,687,123,35
11,5,0.4,0.3,0,215,646,79,50
12,5,0.4,0.3,0,7,703,262,18
13,5,0.4,0.3,0,8,702,262,18
14,5,0.4,0.3,0,209,620,85,76
15,5,0.4,0.3,0,9,705,258,18
16,5,0.4,0.3,0,10,708,250,22
17,5,0.4,0.3,0,5,711,256,18
18,5,0.4,0.3,0,144,675,131,40
19,5,0.4,0.3,0,571,18,11,390
20,5,0.4,0.3,0,569,9,16,396
21,5,0.4,0.3,0,566,8,14,402
22,5,0.4,0.3,0,215,642,77,56
23,5,0.4,0.3,0,6,694,262,28
24,5,0.4,0.3,0,7,700,268,15
25,5,0.4,0.3,0,140,681,131,38
26,5,0.4,0.3,0,549,16,18,407
27,5,0.4,0.3,0,140,684,127,39
28,5,0.4,0.3,0,7,703,263,17
29,5,0.4,0.3,0,5,707,257,21
30,5,0.4,0.3,0,4,699,271,16
31,5,0.4,0.3,0,147,689,119,35
32,5,0.4,0.3,0,154,682,114,40
33,5,0.4,0.3,0,212,640,80,58
34,5,0.4,0.3,0,144,669,130,47
35,5,0.4,0.3,0,551,12,15,412
36,5,0.4,0.3,0,9,715,250,16
37,5,0.4,0.3,0,7,706,260,17
38,5,0.4,0.3,0,216,655,68,51
39,5,0.4,0.3,0,549,11,18,412
40,5,0.4,0.3,0,576,15,11,388
41,5,0.4,0.3,0,138,648,150,54
42,5,0.4,0.3,0,137,676,136,41
43,5,0.4,0.3,0,8,718,249,15
44,5,0.4,0.3,0,76,686,201,27
45,5,0.4,0.3,0,214,622,85,69
46,5,0.4,0.3,0,8,707,260,15
47,5,0.4,0.3,0,147,661,138,44
48,5,0.4,0.3,0,585,14,9,382
49,5,0.4,0.3,0,215,397,195,183
50,5,0.4,0.3,0,148,650,136,56
51,5,0.4,0.3,0,563,10,15,402
52,5,0.4,0.3,0,147,671,130,42
53,5,0.4,0.3,0,550,8,25,407
54,5,0.4,0.3,0,142,673,135,40
55,5,0.4,0.3,0,8,700,260,22
56,5,0.4,0.3,0,277,359,131,223
57,5,0.4,0.3,0,210,613,92,75
58,5,0.4,0.3,0,7,714,261,8
59,5,0.4,0.3,0,10,722,246,12
60,5,0.4,0.3,0,138,691,129,32
61,5,0.4,0.3,0,568,14,11,397
62,5,0.4,0.3,0,138,675,136,41
63,5,0.4,0.3,0,205,610,96,79
64,5,0.4,0.3,0,167,641,127,55
65,5,0.4,0.3,0,10,704,258,18
66,5,0.4,0.3,0,212,628,91,59
67,5,0.4,0.3,0,206,633,88,63
68,5,0.4,0.3,0,581,5,15,389
69,5,0.4,0.3,0,7,694,270,19
70,5,0.4,0.3,0,211,654,74,51
71,5,0.4,0.3,0,149,641,139,61
72,5,0.4,0.3,0,557,15,16,402
73,5,0.4,0.3,0,142,697,123,28
74,5,0.4,0.3,0,211,647,77,55
75,5,0.4,0.3,0,219,690,51,30
76,5,0.4,0.3,0,218,631,86,55
77,5,0.4,0.3,0,211,673,63,43
78,5,0.4,0.3,0,146,673,130,41
79,5,0.4,0.3,0,561,11,11,407
80,5,0.4,0.3,0,151,650,139,50
81,5,0.4,0.3,0,149,673,133,35
82,5,0.4,0.3,0,7,712,257,14
83,5,0.4,0.3,0,556,13,20,401
84,5,0.4,0.3,0,9,694,263,24
85,5,0.4,0.3,0,568,13,17,392
86,5,0.4,0.3,0,155,637,136,62
87,5,0.4,0.3,0,152,646,142,50
88,5,0.4,0.3,0,549,9,20,412
89,5,0.4,0.3,0,573,14,13,390
90,5,0.4,0.3,0,164,627,139,60
91,5,0.4,0.3,0,159,667,121,43
92,5,0.4,0.3,0,548,7,24,411
93,5,0.4,0.3,0,140,660,142,48
94,5,0.4,0.3,0,573,14,14,389
95,5,0.4,0.3,0,219,621,85,65
96,5,0.4,0.3,0,140,656,147,47
97,5,0.4,0.3,0,474,151,37,328
98,5,0.4,0.3,0,147,679,126,38
99,5,0.4,0.3,0,136,681,138,35
