,m,d,r,w,P,R,S,T
0,5.0,0.27,0.15,1.0,247793,485266,146993,109948
1,5.0,0.94,0.71,1.0,305636,418379,124752,141233
2,5.0,0.99,0.28,1.0,278089,454850,138290,118771
3,5.0,0.37,0.84,1.0,274365,460759,142616,112260
4,5.0,0.04,0.8,1.0,302438,417690,126089,143783
5,5.0,0.03,0.27,1.0,261493,480153,134146,114208
6,5.0,0.59,0.15,1.0,284067,445991,138682,121260
7,5.0,0.55,0.4,1.0,370545,342116,95243,182096
8,5.0,0.05,0.7,1.0,299869,437330,121029,131772
9,5.0,0.45,0.75,1.0,290794,427459,132440,139307
10,5.0,0.45,0.51,1.0,309844,429702,123809,126645
11,5.0,0.7,0.84,1.0,259403,470341,140242,120014
12,5.0,0.09,0.2,1.0,269050,456472,134517,129961
13,5.0,0.34,0.46,1.0,285794,433415,139206,131585
14,5.0,0.64,0.53,1.0,325502,405449,108434,150615
15,5.0,0.76,0.78,1.0,294635,446097,125668,123600
16,5.0,0.43,0.45,1.0,280572,453078,133985,122365
17,5.0,0.2,0.92,1.0,277765,449445,135942,126848
18,5.0,0.65,0.01,1.0,250973,473097,149653,116277
19,5.0,0.96,0.84,1.0,286890,428825,137978,136307
20,5.0,0.4,0.71,1.0,290362,450427,122995,126216
21,5.0,0.6,0.47,1.0,304287,441537,118540,125636
22,5.0,0.96,0.88,1.0,303850,394119,141328,150703
23,5.0,0.99,0.95,1.0,291824,438764,124374,135038
24,5.0,0.43,0.09,1.0,281696,441883,132514,133907
25,5.0,0.19,0.43,1.0,337103,373908,109599,169390
26,5.0,0.9,0.61,1.0,294462,443516,130610,121412
27,5.0,0.31,0.27,1.0,251092,488968,147129,102811
28,5.0,0.98,0.42,1.0,329451,396913,114323,149313
29,5.0,0.25,0.98,1.0,248314,486098,141517,114071
30,5.0,0.23,0.44,1.0,274318,470197,123510,121975
31,5.0,0.91,0.94,1.0,259746,457330,157587,115337
32,5.0,0.83,0.99,1.0,292425,436975,118238,142362
33,5.0,0.3,0.9,1.0,286966,443880,136127,123027
34,5.0,0.16,0.27,1.0,260191,483609,139380,106820
35,5.0,0.91,0.66,1.0,247233,487695,148021,107051
36,5.0,0.3,0.38,1.0,294552,448734,126453,120261
37,5.0,0.39,0.78,1.0,331976,410017,109696,138311
38,5.0,0.69,0.47,1.0,332382,399534,112432,145652
39,5.0,0.23,0.3,1.0,259482,457852,147427,125239
40,5.0,0.69,0.88,1.0,294267,446899,128135,120699
41,5.0,0.21,0.52,1.0,273791,454678,143093,118438
42,5.0,0.98,0.06,1.0,282465,445517,138128,123890
43,5.0,0.38,0.45,1.0,280741,455069,134073,120117
44,5.0,0.49,0.8,1.0,349256,381315,94930,164499
45,5.0,0.31,0.56,1.0,248884,478381,147362,115373
46,5.0,0.5,0.77,1.0,257525,489572,138393,104510
47,5.0,0.43,0.86,1.0,316177,414735,118613,140475
48,5.0,0.26,0.07,1.0,260159,479619,144610,105612
49,5.0,0.24,0.67,1.0,295736,428154,130682,135428
50,5.0,0.22,0.94,1.0,357819,339627,112188,180366
51,5.0,1.0,0.84,1.0,321473,397228,119806,151493
52,5.0,0.3,0.84,1.0,282453,453466,133579,120502
53,5.0,0.35,0.97,1.0,276949,456636,129395,127020
54,5.0,0.42,0.34,1.0,339734,393260,104077,152929
55,5.0,0.03,0.44,1.0,316687,399221,121849,152243
56,5.0,0.31,0.12,1.0,323982,409688,115280,141050
57,5.0,0.09,0.18,1.0,317192,409848,129027,133933
58,5.0,0.08,0.13,1.0,318833,399722,120701,150744
59,5.0,0.86,0.45,1.0,303641,428063,122901,135395
60,5.0,0.4,0.15,1.0,354350,373521,103869,158260
61,5.0,0.65,0.39,1.0,322854,407326,111334,148486
62,5.0,0.03,0.55,1.0,300518,438774,119670,131038
63,5.0,0.72,0.99,1.0,318564,405003,126473,139960
64,5.0,0.15,0.41,1.0,229521,496350,163668,100461
65,5.0,0.07,0.69,1.0,281946,427336,150729,129989
66,5.0,0.52,0.86,1.0,289791,428314,135338,136557
67,5.0,0.03,0.08,1.0,286094,449567,131966,122373
68,5.0,0.77,0.88,1.0,296333,443269,132132,118266
69,5.0,0.07,0.44,1.0,265464,465456,148784,110296
70,5.0,0.35,0.21,1.0,272894,481395,137033,98678
71,5.0,0.61,0.17,1.0,300094,441166,123322,125418
72,5.0,0.73,0.76,1.0,303869,421905,129698,134528
73,5.0,0.72,0.27,1.0,321362,392016,120618,156004
74,5.0,0.17,0.19,1.0,324070,382665,130172,153093
75,5.0,0.16,0.26,1.0,323234,427276,109201,130289
76,5.0,0.95,0.92,1.0,319707,418336,114651,137306
77,5.0,0.52,0.64,1.0,286681,426960,147082,129277
78,5.0,0.75,0.49,1.0,276044,453503,138364,122089
79,5.0,0.42,0.07,1.0,299900,418964,135544,135592
80,5.0,0.55,0.29,1.0,263806,483556,141826,100812
81,5.0,0.99,0.52,1.0,310745,419035,126671,133549
82,5.0,0.94,0.84,1.0,277653,460797,130893,120657
83,5.0,0.48,0.91,1.0,298542,423383,131967,136108
84,5.0,0.88,0.1,1.0,228537,504719,162802,93942
85,5.0,0.75,0.52,1.0,305053,434542,122468,127937
86,5.0,0.18,0.8,1.0,267721,438230,154282,129767
87,5.0,0.88,0.62,1.0,283084,460033,132015,114868
88,5.0,0.34,0.43,1.0,338457,399855,105146,146542
89,5.0,0.35,0.97,1.0,356122,382996,102748,148134
90,5.0,0.85,0.23,1.0,352058,362470,102211,173261
91,5.0,0.01,0.06,1.0,319094,425554,114725,130627
92,5.0,0.93,0.9,1.0,232534,522579,145774,89113
93,5.0,0.15,0.54,1.0,254793,469907,147988,117312
94,5.0,0.1,0.71,1.0,301765,437083,127153,123999
95,5.0,0.49,0.02,1.0,312000,409034,129145,139821
96,5.0,0.39,0.72,1.0,262971,483432,139305,104292
