,defect,tit_for_tat,generous_tit_for_tat,cooperate
0,24,27,22,27
1,24,27,22,27
2,24,27,22,27
3,24,28,22,26
4,23,28,22,27
5,22,28,23,27
6,22,27,24,27
7,23,26,24,27
8,23,26,24,27
9,22,26,25,27
10,22,27,24,27
11,22,27,24,27
12,22,28,23,27
13,22,27,24,27
14,21,28,24,27
15,22,28,24,26
16,22,28,24,26
17,22,27,24,27
18,21,27,24,28
19,21,26,24,29
20,21,25,25,29
21,21,25,25,29
22,20,25,26,29
23,20,25,25,30
24,20,25,25,30
25,20,24,25,31
26,20,24,25,31
27,20,25,25,30
28,20,24,26,30
29,20,23,27,30
30,20,23,27,30
31,20,22,27,31
32,20,22,27,31
33,20,22,28,30
34,21,22,27,30
35,22,22,26,30
36,23,21,26,30
37,23,22,26,29
38,23,22,26,29
39,23,22,26,29
40,23,23,26,28
41,23,22,27,28
42,23,22,27,28
43,22,23,27,28
44,21,23,27,29
45,21,22,28,29
46,21,21,28,30
47,21,21,28,30
48,20,21,28,31
49,20,21,28,31
50,20,21,28,31
51,20,21,28,31
52,20,21,28,31
53,19,21,29,31
54,19,21,29,31
55,18,21,29,32
56,18,21,30,31
57,18,20,31,31
58,18,20,31,31
59,18,20,31,31
60,18,21,30,31
61,18,21,30,31
62,17,21,30,32
63,18,20,30,32
64,19,20,29,32
65,19,20,28,33
66,18,20,29,33
67,17,21,29,33
68,16,22,29,33
69,16,22,29,33
70,16,22,28,34
71,16,22,28,34
72,15,23,28,34
73,15,23,28,34
74,16,23,28,33
75,15,23,29,33
76,15,23,29,33
77,16,22,29,33
78,16,22,28,34
79,17,22,28,33
80,17,22,28,33
81,18,22,28,32
82,18,22,28,32
83,18,23,27,32
84,18,23,27,32
85,18,23,28,31
86,18,22,29,31
87,18,22,29,31
88,18,23,28,31
89,17,23,29,31
90,17,23,29,31
91,18,22,29,31
92,17,22,29,32
93,18,22,29,31
94,19,21,29,31
95,18,21,30,31
96,17,21,30,32
97,16,21,30,33
98,16,21,30,33
99,16,21,29,34
100,16,21,29,34
101,16,20,30,34
102,17,20,29,34
103,17,20,30,33
104,17,20,29,34
105,17,21,29,33
106,17,20,29,34
107,17,20,29,34
108,17,20,30,33
109,16,20,31,33
110,16,20,32,32
111,16,20,32,32
112,16,20,32,32
113,16,19,32,33
114,16,19,32,33
115,16,19,31,34
116,16,18,32,34
117,17,18,32,33
118,17,18,32,33
119,17,18,32,33
120,17,19,32,32
121,17,19,32,32
122,17,20,32,31
123,17,21,32,30
124,17,21,32,30
125,17,21,32,30
126,17,20,33,30
127,17,19,34,30
128,17,19,35,29
129,17,19,35,29
130,17,19,35,29
131,17,19,34,30
132,17,19,35,29
133,17,19,34,30
134,18,19,33,30
135,17,20,33,30
136,17,21,32,30
137,17,22,32,29
138,16,22,33,29
139,16,22,32,30
140,16,23,32,29
141,17,22,32,29
142,17,22,32,29
143,17,22,32,29
144,17,21,33,29
145,17,21,33,29
146,17,21,33,29
147,17,21,33,29
148,18,20,33,29
149,18,21,32,29
150,18,22,31,29
151,18,22,31,29
152,18,22,30,30
153,18,23,30,29
154,18,22,30,30
155,19,22,30,29
156,20,21,30,29
157,20,21,29,30
158,21,21,29,29
159,20,21,30,29
160,20,21,30,29
161,19,21,30,30
162,19,22,30,29
163,19,22,31,28
164,19,21,32,28
165,19,21,33,27
166,19,21,33,27
167,20,20,33,27
168,20,20,34,26
169,21,19,34,26
170,21,19,34,26
171,21,18,35,26
172,21,18,36,25
173,21,18,36,25
174,21,19,36,24
175,20,19,37,24
176,20,19,37,24
177,20,20,37,23
178,20,20,37,23
179,20,20,37,23
180,21,19,37,23
181,20,19,37,24
182,20,20,37,23
183,19,21,37,23
184,20,21,37,22
185,20,21,36,23
186,20,21,36,23
187,20,20,36,24
188,21,20,36,23
189,21,20,35,24
190,22,20,35,23
191,22,20,35,23
192,23,20,34,23
193,23,20,34,23
194,23,19,34,24
195,23,19,33,25
196,23,19,34,24
197,23,19,34,24
198,23,20,33,24
199,24,20,32,24
200,24,19,32,25
201,23,19,32,26
202,22,19,32,27
203,22,19,32,27
204,22,19,32,27
205,22,18,33,27
206,22,17,33,28
207,23,16,33,28
208,23,16,33,28
209,24,16,33,27
210,24,16,33,27
211,24,15,33,28
212,23,15,34,28
213,22,15,35,28
214,22,15,36,27
215,23,15,36,26
216,22,15,36,27
217,22,16,36,26
218,22,16,37,25
219,22,16,36,26
220,21,16,37,26
221,21,16,37,26
222,20,16,38,26
223,20,15,39,26
224,19,15,40,26
225,19,16,39,26
226,19,16,39,26
227,20,16,39,25
228,20,16,38,26
229,20,16,38,26
230,20,16,38,26
231,20,15,38,27
232,20,15,39,26
233,20,16,39,25
234,21,16,39,24
235,20,16,40,24
236,20,17,40,23
237,19,18,40,23
238,19,18,40,23
239,19,17,41,23
240,19,17,40,24
241,18,18,40,24
242,18,18,40,24
243,18,18,40,24
244,18,18,39,25
245,19,18,39,24
246,19,18,39,24
247,19,18,39,24
248,19,18,39,24
249,19,18,39,24
250,19,18,38,25
251,19,17,38,26
252,20,17,38,25
253,19,18,38,25
254,19,18,38,25
255,19,18,38,25
256,19,18,38,25
257,19,18,38,25
258,19,18,39,24
259,20,17,39,24
260,19,17,40,24
