,Mutual_Cooperation,Mutual_Defection,Exploitation
0,2544.0,385.0,2021.0
1,2461.0,1170.0,1319.0
2,2429.0,1193.0,1328.0
3,2449.0,1207.0,1294.0
4,2400.0,1178.0,1372.0
5,2325.0,1196.0,1429.0
6,2298.0,1238.0,1414.0
7,2292.0,1285.0,1373.0
8,2337.0,1267.0,1346.0
9,2327.0,1271.0,1352.0
10,2314.0,1264.0,1372.0
11,2305.0,1260.0,1385.0
12,2338.0,1249.0,1363.0
13,2323.0,1258.0,1369.0
14,2317.0,1249.0,1384.0
15,2318.0,1283.0,1349.0
16,2311.0,1296.0,1343.0
17,2311.0,1317.0,1322.0
18,2300.0,1288.0,1362.0
19,2323.0,1239.0,1388.0
20,2349.0,1216.0,1385.0
21,2330.0,1202.0,1418.0
22,2342.0,1214.0,1394.0
23,2334.0,1247.0,1369.0
24,2355.0,1195.0,1400.0
25,2299.0,1222.0,1429.0
26,2287.0,1245.0,1418.0
27,2285.0,1245.0,1420.0
28,2310.0,1229.0,1411.0
29,2327.0,1193.0,1430.0
30,2364.0,1185.0,1401.0
31,2375.0,1196.0,1379.0
32,2385.0,1186.0,1379.0
33,2426.0,1121.0,1403.0
34,2475.0,1107.0,1368.0
35,2497.0,1073.0,1380.0
36,2514.0,1104.0,1332.0
37,2509.0,1114.0,1327.0
38,2527.0,1100.0,1323.0
39,2517.0,1111.0,1322.0
40,2495.0,1128.0,1327.0
41,2486.0,1116.0,1348.0
42,2498.0,1095.0,1357.0
43,2456.0,1128.0,1366.0
44,2450.0,1156.0,1344.0
45,2440.0,1156.0,1354.0
46,2460.0,1148.0,1342.0
47,2463.0,1116.0,1371.0
48,2456.0,1136.0,1358.0
49,2450.0,1185.0,1315.0
50,2462.0,1144.0,1344.0
51,2514.0,1125.0,1311.0
52,2514.0,1103.0,1333.0
53,2512.0,1115.0,1323.0
54,2470.0,1134.0,1346.0
55,2419.0,1149.0,1382.0
56,2423.0,1172.0,1355.0
57,2434.0,1169.0,1347.0
58,2464.0,1151.0,1335.0
59,2457.0,1131.0,1362.0
60,2462.0,1114.0,1374.0
61,2478.0,1078.0,1394.0
62,2429.0,1071.0,1450.0
63,2357.0,1122.0,1471.0
64,2289.0,1201.0,1460.0
65,2299.0,1202.0,1449.0
66,2219.0,1246.0,1485.0
67,2230.0,1233.0,1487.0
68,2236.0,1254.0,1460.0
69,2167.0,1256.0,1527.0
70,2172.0,1276.0,1502.0
71,2183.0,1309.0,1458.0
72,2190.0,1290.0,1470.0
73,2090.0,1313.0,1547.0
74,2096.0,1340.0,1514.0
75,2121.0,1376.0,1453.0
76,2107.0,1380.0,1463.0
77,2134.0,1398.0,1418.0
78,2116.0,1419.0,1415.0
79,2094.0,1414.0,1442.0
80,2097.0,1404.0,1449.0
81,2115.0,1388.0,1447.0
82,2089.0,1401.0,1460.0
83,2121.0,1387.0,1442.0
84,2102.0,1400.0,1448.0
85,2100.0,1415.0,1435.0
86,2077.0,1413.0,1460.0
87,2020.0,1452.0,1478.0
88,2069.0,1435.0,1446.0
89,2081.0,1411.0,1458.0
90,2107.0,1374.0,1469.0
91,2108.0,1340.0,1502.0
92,2033.0,1391.0,1526.0
93,2000.0,1465.0,1485.0
94,2014.0,1481.0,1455.0
95,1974.0,1489.0,1487.0
96,2011.0,1500.0,1439.0
97,1985.0,1466.0,1499.0
98,2041.0,1411.0,1498.0
99,2084.0,1383.0,1483.0
100,2100.0,1385.0,1465.0
101,2142.0,1314.0,1494.0
102,2226.0,1325.0,1399.0
103,2221.0,1307.0,1422.0
104,2226.0,1289.0,1435.0
105,2185.0,1303.0,1462.0
106,2128.0,1318.0,1504.0
107,2053.0,1362.0,1535.0
108,2073.0,1399.0,1478.0
109,2105.0,1344.0,1501.0
110,2148.0,1336.0,1466.0
111,2131.0,1311.0,1508.0
112,2140.0,1290.0,1520.0
113,2172.0,1271.0,1507.0
114,2238.0,1228.0,1484.0
115,2163.0,1255.0,1532.0
116,2138.0,1318.0,1494.0
117,2086.0,1342.0,1522.0
118,2082.0,1346.0,1522.0
119,2090.0,1356.0,1504.0
120,2076.0,1396.0,1478.0
121,2029.0,1386.0,1535.0
122,2022.0,1413.0,1515.0
123,1954.0,1426.0,1570.0
124,1969.0,1425.0,1556.0
125,1958.0,1436.0,1556.0
126,1947.0,1428.0,1575.0
127,1957.0,1462.0,1531.0
128,1998.0,1398.0,1554.0
129,1977.0,1424.0,1549.0
130,1918.0,1457.0,1575.0
131,1924.0,1490.0,1536.0
132,1883.0,1489.0,1578.0
133,1849.0,1479.0,1622.0
134,1905.0,1399.0,1646.0
135,1940.0,1452.0,1558.0
136,1933.0,1459.0,1558.0
137,1880.0,1462.0,1608.0
138,1913.0,1413.0,1624.0
139,1908.0,1459.0,1583.0
140,1915.0,1435.0,1600.0
141,1890.0,1450.0,1610.0
142,1926.0,1435.0,1589.0
143,1911.0,1425.0,1614.0
144,1882.0,1433.0,1635.0
145,1867.0,1446.0,1637.0
146,1898.0,1500.0,1552.0
147,1815.0,1491.0,1644.0
148,1774.0,1522.0,1654.0
149,1727.0,1562.0,1661.0
150,1723.0,1569.0,1658.0
151,1732.0,1555.0,1663.0
152,1739.0,1547.0,1664.0
153,1825.0,1480.0,1645.0
154,1842.0,1438.0,1670.0
155,1829.0,1455.0,1666.0
156,1827.0,1466.0,1657.0
157,1783.0,1510.0,1657.0
158,1802.0,1493.0,1655.0
159,1790.0,1488.0,1672.0
160,1817.0,1436.0,1697.0
161,1884.0,1397.0,1669.0
162,1836.0,1411.0,1703.0
163,1778.0,1447.0,1725.0
164,1783.0,1418.0,1749.0
165,1788.0,1423.0,1739.0
166,1810.0,1434.0,1706.0
167,1787.0,1430.0,1733.0
168,1862.0,1442.0,1646.0
169,1846.0,1438.0,1666.0
170,1797.0,1448.0,1705.0
171,1785.0,1452.0,1713.0
172,1788.0,1505.0,1657.0
173,1738.0,1527.0,1685.0
174,1785.0,1531.0,1634.0
175,1778.0,1522.0,1650.0
176,1780.0,1489.0,1681.0
177,1797.0,1527.0,1626.0
178,1716.0,1577.0,1657.0
179,1687.0,1612.0,1651.0
180,1616.0,1674.0,1660.0
181,1633.0,1657.0,1660.0
182,1617.0,1647.0,1686.0
183,1655.0,1617.0,1678.0
184,1649.0,1649.0,1652.0
185,1652.0,1631.0,1667.0
186,1603.0,1683.0,1664.0
187,1591.0,1705.0,1654.0
188,1609.0,1724.0,1617.0
189,1545.0,1755.0,1650.0
190,1581.0,1732.0,1637.0
191,1645.0,1688.0,1617.0
192,1662.0,1664.0,1624.0
193,1623.0,1698.0,1629.0
194,1609.0,1698.0,1643.0
195,1620.0,1725.0,1605.0
196,1603.0,1726.0,1621.0
197,1635.0,1763.0,1552.0
198,1635.0,1782.0,1533.0
199,1575.0,1794.0,1581.0
200,1594.0,1777.0,1579.0
201,1608.0,1791.0,1551.0
202,1650.0,1765.0,1535.0
203,1624.0,1772.0,1554.0
204,1645.0,1725.0,1580.0
205,1649.0,1706.0,1595.0
206,1631.0,1678.0,1641.0
207,1709.0,1636.0,1605.0
208,1681.0,1638.0,1631.0
209,1663.0,1643.0,1644.0
210,1685.0,1632.0,1633.0
211,1737.0,1606.0,1607.0
212,1744.0,1594.0,1612.0
213,1695.0,1590.0,1665.0
214,1697.0,1579.0,1674.0
215,1733.0,1526.0,1691.0
216,1752.0,1496.0,1702.0
217,1761.0,1500.0,1689.0
218,1694.0,1521.0,1735.0
219,1641.0,1581.0,1728.0
220,1641.0,1587.0,1722.0
221,1661.0,1579.0,1710.0
222,1695.0,1611.0,1644.0
223,1710.0,1565.0,1675.0
224,1768.0,1502.0,1680.0
225,1789.0,1439.0,1722.0
226,1848.0,1406.0,1696.0
227,1846.0,1441.0,1663.0
228,1863.0,1421.0,1666.0
229,1810.0,1434.0,1706.0
230,1803.0,1465.0,1682.0
231,1793.0,1481.0,1676.0
232,1746.0,1484.0,1720.0
233,1742.0,1536.0,1672.0
234,1781.0,1471.0,1698.0
235,1771.0,1462.0,1717.0
236,1787.0,1474.0,1689.0
237,1845.0,1399.0,1706.0
238,1805.0,1468.0,1677.0
239,1790.0,1483.0,1677.0
240,1736.0,1512.0,1702.0
241,1760.0,1551.0,1639.0
242,1710.0,1590.0,1650.0
243,1642.0,1656.0,1652.0
244,1626.0,1649.0,1675.0
245,1621.0,1634.0,1695.0
246,1626.0,1646.0,1678.0
247,1640.0,1642.0,1668.0
248,1586.0,1668.0,1696.0
249,1587.0,1705.0,1658.0
250,1573.0,1738.0,1639.0
251,1605.0,1649.0,1696.0
252,1677.0,1660.0,1613.0
253,1666.0,1620.0,1664.0
254,1676.0,1605.0,1669.0
255,1674.0,1649.0,1627.0
256,1622.0,1584.0,1744.0
257,1672.0,1584.0,1694.0
258,1676.0,1616.0,1658.0
259,1743.0,1593.0,1614.0
260,1754.0,1540.0,1656.0
261,1751.0,1581.0,1618.0
262,1764.0,1523.0,1663.0
263,1816.0,1530.0,1604.0
264,1733.0,1571.0,1646.0
265,1783.0,1520.0,1647.0
266,1735.0,1559.0,1656.0
267,1675.0,1606.0,1669.0
268,1659.0,1663.0,1628.0
269,1717.0,1614.0,1619.0
270,1655.0,1629.0,1666.0
271,1670.0,1648.0,1632.0
272,1682.0,1622.0,1646.0
273,1709.0,1623.0,1618.0
274,1729.0,1577.0,1644.0
275,1759.0,1580.0,1611.0
276,1700.0,1571.0,1679.0
277,1733.0,1557.0,1660.0
278,1709.0,1596.0,1645.0
279,1706.0,1622.0,1622.0
280,1713.0,1608.0,1629.0
281,1682.0,1647.0,1621.0
282,1682.0,1638.0,1630.0
283,1704.0,1621.0,1625.0
284,1695.0,1600.0,1655.0
285,1685.0,1617.0,1648.0
286,1693.0,1630.0,1627.0
287,1751.0,1609.0,1590.0
288,1767.0,1592.0,1591.0
289,1807.0,1556.0,1587.0
290,1803.0,1531.0,1616.0
291,1839.0,1536.0,1575.0
292,1875.0,1520.0,1555.0
293,1836.0,1521.0,1593.0
294,1873.0,1540.0,1537.0
295,1926.0,1497.0,1527.0
296,2005.0,1407.0,1538.0
297,1958.0,1430.0,1562.0
298,2007.0,1402.0,1541.0
299,1994.0,1377.0,1579.0
300,2012.0,1431.0,1507.0
301,1960.0,1426.0,1564.0
302,1929.0,1487.0,1534.0
303,1875.0,1537.0,1538.0
304,1888.0,1517.0,1545.0
305,1899.0,1524.0,1527.0
306,1907.0,1494.0,1549.0
307,1944.0,1499.0,1507.0
308,1928.0,1491.0,1531.0
309,1939.0,1464.0,1547.0
310,1911.0,1478.0,1561.0
311,1978.0,1410.0,1562.0
312,2026.0,1414.0,1510.0
313,2086.0,1362.0,1502.0
314,2088.0,1349.0,1513.0
315,2086.0,1386.0,1478.0
316,2130.0,1373.0,1447.0
317,2105.0,1376.0,1469.0
318,2131.0,1357.0,1462.0
319,2071.0,1381.0,1498.0
320,2088.0,1394.0,1468.0
321,2116.0,1347.0,1487.0
322,2068.0,1376.0,1506.0
323,2027.0,1373.0,1550.0
324,2022.0,1449.0,1479.0
325,2057.0,1421.0,1472.0
326,2102.0,1397.0,1451.0
327,2102.0,1372.0,1476.0
328,2115.0,1383.0,1452.0
329,2142.0,1393.0,1415.0
330,2157.0,1355.0,1438.0
331,2180.0,1322.0,1448.0
332,2183.0,1337.0,1430.0
333,2245.0,1286.0,1419.0
334,2298.0,1278.0,1374.0
335,2291.0,1282.0,1377.0
336,2257.0,1286.0,1407.0
337,2278.0,1321.0,1351.0
338,2293.0,1336.0,1321.0
339,2276.0,1330.0,1344.0
340,2292.0,1300.0,1358.0
341,2297.0,1275.0,1378.0
342,2323.0,1272.0,1355.0
343,2258.0,1319.0,1373.0
344,2174.0,1368.0,1408.0
345,2218.0,1334.0,1398.0
346,2254.0,1310.0,1386.0
347,2202.0,1342.0,1406.0
348,2188.0,1341.0,1421.0
349,2185.0,1378.0,1387.0
350,2152.0,1402.0,1396.0
351,2146.0,1435.0,1369.0
352,2152.0,1402.0,1396.0
353,2149.0,1391.0,1410.0
354,2072.0,1428.0,1450.0
355,2076.0,1461.0,1413.0
356,2008.0,1452.0,1490.0
357,2012.0,1503.0,1435.0
358,2052.0,1477.0,1421.0
359,2088.0,1416.0,1446.0
360,2131.0,1428.0,1391.0
361,2149.0,1423.0,1378.0
362,2170.0,1391.0,1389.0
363,2111.0,1400.0,1439.0
364,2130.0,1418.0,1402.0
365,2129.0,1420.0,1401.0
366,2148.0,1360.0,1442.0
367,2159.0,1370.0,1421.0
368,2156.0,1374.0,1420.0
369,2154.0,1372.0,1424.0
370,2155.0,1391.0,1404.0
371,2177.0,1307.0,1466.0
372,2243.0,1323.0,1384.0
373,2258.0,1276.0,1416.0
374,2208.0,1321.0,1421.0
375,2181.0,1330.0,1439.0
376,2193.0,1340.0,1417.0
377,2229.0,1291.0,1430.0
378,2235.0,1276.0,1439.0
379,2207.0,1299.0,1444.0
380,2246.0,1229.0,1475.0
381,2230.0,1249.0,1471.0
382,2277.0,1230.0,1443.0
383,2299.0,1207.0,1444.0
384,2247.0,1257.0,1446.0
385,2245.0,1258.0,1447.0
386,2169.0,1309.0,1472.0
387,2180.0,1310.0,1460.0
388,2182.0,1278.0,1490.0
389,2183.0,1297.0,1470.0
390,2205.0,1278.0,1467.0
391,2262.0,1224.0,1464.0
392,2319.0,1240.0,1391.0
393,2318.0,1276.0,1356.0
394,2258.0,1264.0,1428.0
395,2265.0,1307.0,1378.0
396,2258.0,1293.0,1399.0
397,2281.0,1295.0,1374.0
398,2286.0,1331.0,1333.0
399,2265.0,1306.0,1379.0
400,2287.0,1322.0,1341.0
401,2229.0,1332.0,1389.0
402,2234.0,1402.0,1314.0
403,2214.0,1411.0,1325.0
404,2250.0,1353.0,1347.0
405,2301.0,1325.0,1324.0
406,2366.0,1265.0,1319.0
407,2424.0,1215.0,1311.0
408,2452.0,1165.0,1333.0
409,2486.0,1160.0,1304.0
410,2505.0,1177.0,1268.0
411,2484.0,1158.0,1308.0
412,2515.0,1138.0,1297.0
413,2543.0,1160.0,1247.0
414,2556.0,1167.0,1227.0
415,2562.0,1152.0,1236.0
416,2492.0,1185.0,1273.0
417,2427.0,1208.0,1315.0
418,2428.0,1237.0,1285.0
419,2440.0,1220.0,1290.0
420,2443.0,1225.0,1282.0
421,2432.0,1259.0,1259.0
422,2431.0,1240.0,1279.0
423,2431.0,1230.0,1289.0
424,2429.0,1260.0,1261.0
425,2453.0,1224.0,1273.0
426,2468.0,1217.0,1265.0
427,2446.0,1268.0,1236.0
428,2495.0,1235.0,1220.0
429,2496.0,1188.0,1266.0
430,2491.0,1223.0,1236.0
431,2481.0,1239.0,1230.0
432,2496.0,1205.0,1249.0
433,2469.0,1193.0,1288.0
434,2464.0,1212.0,1274.0
435,2404.0,1218.0,1328.0
436,2401.0,1229.0,1320.0
437,2410.0,1243.0,1297.0
438,2351.0,1248.0,1351.0
439,2394.0,1305.0,1251.0
440,2380.0,1275.0,1295.0
441,2370.0,1268.0,1312.0
442,2291.0,1298.0,1361.0
443,2328.0,1311.0,1311.0
444,2346.0,1300.0,1304.0
445,2365.0,1270.0,1315.0
446,2361.0,1280.0,1309.0
447,2350.0,1254.0,1346.0
448,2292.0,1305.0,1353.0
449,2274.0,1350.0,1326.0
450,2165.0,1318.0,1467.0
