,Mutual_Cooperation,Mutual_Defection,Exploitation
0,2745.0,315.0,1890.0
1,2656.0,1118.0,1176.0
2,2666.0,1100.0,1184.0
3,2625.0,1082.0,1243.0
4,2536.0,1117.0,1297.0
5,2512.0,1149.0,1289.0
6,2504.0,1145.0,1301.0
7,2485.0,1144.0,1321.0
8,2473.0,1150.0,1327.0
9,2399.0,1160.0,1391.0
10,2388.0,1198.0,1364.0
11,2416.0,1143.0,1391.0
12,2432.0,1156.0,1362.0
13,2387.0,1168.0,1395.0
14,2393.0,1166.0,1391.0
15,2330.0,1170.0,1450.0
16,2345.0,1180.0,1425.0
17,2369.0,1205.0,1376.0
18,2374.0,1230.0,1346.0
19,2366.0,1215.0,1369.0
20,2386.0,1142.0,1422.0
21,2418.0,1136.0,1396.0
22,2430.0,1156.0,1364.0
23,2450.0,1145.0,1355.0
24,2463.0,1146.0,1341.0
25,2464.0,1153.0,1333.0
26,2420.0,1155.0,1375.0
27,2433.0,1175.0,1342.0
28,2438.0,1211.0,1301.0
29,2395.0,1182.0,1373.0
30,2407.0,1180.0,1363.0
31,2435.0,1169.0,1346.0
32,2467.0,1111.0,1372.0
33,2422.0,1132.0,1396.0
34,2423.0,1187.0,1340.0
35,2376.0,1202.0,1372.0
36,2398.0,1195.0,1357.0
37,2398.0,1168.0,1384.0
38,2390.0,1174.0,1386.0
39,2449.0,1170.0,1331.0
40,2460.0,1152.0,1338.0
41,2440.0,1123.0,1387.0
42,2499.0,1117.0,1334.0
43,2503.0,1060.0,1387.0
44,2552.0,1036.0,1362.0
45,2569.0,1026.0,1355.0
46,2586.0,1035.0,1329.0
47,2632.0,988.0,1330.0
48,2619.0,979.0,1352.0
49,2596.0,991.0,1363.0
50,2542.0,1015.0,1393.0
51,2551.0,1058.0,1341.0
52,2577.0,1059.0,1314.0
53,2503.0,1073.0,1374.0
54,2464.0,1110.0,1376.0
55,2474.0,1134.0,1342.0
56,2453.0,1160.0,1337.0
57,2393.0,1168.0,1389.0
58,2370.0,1194.0,1386.0
59,2394.0,1201.0,1355.0
60,2404.0,1199.0,1347.0
61,2347.0,1187.0,1416.0
62,2386.0,1159.0,1405.0
63,2404.0,1154.0,1392.0
64,2412.0,1162.0,1376.0
65,2391.0,1150.0,1409.0
66,2450.0,1106.0,1394.0
67,2421.0,1117.0,1412.0
68,2419.0,1128.0,1403.0
69,2455.0,1090.0,1405.0
70,2464.0,1071.0,1415.0
71,2491.0,1033.0,1426.0
72,2496.0,1041.0,1413.0
73,2523.0,1052.0,1375.0
74,2534.0,997.0,1419.0
75,2471.0,1004.0,1475.0
76,2509.0,987.0,1454.0
77,2561.0,931.0,1458.0
78,2510.0,956.0,1484.0
79,2501.0,996.0,1453.0
80,2416.0,1018.0,1516.0
81,2491.0,1021.0,1438.0
82,2483.0,1043.0,1424.0
83,2426.0,1065.0,1459.0
84,2391.0,1088.0,1471.0
85,2375.0,1121.0,1454.0
86,2332.0,1158.0,1460.0
87,2341.0,1164.0,1445.0
88,2383.0,1137.0,1430.0
89,2431.0,1103.0,1416.0
90,2417.0,1102.0,1431.0
91,2415.0,1100.0,1435.0
92,2436.0,1117.0,1397.0
93,2325.0,1133.0,1492.0
94,2390.0,1138.0,1422.0
95,2414.0,1100.0,1436.0
96,2322.0,1124.0,1504.0
97,2331.0,1160.0,1459.0
98,2361.0,1135.0,1454.0
99,2357.0,1140.0,1453.0
100,2346.0,1150.0,1454.0
101,2384.0,1123.0,1443.0
102,2287.0,1186.0,1477.0
103,2322.0,1147.0,1481.0
104,2422.0,1068.0,1460.0
105,2415.0,1098.0,1437.0
106,2366.0,1119.0,1465.0
107,2337.0,1146.0,1467.0
108,2351.0,1172.0,1427.0
109,2329.0,1166.0,1455.0
110,2255.0,1202.0,1493.0
111,2167.0,1277.0,1506.0
112,2165.0,1307.0,1478.0
113,2163.0,1303.0,1484.0
114,2110.0,1283.0,1557.0
115,2101.0,1376.0,1473.0
116,2035.0,1394.0,1521.0
117,2052.0,1401.0,1497.0
118,2065.0,1425.0,1460.0
119,2072.0,1415.0,1463.0
120,2052.0,1430.0,1468.0
121,2070.0,1435.0,1445.0
122,2067.0,1477.0,1406.0
123,2055.0,1461.0,1434.0
124,2072.0,1428.0,1450.0
125,2079.0,1420.0,1451.0
126,2068.0,1420.0,1462.0
127,2079.0,1442.0,1429.0
128,2096.0,1370.0,1484.0
