,m,d,r,w,P,R,S,T
0,4.9,0.3,0.4,1.0,172190,604832,110935,102043
1,3.9,0.3,0.4,1.0,181462,579045,108126,121367
2,5.9,0.3,0.4,1.0,198074,573347,102190,116389
3,6.8,0.3,0.4,1.0,188899,579663,103862,117576
4,4.5,0.3,0.4,1.0,204917,550893,100910,133280
5,5.1,0.3,0.4,1.0,214694,569304,101075,104927
6,4.0,0.3,0.4,1.0,191044,606269,98368,94319
7,9.5,0.3,0.4,1.0,203709,572857,97636,115798
8,9.9,0.3,0.4,1.0,183927,600522,106480,99071
9,3.8,0.3,0.4,1.0,169983,606947,109823,103247
10,4.1,0.3,0.4,1.0,162662,642835,102283,82220
11,1.4,0.3,0.4,1.0,218995,522752,101153,147100
12,0.4,0.3,0.4,1.0,153754,615968,111434,108844
13,8.0,0.3,0.4,1.0,175551,587019,116620,110810
14,0.5,0.3,0.4,1.0,194794,597735,100512,96959
15,7.6,0.3,0.4,1.0,181816,602442,106749,98993
16,5.5,0.3,0.4,1.0,191456,585412,109155,103977
17,3.5,0.3,0.4,1.0,192234,598253,98444,101069
18,9.9,0.3,0.4,1.0,186099,587947,107525,108429
19,9.4,0.3,0.4,1.0,214828,562961,96303,115908
20,8.6,0.3,0.4,1.0,185475,569254,105459,129812
21,1.8,0.3,0.4,1.0,165668,615907,111924,96501
22,6.0,0.3,0.4,1.0,176484,606783,103492,103241
23,6.0,0.3,0.4,1.0,172711,609618,109818,97853
24,7.1,0.3,0.4,1.0,183396,595568,104951,106085
25,1.3,0.3,0.4,1.0,161006,630498,106518,91978
26,8.4,0.3,0.4,1.0,208004,573055,91517,117424
27,7.0,0.3,0.4,1.0,171338,614743,115300,88619
28,5.1,0.3,0.4,1.0,183923,592915,109004,104158
29,4.6,0.3,0.4,1.0,137757,637059,126751,88433
30,8.5,0.3,0.4,1.0,164298,625194,104788,95720
31,4.0,0.3,0.4,1.0,126717,672296,121211,69776
32,7.6,0.3,0.4,1.0,200989,564704,102349,121958
33,5.9,0.3,0.4,1.0,214444,548555,98560,128441
34,1.6,0.3,0.4,1.0,131437,650293,130696,77574
35,2.6,0.3,0.4,1.0,225755,524718,102913,136614
36,5.2,0.3,0.4,1.0,232100,521852,87489,148559
37,7.4,0.3,0.4,1.0,182988,586552,104190,116270
38,8.4,0.3,0.4,1.0,155016,622612,121453,90919
39,9.2,0.3,0.4,1.0,179241,605208,101065,104486
40,5.7,0.3,0.4,1.0,205277,556077,100036,128610
41,9.2,0.3,0.4,1.0,154224,643136,111776,80864
42,2.7,0.3,0.4,1.0,161059,612353,116880,99708
43,2.8,0.3,0.4,1.0,177680,597374,110646,104300
44,8.1,0.3,0.4,1.0,168511,626641,106200,88648
45,0.2,0.3,0.4,1.0,198221,588185,100265,103329
46,2.3,0.3,0.4,1.0,171301,605042,114518,99139
47,1.8,0.3,0.4,1.0,192499,583082,101830,112589
48,6.5,0.3,0.4,1.0,195833,580391,98106,115670
49,3.7,0.3,0.4,1.0,171532,616345,101041,101082
50,9.3,0.3,0.4,1.0,140794,646359,119648,83199
51,10.0,0.3,0.4,1.0,219594,553889,94796,121721
52,0.5,0.3,0.4,1.0,149877,631005,116879,92239
53,7.0,0.3,0.4,1.0,190902,591801,106073,101224
54,2.5,0.3,0.4,1.0,186123,600262,103729,99886
55,1.9,0.3,0.4,1.0,168276,616166,110326,95232
56,6.7,0.3,0.4,1.0,166309,621999,111950,89742
57,5.6,0.3,0.4,1.0,158123,633262,108367,90248
58,0.6,0.3,0.4,1.0,146888,644235,115700,83177
59,0.5,0.3,0.4,1.0,160635,620766,111788,96811
60,1.0,0.3,0.4,1.0,157590,640034,104315,88061
61,9.4,0.3,0.4,1.0,217876,566153,93892,112079
62,0.2,0.3,0.4,1.0,156060,624197,112855,96888
63,5.8,0.3,0.4,1.0,198337,569797,103885,117981
64,8.1,0.3,0.4,1.0,152439,621640,116062,99859
65,4.9,0.3,0.4,1.0,177307,583911,111406,117376
66,3.0,0.3,0.4,1.0,156622,626338,109842,97198
67,1.2,0.3,0.4,1.0,185228,580472,105487,118813
68,2.3,0.3,0.4,1.0,154917,638708,109355,87020
69,2.6,0.3,0.4,1.0,215833,574499,92203,107465
70,9.8,0.3,0.4,1.0,209254,573544,94910,112292
71,4.9,0.3,0.4,1.0,194194,571163,108863,115780
72,6.4,0.3,0.4,1.0,127096,666113,122021,74770
73,6.3,0.3,0.4,1.0,184330,581246,105624,118800
74,3.6,0.3,0.4,1.0,177115,594443,104693,113749
75,8.2,0.3,0.4,1.0,163731,607691,110627,107951
76,3.4,0.3,0.4,1.0,199199,567039,100336,123426
77,0.1,0.3,0.4,1.0,200312,570988,99860,118840
78,1.2,0.3,0.4,1.0,191277,594339,103124,101260
79,1.6,0.3,0.4,1.0,171367,610131,109129,99373
80,3.8,0.3,0.4,1.0,181497,593850,106525,108128
81,9.1,0.3,0.4,1.0,250804,525494,86719,126983
82,7.4,0.3,0.4,1.0,176448,603520,108212,101820
83,6.5,0.3,0.4,1.0,201756,562158,100091,125995
84,0.7,0.3,0.4,1.0,172777,608782,105150,103291
85,9.0,0.3,0.4,1.0,171919,595562,108506,114013
86,9.6,0.3,0.4,1.0,198007,596768,100610,94615
87,7.1,0.3,0.4,1.0,222269,524684,97259,145788
88,3.9,0.3,0.4,1.0,188833,605542,97682,97943
89,8.0,0.3,0.4,1.0,166721,615531,110438,97310
90,3.3,0.3,0.4,1.0,206387,582354,97068,104191
91,5.2,0.3,0.4,1.0,168194,621824,104588,95394
92,8.6,0.3,0.4,1.0,192746,567022,102392,127840
93,9.6,0.3,0.4,1.0,216785,546128,101382,125705
94,7.6,0.3,0.4,1.0,168070,600498,107126,114306
95,4.2,0.3,0.4,1.0,168918,604520,112328,104234
