,defect,tit_for_tat,generous_tit_for_tat,cooperate
0,24,27,32,17
1,24,27,31,18
2,24,27,32,17
3,25,26,32,17
4,24,26,33,17
5,25,25,33,17
6,25,26,32,17
7,26,25,32,17
8,26,25,32,17
9,26,25,32,17
10,26,26,31,17
11,26,27,31,16
12,26,28,31,15
13,26,27,32,15
14,25,28,32,15
15,26,28,31,15
16,26,27,32,15
17,27,27,31,15
18,26,27,31,16
19,25,27,31,17
20,25,27,30,18
21,25,28,29,18
22,24,29,29,18
23,24,28,30,18
24,23,29,30,18
25,23,29,30,18
26,23,29,31,17
27,24,28,31,17
28,24,27,32,17
29,23,27,33,17
30,23,28,33,16
31,23,28,33,16
32,23,28,33,16
33,23,28,33,16
34,22,28,34,16
35,23,28,33,16
36,23,28,33,16
37,22,28,34,16
38,22,28,33,17
39,23,27,33,17
40,24,27,33,16
41,24,27,33,16
42,24,27,33,16
43,24,27,33,16
44,25,26,33,16
45,24,26,34,16
46,24,27,33,16
47,24,27,33,16
48,24,27,33,16
49,24,27,33,16
50,24,28,32,16
51,24,28,32,16
52,24,28,33,15
53,23,29,33,15
54,23,30,32,15
55,22,30,32,16
56,21,31,32,16
57,21,30,32,17
58,21,31,32,16
59,22,31,31,16
60,22,31,30,17
61,23,31,30,16
62,24,31,29,16
63,25,31,28,16
64,24,31,29,16
65,24,31,29,16
66,25,30,29,16
67,26,29,29,16
68,26,29,29,16
69,26,29,29,16
70,26,29,28,17
71,27,28,28,17
72,27,28,27,18
73,26,28,27,19
74,25,29,27,19
75,26,29,27,18
76,26,29,27,18
77,27,29,27,17
78,27,29,27,17
79,26,29,28,17
80,26,28,29,17
81,25,28,30,17
82,25,28,30,17
83,25,27,31,17
84,24,28,31,17
85,24,28,31,17
86,24,27,32,17
87,24,28,31,17
88,24,28,31,17
89,24,28,32,16
90,25,28,32,15
91,24,28,33,15
92,24,28,33,15
93,24,27,34,15
94,24,26,35,15
95,24,26,35,15
96,24,27,34,15
97,24,26,35,15
98,24,26,35,15
99,24,25,35,16
100,24,24,35,17
101,23,24,36,17
102,23,25,36,16
103,23,25,36,16
104,23,24,36,17
105,24,24,35,17
106,23,24,36,17
107,23,25,35,17
108,23,25,34,18
109,24,25,34,17
110,24,25,34,17
111,24,25,35,16
112,25,25,34,16
113,24,25,34,17
114,23,26,34,17
115,23,27,33,17
116,23,28,32,17
117,23,29,31,17
118,22,29,32,17
119,22,28,33,17
120,22,29,33,16
121,22,29,33,16
122,23,29,32,16
123,22,29,32,17
124,23,28,32,17
125,23,29,32,16
126,23,30,31,16
127,22,30,32,16
128,22,30,32,16
129,23,30,31,16
130,23,31,30,16
131,23,31,30,16
132,23,32,29,16
133,23,32,29,16
134,23,32,29,16
135,24,32,28,16
136,23,32,29,16
137,22,32,30,16
138,21,32,31,16
139,20,32,32,16
140,20,33,31,16
141,19,33,32,16
142,19,34,32,15
143,19,33,33,15
144,19,32,34,15
145,18,32,35,15
146,18,32,35,15
147,18,33,35,14
148,18,33,35,14
149,19,32,35,14
150,20,31,35,14
151,20,32,34,14
152,20,31,35,14
153,19,32,35,14
154,19,33,35,13
155,19,32,36,13
156,20,32,35,13
157,20,32,35,13
158,20,31,35,14
159,20,30,36,14
160,20,29,37,14
161,21,28,37,14
162,21,28,37,14
163,21,28,37,14
164,20,28,38,14
165,19,28,39,14
166,19,29,38,14
167,19,29,37,15
168,19,30,36,15
169,18,30,37,15
170,18,30,37,15
171,18,31,37,14
172,18,30,38,14
173,18,29,38,15
174,18,28,39,15
175,18,29,38,15
176,18,30,37,15
177,18,30,38,14
178,19,30,37,14
179,18,30,38,14
180,18,30,38,14
181,18,30,38,14
182,19,30,37,14
183,19,29,38,14
184,19,29,38,14
185,19,28,39,14
186,19,27,39,15
187,19,28,38,15
188,19,28,38,15
189,20,28,37,15
190,20,28,38,14
191,19,29,38,14
192,19,29,38,14
193,19,29,37,15
194,20,29,37,14
195,21,28,37,14
196,20,29,37,14
197,20,30,36,14
198,20,29,37,14
199,20,30,36,14
200,20,29,36,15
201,20,30,35,15
202,20,31,35,14
203,20,32,35,13
204,20,33,34,13
205,20,34,33,13
206,20,34,33,13
207,20,34,32,14
208,19,34,32,15
209,19,34,32,15
210,20,34,31,15
211,21,34,31,14
212,20,35,31,14
213,20,36,30,14
214,20,36,30,14
215,20,35,30,15
216,20,35,30,15
217,20,35,30,15
218,20,34,30,16
219,19,34,31,16
220,19,34,31,16
221,19,34,31,16
222,18,35,31,16
223,18,34,32,16
224,18,35,32,15
225,18,36,31,15
226,18,37,30,15
227,18,36,31,15
228,17,36,32,15
229,16,36,32,16
230,17,36,31,16
231,16,36,32,16
232,16,36,32,16
233,16,37,31,16
234,17,36,31,16
235,17,36,31,16
236,17,35,32,16
237,18,35,31,16
238,18,35,31,16
239,19,34,31,16
240,19,34,31,16
241,20,34,30,16
242,20,34,30,16
243,21,33,30,16
244,20,33,31,16
245,20,34,30,16
246,19,35,30,16
247,19,36,30,15
248,20,36,29,15
249,20,37,28,15
250,20,38,27,15
251,19,39,27,15
252,19,40,26,15
253,20,39,26,15
254,20,39,26,15
255,20,39,25,16
256,20,39,26,15
257,20,39,26,15
258,21,39,25,15
259,21,39,25,15
260,20,40,25,15
261,20,39,25,16
262,20,38,26,16
263,20,38,26,16
264,20,38,26,16
265,20,39,26,15
266,20,40,25,15
267,20,39,26,15
268,21,38,26,15
269,21,37,26,16
270,21,38,25,16
271,21,38,25,16
272,21,38,25,16
273,21,37,26,16
274,21,37,26,16
275,21,36,26,17
276,21,36,26,17
277,20,37,26,17
278,20,37,27,16
279,20,37,26,17
280,20,37,25,18
281,19,38,25,18
282,19,39,24,18
283,19,39,24,18
284,19,38,25,18
285,19,38,26,17
286,20,37,26,17
287,20,38,25,17
288,20,39,25,16
289,20,38,26,16
290,20,37,27,16
291,20,38,26,16
292,20,38,26,16
293,20,38,26,16
294,20,38,26,16
295,21,38,26,15
296,21,38,25,16
297,21,38,26,15
298,22,37,26,15
299,21,38,26,15
300,21,38,26,15
301,21,38,26,15
302,21,38,27,14
303,20,38,28,14
304,20,38,28,14
305,20,39,27,14
306,20,39,27,14
307,19,39,28,14
308,19,39,28,14
309,19,38,29,14
310,19,38,29,14
311,19,38,29,14
312,20,38,28,14
313,20,37,28,15
314,20,37,28,15
315,20,36,28,16
316,20,35,28,17
317,20,35,28,17
318,21,35,28,16
319,20,35,29,16
320,20,35,29,16
321,19,36,29,16
322,19,37,29,15
323,19,36,30,15
324,18,37,30,15
325,18,37,30,15
326,19,37,29,15
327,19,38,28,15
328,19,38,28,15
329,18,39,28,15
330,18,39,28,15
331,19,38,28,15
332,19,37,28,16
333,19,37,28,16
334,19,37,28,16
335,18,38,28,16
336,18,39,27,16
337,17,39,28,16
338,17,39,28,16
339,17,40,27,16
340,18,39,27,16
341,17,40,27,16
342,17,40,27,16
343,18,40,27,15
344,18,40,27,15
345,18,41,26,15
346,18,41,26,15
347,18,41,25,16
348,18,42,25,15
349,18,43,25,14
350,17,44,25,14
351,17,44,25,14
352,16,44,26,14
353,16,44,25,15
354,16,45,25,14
355,16,45,25,14
356,16,44,26,14
357,16,44,26,14
358,16,44,26,14
359,16,43,27,14
360,16,44,26,14
361,16,44,26,14
362,17,44,26,13
363,17,45,26,12
364,17,44,27,12
365,17,44,27,12
366,17,43,28,12
367,16,43,28,13
368,15,44,28,13
369,15,45,27,13
370,15,45,27,13
371,15,45,27,13
372,15,44,27,14
373,15,44,27,14
374,16,44,27,13
375,16,45,26,13
376,17,44,26,13
377,17,43,27,13
378,17,43,27,13
379,17,43,27,13
380,17,42,27,14
381,17,42,27,14
382,17,41,27,15
383,17,41,26,16
384,17,41,26,16
385,17,41,26,16
386,17,42,25,16
387,16,42,26,16
388,16,41,27,16
389,16,41,27,16
390,15,41,27,17
391,14,42,27,17
392,14,41,27,18
393,13,41,28,18
394,13,41,27,19
395,13,41,27,19
396,12,42,27,19
397,12,43,26,19
398,12,43,26,19
399,12,42,27,19
400,12,43,26,19
401,13,42,26,19
402,13,41,26,20
403,13,42,26,19
404,13,41,26,20
405,13,41,26,20
406,13,40,27,20
407,13,40,27,20
408,13,39,28,20
409,13,38,28,21
410,13,38,27,22
411,13,37,27,23
412,13,38,26,23
413,13,39,25,23
414,13,39,25,23
415,13,39,25,23
416,13,38,25,24
417,13,37,25,25
418,12,38,25,25
419,12,38,25,25
420,13,37,25,25
421,13,37,25,25
422,13,37,25,25
423,13,37,24,26
424,14,37,23,26
425,14,36,23,27
426,15,36,22,27
427,16,36,22,26
428,16,36,22,26
429,15,37,22,26
430,15,37,21,27
431,15,37,21,27
432,15,37,21,27
433,16,37,21,26
434,16,37,21,26
435,16,38,21,25
436,15,38,21,26
437,15,39,20,26
438,15,39,20,26
439,15,39,20,26
440,15,39,20,26
441,15,40,19,26
442,16,39,19,26
443,16,38,20,26
444,15,39,20,26
445,15,39,20,26
446,16,38,20,26
447,15,38,20,27
448,15,38,20,27
449,15,37,21,27
450,15,37,21,27
451,14,38,21,27
452,14,39,21,26
453,13,39,21,27
454,13,39,21,27
455,12,39,21,28
456,12,39,21,28
457,12,39,21,28
458,11,39,21,29
459,11,39,22,28
460,11,39,22,28
461,11,39,21,29
462,11,40,20,29
463,11,39,20,30
464,11,39,20,30
465,11,40,20,29
466,11,39,20,30
467,10,39,21,30
468,10,39,21,30
469,10,40,21,29
470,10,41,21,28
471,10,42,21,27
472,10,41,21,28
473,10,42,21,27
474,10,42,21,27
475,9,42,21,28
476,9,41,22,28
477,8,41,23,28
478,7,42,23,28
479,7,43,22,28
480,7,42,23,28
481,7,41,23,29
482,7,41,22,30
483,7,41,22,30
484,7,41,22,30
485,7,42,22,29
486,7,43,22,28
487,7,44,22,27
488,7,44,22,27
