,m,d,r,w,R,S,T,P
0,9.1,0.17,0.91,1.0,346047,133957,151800,358196
1,4.2,0.41,0.36,1.0,375870,133249,138943,341938
2,0.7,0.07,0.67,1.0,352801,133071,166166,337962
3,7.9,0.28,0.89,1.0,323980,125676,172129,368215
4,8.1,0.88,0.32,1.0,351697,137232,153155,347916
5,7.5,0.22,0.97,1.0,342674,136863,157199,353264
6,8.2,0.84,0.27,1.0,369733,135628,140333,344306
7,4.5,0.54,0.35,1.0,409520,173202,118437,288841
8,6.2,0.07,0.12,1.0,401082,157326,125746,305846
9,7.0,0.86,0.67,1.0,340611,141414,145434,362541
10,6.5,0.35,0.27,1.0,341198,134346,168181,346275
11,9.2,0.53,0.82,1.0,385976,154717,138649,310658
12,8.9,0.1,0.05,1.0,331944,128920,179800,349336
13,4.1,0.48,0.51,1.0,407370,187676,117470,277484
14,5.0,0.98,0.42,1.0,357661,159059,137887,335393
15,7.5,0.81,0.83,1.0,413327,159715,125523,291435
16,9.0,0.5,0.27,1.0,359040,143113,149515,338332
17,7.4,0.19,0.94,1.0,399803,188475,121411,280311
18,2.3,0.67,0.6,1.0,402816,165508,119565,302111
19,8.4,0.93,0.12,1.0,361459,131365,153461,343715
20,1.6,0.71,0.16,1.0,314400,115968,168669,390963
21,9.5,0.3,0.29,1.0,401179,142848,131577,314396
22,3.0,0.3,0.72,1.0,407860,182891,127707,271542
23,7.3,0.87,0.47,1.0,428993,196346,107462,257199
24,3.7,0.55,0.32,1.0,354541,166432,145078,323949
25,5.4,0.24,0.73,1.0,380716,146027,130086,333171
26,3.5,0.74,0.22,1.0,314810,131232,168013,375945
27,4.8,0.93,0.51,1.0,405198,154637,117729,312436
28,3.7,0.04,0.48,1.0,382556,139747,143007,324690
29,8.1,0.36,0.02,1.0,381673,158913,133414,316000
30,4.6,0.82,0.67,1.0,274322,140220,181271,394187
31,3.7,0.4,0.95,1.0,364669,132795,132752,359784
32,9.5,0.69,0.01,1.0,335631,119790,163489,371090
33,8.9,0.01,0.15,1.0,366443,139892,153225,330440
34,5.1,0.59,0.52,1.0,397434,179573,123965,289028
35,9.9,0.43,0.88,1.0,414918,151960,120360,302762
36,5.8,0.7,0.51,1.0,360208,118825,142087,368880
37,3.3,0.64,0.33,1.0,398448,143583,129888,318081
38,8.6,0.11,0.52,1.0,388371,162797,128085,310747
39,5.7,0.2,0.23,1.0,373877,169594,134658,311871
40,3.1,0.37,0.5,1.0,387984,158396,134947,308673
41,5.8,0.53,0.1,1.0,295889,117221,180753,396137
42,5.4,0.37,0.45,1.0,332813,135072,158906,363209
43,5.7,0.81,0.71,1.0,382840,159112,137553,310495
44,3.1,0.01,0.56,1.0,352824,124656,158764,353756
45,2.5,0.3,0.32,1.0,305918,113675,175377,395030
46,4.9,0.83,0.89,1.0,339715,125453,155660,369172
47,6.1,0.26,0.97,1.0,346333,145204,144545,353918
48,9.2,0.34,0.69,1.0,354441,152901,142854,339804
49,6.9,0.02,0.28,1.0,377311,142087,138301,332301
50,3.5,0.66,0.84,1.0,407423,164439,125336,292802
51,3.8,0.75,0.35,1.0,371160,157501,148211,313128
52,0.5,0.23,0.58,1.0,411827,162536,124101,291536
53,6.8,0.25,0.58,1.0,331330,138783,166541,353346
54,6.3,0.35,0.71,1.0,386448,126189,134541,342822
55,2.4,0.07,0.5,1.0,388800,148538,127177,325485
56,7.5,0.61,0.26,1.0,342788,129044,153143,365025
57,7.9,0.56,0.87,1.0,381953,150268,137366,320413
58,6.3,0.73,0.5,1.0,307523,103157,172897,406423
59,3.5,0.34,0.11,1.0,357126,164248,147069,321557
60,1.7,0.88,0.62,1.0,433989,199995,104320,251696
61,4.2,0.06,1.0,1.0,366795,150310,148156,324739
62,7.2,0.62,0.64,1.0,407738,168755,120679,292828
63,8.5,0.27,0.5,1.0,335580,128269,162121,364030
64,6.5,0.85,0.45,1.0,354865,169150,157030,308955
65,2.9,0.98,0.68,1.0,366788,129981,141877,351354
66,6.2,0.97,0.81,1.0,341754,121709,159954,366583
67,8.3,0.93,0.61,1.0,358890,133868,146611,350631
68,0.3,0.65,0.19,1.0,407219,164442,124605,293734
69,4.9,0.29,0.55,1.0,310968,125069,179246,374717
70,7.6,0.19,0.42,1.0,424361,173524,117102,275013
71,4.7,0.42,0.45,1.0,362127,139205,140849,347819
72,2.7,0.67,0.74,1.0,297149,102316,180833,409702
73,3.7,0.85,0.32,1.0,396505,135794,131162,326539
74,2.0,0.54,0.87,1.0,372180,146878,151168,319774
75,2.4,0.49,0.04,1.0,306314,115256,179339,389091
76,5.5,0.58,0.84,1.0,427657,195998,106574,259771
77,1.2,0.65,0.72,1.0,339588,126685,156766,366961
